episode,Reward-1
10,72.8728445147
20,35.763176598
30,22.6016764381
40,31.5508628283
50,38.9467819271
60,41.9652089227
70,45.8438340034
80,48.4235710973
90,51.7556944148
100,51.9076691088
110,54.5705618131
120,56.3489891133
130,58.5428338749
140,59.4778725518
150,58.4095339728
160,61.5992134006
170,64.4940304072
180,66.1019148008
190,66.3877816044
200,66.2799682957
210,67.4285811127
220,67.6063560485
230,67.5175608702
240,66.9393004392
250,70.0430497317
260,74.2100169311
270,76.512834806
280,79.3872745528
290,88.7013433736
300,94.4527364381
310,111.2631466773
320,129.7523637331
330,147.6415356101
340,169.318051667
350,189.5003929707
360,207.140748006
370,221.6751425162
380,238.8591936257
390,255.1364642274
400,271.3234935987
410,287.0364350004
420,300.5726614337
430,314.5405602784
440,329.0061473325
450,342.5989478674
460,356.0650905529
470,367.9502420671
480,379.7765110594
490,390.9925904096
500,402.2709274041
510,413.436178797
520,423.7554472076
530,433.3983967009
540,442.5604975219
550,449.5043998626
560,455.6734108449
570,463.7671309633
580,471.6036318804
590,479.4545098052
600,486.1127774732
610,491.7735357709
620,498.9864752687
630,505.1246955404
640,511.1855770493
650,517.7644672248
660,524.7103066985
670,523.3206082424
680,525.75832725
690,531.2779435408
700,537.015270774
710,543.1687974779
720,549.1201578306
730,554.9698601603
740,560.6639217581
750,566.1892072694
760,571.4879818895
770,576.5098749632
780,581.6582233769
790,586.7917232356
800,591.6578239046
810,596.2638173669
820,600.7610388515
830,605.309144316
840,609.5392322067
850,613.8247787076
860,617.9174084384
870,621.9347751891
880,626.0361225796
890,629.9318778219
900,633.3863288652
910,636.9298352463
920,640.3844112835
930,643.3700449532
940,646.6125949971
950,649.944029586
960,653.2792243089
970,656.704082961
980,659.7283450856
990,662.3098555999
1000,661.1616677034
1010,658.3501449367
1020,658.2260675582
1030,659.7938525088
1040,661.1926967196
1050,664.018982571
1060,666.9028365249
1070,669.8199175358
1080,672.6530966845
1090,673.698179007
1100,674.6381343453
1110,675.1387525671
1120,675.7891698277
1130,677.1725220826
1140,678.6544411685
1150,677.1671870417
1160,674.5045204076
1170,673.239516582
1180,673.0936333726
1190,670.3998706931
1200,667.4957480215
1210,663.1690622216
1220,659.683720209
1230,658.62281038
1240,655.7457487602
1250,652.7188512746
1260,650.026450519
1270,646.9137739619
1280,643.3365142711
1290,639.588224827
1300,636.0316722915
1310,632.9703112744
1320,629.5287747724
1330,626.169358017
1340,622.5148743388
1350,618.6884335472
1360,615.0820294021
1370,611.6134529669
1380,608.8364189937
1390,605.8585278125
1400,603.0847441224
1410,599.4769175634
1420,596.048028837
1430,592.7860884702
1440,589.9844754699
1450,587.1164275173
1460,584.2785210366
1470,581.8232652059
1480,579.3556974708
1490,576.9520934464
1500,574.4663339185
1510,572.0090378366
1520,569.3598072301
1530,566.4311181406
1540,563.7115347648
1550,561.4670112932
1560,559.3265244134
1570,556.5356587904
1580,554.6490074538
1590,552.6787593784
1600,550.6507289415
1610,548.8880038656
1620,546.4139924818
1630,544.1301509132
1640,542.5183730025
1650,540.2337867272
1660,537.9763140839
1670,536.0262507348
1680,534.0909962344
1690,532.3560083836
1700,530.6173124321
1710,528.8293440496
1720,527.0366700841
1730,526.0823180451
1740,525.0013779679
1750,524.5380856196
1760,523.8543825486
1770,522.5991405384
1780,521.2456692913
1790,520.2518251781
1800,519.1335757755
1810,518.1405723207
1820,516.7431815651
1830,516.3367398572
1840,515.5367845302
1850,514.209773758
1860,513.1637125756
1870,512.8986943271
1880,512.4006508111
1890,511.4996352007
1900,510.6396567993
1910,509.8450471064
1920,508.9960613395
1930,508.0677160219
1940,507.1996647094
1950,506.3135038924
1960,505.2267748516
1970,504.6054179747
1980,504.3637431809
1990,503.9219008965
2000,502.8210998191
2010,501.927660467
2020,501.3975445809
2030,500.0785750726
2040,498.2481590405
2050,496.9230946497
2060,495.742656425
2070,494.6312108438
2080,493.4376049431
2090,492.3283166259
2100,490.8367826312
2110,489.0690240283
2120,487.1620416722
2130,485.176954572
2140,483.1490006661
2150,481.3413529524
2160,479.6111436771
2170,477.6488599469
2180,475.5000531331
2190,473.4086505091
2200,471.4033322869
2210,469.4196724726
2220,467.655256157
2230,465.8737160183
2240,464.1641523749
2250,462.535064871
2260,461.0132618602
2270,459.521467481
2280,458.0396549666
2290,456.4786316307
2300,455.2065824869
2310,453.9739175268
2320,452.3472531725
2330,450.6617716975
2340,449.0232154848
2350,447.44994145
2360,445.9122364517
2370,444.4192102077
2380,442.9581508113
2390,441.5447349636
2400,440.1100075289
2410,438.7119002866
2420,437.31064589
2430,435.9368237965
2440,434.6047675251
2450,433.3395511724
2460,432.0281466556
2470,430.7749874348
2480,430.2431568293
2490,429.554483006
2500,428.7214822848
2510,427.8122933604
2520,426.5163317794
2530,425.8206467483
2540,425.6580439237
2550,425.9880503061
2560,426.8732374304
2570,428.1863226324
2580,429.6185974621
2590,431.1297692781
2600,432.5391264591
2610,433.928828485
2620,433.8775882709
2630,433.8237880297
2640,432.7821581546
2650,431.2751246446
2660,429.6972564456
2670,427.8283284967
2680,426.5456740964
2690,425.5741968827
2700,424.2254896583
2710,422.5786601545
2720,421.3378473891
2730,420.0973470487
2740,418.7802802676
2750,417.5068316634
2760,416.3212087218
2770,415.0251512058
2780,413.9123805589
2790,412.5375208668
2800,411.1586177352
2810,409.793619711
2820,408.5392634682
2830,407.381784361
2840,406.2466648889
2850,405.1507016443
2860,403.9416044322
2870,402.7252802643
2880,401.7445701159
2890,400.8775434581
2900,400.0009745173
2910,398.9469880932
2920,397.9306721944
2930,397.223190373
2940,396.5307740596
2950,396.1181008673
2960,395.5697161729
2970,394.8901644174
2980,394.0333311955
2990,393.052045145
3000,392.2380821984
3010,391.5988839544
3020,390.768531327
3030,389.9677780681
3040,389.2222527065
3050,388.6349494152
3060,387.9748343982
3070,387.3069847475
3080,386.4774464222
3090,385.6674555219
3100,384.8927991655
3110,384.1051281731
3120,383.3122468705
3130,382.2888746625
3140,381.2981254082
3150,380.2961111454
3160,379.3300860602
3170,378.4321743807
3180,377.4739303804
3190,376.5203251929
3200,375.5353557078
3210,374.5737857959
3220,373.4968405756
3230,372.4804627653
3240,371.3477903098
3250,370.1202241646
3260,368.9938969625
3270,368.0521769319
3280,367.1241926292
3290,366.2661600098
3300,365.3855363262
3310,364.4875315049
3320,363.6772165297
3330,362.9282277998
3340,362.1955627807
3350,361.64659535
3360,361.02733831
3370,360.6101221585
3380,360.1943328413
3390,359.9113995851
3400,359.7266246426
3410,359.3978129521
3420,359.058635896
3430,358.8048527457
3440,358.5097693684
3450,358.0792356233
3460,357.9291034556
3470,357.7407884788
3480,357.938145317
3490,358.0732852803
3500,358.3461097918
3510,358.8462402645
3520,359.1507570539
3530,359.7910423878
3540,360.7186129609
3550,361.6331633075
3560,362.6152695308
3570,363.4440759864
3580,364.0655654412
3590,364.3945144591
3600,364.7029718914
3610,365.0756182679
3620,365.6435384803
3630,366.4975209355
3640,367.4916417133
3650,368.3246689551
3660,368.9402124553
3670,369.7104689173
3680,370.5762047374
3690,371.7254979408
3700,372.9079413042
3710,374.2238303137
3720,375.69787965
3730,377.2357895212
3740,378.8009613418
3750,380.197494339
3760,381.4851016709
3770,382.7123034917
3780,383.8637991678
3790,385.1230161507
3800,386.3522479145
3810,387.4684143938
3820,388.3134848995
3830,389.4268176582
3840,390.6130909889
3850,391.7873166584
3860,392.9942006538
3870,394.0655265045
3880,394.9301477033
3890,395.5306398793
3900,396.2218482926
3910,397.2798527146
3920,398.3284682678
3930,399.1377199211
3940,400.0401287536
3950,400.9165291552
3960,401.8929880071
3970,402.9966751237
3980,404.025313362
3990,404.9809573709
4000,406.1695720205
4010,407.3609069701
4020,408.5132207256
4030,409.600887815
4040,410.7139782735
4050,411.9945452753
4060,413.2860167678
4070,414.5987960373
4080,415.8880612547
4090,416.9558378622
4100,417.9523659098
4110,419.0833417351
4120,420.2563187326
4130,421.4760858202
4140,422.6957444414
4150,423.9148410554
4160,425.1773824985
4170,426.4427561497
4180,427.6950576011
4190,428.943526281
4200,430.2264588898
4210,431.5325049688
4220,432.8563892378
4230,434.183268328
4240,435.4942160722
4250,436.8031897444
4260,438.0702594355
4270,439.3248558072
4280,440.5847868789
4290,441.8606329767
4300,443.1244074718
4310,444.3764481449
4320,445.6453713263
4330,446.9097787496
4340,448.159194734
4350,449.3958510074
4360,450.6213553879
4370,451.8394078664
4380,453.0453373091
4390,454.2435115121
4400,455.4318907184
4410,456.6205386183
4420,457.8009251643
4430,458.9669748265
4440,460.1215518833
4450,461.2529655538
4460,462.3480990498
4470,463.4674583672
4480,464.5704480537
4490,465.6597905019
4500,466.7559642759
4510,467.8552714464
4520,468.9168655679
4530,469.9330096622
4540,470.9837470813
4550,472.0759952813
4560,473.1633841295
4570,474.2559884987
4580,475.3520195952
4590,476.4316052478
4600,477.5081200914
4610,478.5564528425
4620,479.5724750159
4630,480.5866913015
4640,481.6459625749
4650,482.7174248232
4660,483.7646057923
4670,484.7877209797
4680,485.8212643888
4690,486.8758342486
4700,487.8842590429
4710,488.889821834
4720,489.8819246909
4730,490.8391097856
4740,491.7447870567
4750,492.2084066179
4760,493.039509142
4770,493.9704534818
4780,494.8826290377
4790,495.8333940111
4800,496.8367162637
4810,497.7399922558
4820,498.682301925
4830,499.5592138186
4840,500.3323403224
4850,500.9998246468
4860,501.5869947616
4870,501.6885688211
4880,501.2398669195
4890,500.6615957457
4900,499.9278011022
4910,499.062681621
4920,498.2504019174
4930,497.4039892466
4940,496.6787495038
4950,496.4357483985
4960,496.2497559441
4970,496.2458985582
4980,496.281463183
4990,496.3964787141
5000,496.4873024281
