episode,Reward-1
10,55.4238505988
20,51.1820359644
30,54.2642920224
40,52.2372016105
50,48.9149718598
60,49.9438763786
70,47.702814564
80,50.2549336202
90,51.3020839578
100,50.725459438
110,51.5118759451
120,48.8168367964
130,47.7239657077
140,45.7790984055
150,46.2670164368
160,46.8856502435
170,47.5778020147
180,47.7521677782
190,46.9797499176
200,45.8219104242
210,46.8727639891
220,47.2886594652
230,47.1960178901
240,45.2843850025
250,45.8354166912
260,46.0554771564
270,46.3384142331
280,47.347861458
290,48.396275941
300,48.3355002589
310,48.8810389906
320,49.4140020957
330,49.50617377
340,49.8380600569
350,49.5624952925
360,49.7541150862
370,49.515199982
380,50.1301921356
390,50.3424972382
400,50.8137690454
410,51.4362514014
420,51.7600553402
430,52.7007889714
440,52.6446600483
450,53.0677702558
460,53.3846181777
470,53.9494274561
480,54.1198974948
490,54.5159820153
500,54.710057581
510,55.0823263079
520,55.2083173507
530,55.6963071787
540,56.0079728284
550,56.4194715155
560,56.3140458048
570,56.7140056508
580,56.9173084788
590,56.8400924365
600,57.2644004583
610,57.5170367519
620,58.0903250292
630,58.2601079516
640,58.3708095189
650,58.8263894852
660,58.9573685912
670,58.865163991
680,58.9346836988
690,59.2852004076
700,59.5531247187
710,59.7340903375
720,59.9877560636
730,60.3562092471
740,60.7453096703
750,61.066353191
760,61.0249949783
770,61.3183863124
780,61.7702004233
790,61.9745737472
800,62.1867321791
810,62.4634939815
820,62.8060195032
830,63.292930454
840,63.3998902109
850,63.6597213755
860,63.8436479378
870,63.9214273047
880,64.1258065618
890,64.8109344005
900,64.8944758134
910,65.5537350947
920,65.8976837871
930,66.0776235547
940,66.2366861101
950,66.5861420647
960,66.8433619399
970,67.2667637004
980,67.4307232256
990,67.6612175035
1000,67.8180138517
1010,68.1280237877
1020,68.4176397672
1030,68.8253246596
1040,69.0219470936
1050,69.3104143064
1060,69.6677484478
1070,69.7642351733
1080,70.0942651865
1090,70.548232321
1100,70.8755199935
1110,71.0376642925
1120,71.2666538925
1130,71.3986816621
1140,71.6678136835
1150,71.8797217387
1160,72.2069747424
1170,72.4769405679
1180,72.6436097507
1190,72.8158697587
1200,72.845479405
1210,73.2739023751
1220,73.5298306898
1230,73.6381179712
1240,73.9991368358
1250,74.2993904443
1260,74.5393739139
1270,74.5353301982
1280,74.8615964832
1290,75.3626294351
1300,75.7284501639
1310,75.9569593178
1320,76.3726382386
1330,76.8964634926
1340,77.2167396964
1350,77.7458200246
1360,77.9815121557
1370,78.8196563123
1380,78.7044204039
1390,79.0992420084
1400,79.3152720499
1410,79.6199053945
1420,79.8566824085
1430,81.2681238822
1440,82.3808034732
1450,83.5417861971
1460,84.3020866434
1470,85.8947770955
1480,87.4102205639
1490,88.8294797313
1500,89.8821491702
1510,90.9486594574
1520,91.9596149481
1530,92.4097968945
1540,93.5127060819
1550,94.6515206639
1560,95.4620451019
1570,96.961086959
1580,98.0434072202
1590,99.724425233
1600,100.9363162861
1610,102.4627718406
1620,103.6334799122
1630,104.9834477774
1640,106.4693178814
1650,107.0988729972
1660,108.6738212455
1670,110.2125289019
1680,111.5233800561
1690,112.6441903768
1700,113.9102902857
1710,115.419187407
1720,116.7232215723
1730,118.1300802387
1740,119.9280206255
1750,121.1542215688
1760,123.1955266106
1770,124.7635597076
1780,126.729308076
1790,128.409333801
1800,130.4904881139
1810,131.971086888
1820,133.4408053603
1830,135.5519816913
1840,137.898125593
1850,140.4156194582
1860,142.7082718831
1870,144.8592201653
1880,146.6021072629
1890,148.9638535274
1900,151.0027091408
1910,153.6104720203
1920,155.8606824293
1930,158.2971130722
1940,160.7243013594
1950,163.140840156
1960,164.9393989346
1970,166.8712927014
1980,168.9686650075
1990,171.6143386922
2000,174.2379480499
2010,176.7046249611
2020,178.9396760172
2030,181.1955935618
2040,183.6454169312
2050,186.4125641374
2060,189.0180240662
2070,191.575094988
2080,194.0479396354
2090,196.82823331
2100,199.5900572565
2110,202.1891913296
2120,204.9093173346
2130,207.8461611212
2140,210.7492528112
2150,213.7870492052
2160,216.6939305406
2170,219.2991295292
2180,222.151880951
2190,224.8743311916
2200,227.2696190768
2210,230.0751422855
2220,232.8534253655
2230,235.649719121
2240,238.3884495933
2250,240.9503033472
2260,243.6922429954
2270,246.3206201972
2280,248.8083631207
2290,251.1687783914
2300,253.3486020367
2310,255.5825078295
2320,257.7606239147
2330,259.6001650898
2340,261.7779308441
2350,264.0686136239
2360,266.6652138962
2370,269.0420987905
2380,271.5223478149
2390,273.9297085731
2400,276.3745612047
2410,279.0070897728
2420,281.4644820799
2430,283.9820623181
2440,286.4857478582
2450,288.927735787
2460,291.4261904442
2470,293.7981604732
2480,296.1552734199
2490,298.4976697548
2500,300.753532625
2510,303.2315129871
2520,305.5767954443
2530,308.0236944098
2540,310.3993188855
2550,312.7099888102
2560,314.8768421235
2570,317.1216244326
2580,319.4427136309
2590,321.7317678308
2600,324.0887183592
2610,326.2222939645
2620,328.4192044458
2630,330.7358092242
2640,332.9706519586
2650,335.266671533
2660,337.519198418
2670,339.7939547236
2680,342.0163733862
2690,344.2442911462
2700,346.484784716
2710,348.6964528214
2720,350.8855101775
2730,353.0721367808
2740,355.2123288622
2750,357.360469362
2760,359.5308769918
2770,361.7202515666
2780,363.8609970676
2790,365.9545737533
2800,368.0670339918
2810,370.0999754925
2820,372.1879417027
2830,374.2409098662
2840,376.2471212258
2850,378.2672022034
2860,380.2686177235
2870,382.2071100604
