episode,reward
10,-35.8348610646
20,-55.9709401458
30,-53.3220594257
40,-59.4399982623
50,-60.0516033126
60,-57.5308689498
70,-55.309463957
80,-51.4036575566
90,-45.7450981097
100,-41.091161215
110,-37.4175331464
120,-34.1949679302
130,-31.6439934483
140,-31.7447994501
150,-36.8504833843
160,-35.1521980867
170,-32.895432955
180,-31.1893173473
190,-31.3593450454
200,-32.996879195
210,-32.771984951
220,-32.1265783737
230,-31.0124058141
240,-31.4969170611
250,-31.1062784186
260,-29.8622940995
270,-29.1077567264
280,-28.0815438358
290,-27.1384594517
300,-26.240618151
310,-25.3880990919
320,-24.5800953779
330,-23.829131831
340,-23.1586014786
350,-22.4352570381
360,-22.4029528683
370,-23.404250443
380,-24.676589806
390,-25.3275390998
400,-26.3843933051
410,-26.0771641465
420,-26.0172985043
430,-26.6849751252
440,-27.3803287182
450,-26.9428394182
460,-26.9184323191
470,-27.7831208301
480,-28.7933638194
490,-29.5681275755
500,-30.9617090965
510,-30.5003333807
520,-29.9425395354
530,-29.3796769406
540,-28.8647825993
550,-28.3160885673
560,-27.8120579638
570,-27.3247805748
580,-26.8520402632
590,-26.4203317247
600,-25.9771328996
610,-25.904611504
620,-25.6686837618
630,-25.2482121692
640,-24.8832966617
650,-24.4936776269
660,-24.1184560134
670,-24.0268259126
680,-23.6692828102
690,-23.6095342749
700,-24.7098881043
710,-25.7985886138
720,-26.8466480377
730,-27.9051548986
740,-28.2466911767
750,-27.9986842112
760,-27.629428719
770,-27.2742437572
780,-26.9564863362
790,-26.6061586357
800,-26.2992509063
810,-25.9599910593
820,-26.1185957656
830,-26.8678746354
840,-26.5515481837
850,-26.7059504968
860,-26.3955058647
870,-26.0912057001
880,-25.7814670469
890,-25.7127861008
900,-25.4544212647
910,-25.1702204221
920,-24.8879564613
930,-24.7208606846
940,-24.6512156341
950,-24.4824296376
960,-24.3896800538
970,-25.1493909154
980,-25.4507268686
990,-25.6033938842
1000,-25.4528156721
1010,-25.4083651357
1020,-25.279425907
1030,-25.1359694965
1040,-25.0822451716
1050,-25.0178346641
1060,-24.8651876857
1070,-24.5910592669
1080,-24.6317879995
1090,-24.7756616724
1100,-25.2098577372
1110,-25.3152444722
1120,-25.6222561564
1130,-25.3856162205
1140,-25.1123995659
1150,-24.903618388
1160,-24.6829257434
1170,-24.4528955619
1180,-24.4138612705
1190,-24.4695638484
1200,-24.2730467557
1210,-24.0978078833
1220,-23.9167621494
1230,-23.72830677
1240,-23.5274754981
1250,-23.3266476483
1260,-23.1363997924
1270,-22.9640468019
1280,-22.7588254148
1290,-22.5101045555
1300,-22.3601460186
1310,-22.2012226561
1320,-22.0054292091
1330,-21.8321821424
1340,-21.6667234406
1350,-21.5034994228
1360,-21.3363734532
1370,-21.1987330312
1380,-21.0333922594
1390,-20.884011538
1400,-20.7366396388
1410,-20.5727561568
1420,-20.430070785
1430,-20.2823411559
1440,-20.1404012318
1450,-19.9917853831
1460,-19.8562858909
1470,-19.7184503491
1480,-19.5801613981
1490,-19.4374075944
