episode,interval,reward
10,-488.2157406484,-488.2157406484
20,-456.4256917271,-472.3207161877
30,-481.9388479396,-475.526760105
40,-597.6022069825,-506.0456218244
50,-490.6602484692,-502.9685471533
60,-490.3522361324,-500.8658286499
70,-534.3453515108,-505.64861763
80,-528.7677047307,-508.5385035176
90,-527.4415008887,-510.6388365588
100,-449.1521336497,-504.4901662679
110,-529.5112778653,-506.7648127768
120,-557.5217584534,-510.9945582498
130,-452.6950147775,-506.5099779827
140,-508.9877596123,-506.6869623848
150,-479.13268877,-504.8500108105
160,-467.3195596096,-502.5043576104
170,-526.6464636492,-503.9244814951
180,-451.6222679763,-501.0188029663
190,-511.4625284619,-501.5684727292
200,-491.380692594,-501.0590837224
210,-511.3976642629,-501.5513970815
220,-510.9135044156,-501.9769474149
230,-476.6572278361,-500.8760900419
240,-501.7548538807,-500.9127052018
250,-526.9458707301,-501.954031823
260,-506.6744623654,-502.1355868438
270,-517.6985170759,-502.7119916672
280,-480.1496244828,-501.9061928392
290,-468.4417454728,-500.7522463783
300,-548.8849443751,-502.3566696449
310,-400.5179819068,-499.0715506856
320,-488.8112610798,-498.7509166354
330,-450.9142517792,-497.3013207307
340,-471.5101532589,-496.5427569815
350,-443.5160938937,-495.0277094647
360,-480.0512977829,-494.6116980291
370,-477.2155775045,-494.1415326095
380,-487.6837176399,-493.9715901103
390,-526.1890948422,-494.7976799752
400,-504.3828930512,-495.0373103021
410,-559.0739141613,-496.5991786889
420,-493.120429889,-496.5163513366
430,-499.0579213639,-496.5754576163
440,-515.6406814532,-497.008758158
450,-556.2478094426,-498.3251815199
460,-516.371270945,-498.7174878117
470,-518.0682612247,-499.129206395
480,-518.4136906685,-499.530966484
490,-493.7334834814,-499.4126505044
500,-500.9352486318,-499.4431024669
510,-454.5088047246,-498.5620378053
520,-510.3360274829,-498.7884606837
530,-462.2657958307,-498.0993537997
540,-514.4710252873,-498.4025329013
550,-487.2577035166,-498.1998996398
560,-483.4665258547,-497.9368036793
570,-526.1033060822,-498.4309528443
580,-491.6130738774,-498.3134032069
590,-511.365215002,-498.534620356
600,-495.5196533589,-498.4843709061
610,-546.7601261348,-499.2757767295
620,-490.021148586,-499.1265085336
630,-492.7325239138,-499.0250167143
640,-485.7148106342,-498.8170447443
650,-520.6170422431,-499.1524293212
660,-495.6736317523,-499.0997202671
670,-458.526721366,-498.4941531193
680,-452.5078035506,-497.8178832727
690,-516.7731519573,-498.0925973116
700,-475.9585294539,-497.7763963422
710,-501.3398537251,-497.8265858828
720,-525.9440294326,-498.2171059321
730,-507.2553746259,-498.340917832
740,-495.775970209,-498.3062563777
750,-492.4242644996,-498.2278298193
760,-498.3968019546,-498.2300531369
770,-535.3108577646,-498.7116220281
780,-484.1123418585,-498.5244517696
790,-510.4850604599,-498.6758518796
800,-484.9688284585,-498.5045140868
810,-464.274749865,-498.0819244051
820,-541.2967336742,-498.6089342742
830,-518.8743546733,-498.8530959657
840,-527.101748971,-499.1893894539
850,-493.7112764445,-499.1249410656
860,-498.0912958855,-499.1129219356
870,-498.176474574,-499.1021581728
880,-531.5016966381,-499.4703347462
890,-474.8429633943,-499.1936227086
900,-468.5160684467,-498.8527609946
910,-525.0633561435,-499.1407895127
920,-470.2129730549,-498.8263567251
930,-486.8529057021,-498.6976099399
940,-493.4022360213,-498.6412761748
950,-483.0129037514,-498.4767669914
960,-466.1142156229,-498.1396570813
970,-599.8101391008,-499.1878063805
980,-450.2857209409,-498.6888055087
990,-401.4690525096,-497.7067878016
1000,-473.2879096779,-497.4625990204
1010,-443.5737840449,-496.9290463968
1020,-478.8729273651,-496.752025622
1030,-288.6082049433,-494.731211829
1040,-413.5151458412,-493.9502881176
1050,-195.0633241637,-491.1037456038
1060,-135.1440674228,-487.7456354322
1070,-419.8376507848,-487.1109813701
1080,-252.3039560481,-484.9368422468
1090,-289.8278558469,-483.1468515458
1100,-274.2671758225,-481.2479454029
1110,-505.1044958165,-481.4628692805
1120,-429.2372222712,-480.9965688608
1130,-200.731301819,-478.5163452586
1140,-395.1938750647,-477.7854463973
1150,-533.3417850036,-478.2685449939
1160,-485.3721688201,-478.3297831303
1170,-498.585511619,-478.5029090148
1180,-512.051059044,-478.787215371
1190,-512.0298974439,-479.0665656405
1200,-496.7543655603,-479.2139639732
1210,-512.5059007142,-479.4891039462
1220,-551.4706295478,-480.0791164512
1230,-476.30242304,-480.0484116267
1240,-450.657595429,-479.8113889154
1250,-509.2103202735,-480.0465803663
1260,-524.2872489278,-480.3976967834
1270,-506.2955993274,-480.6016172759
1280,-473.9651599118,-480.5497699528
1290,-487.4927692636,-480.6035916528
1300,-483.3469307014,-480.6246942609
1310,-511.0743866452,-480.8571346608
1320,-478.3792275146,-480.838362637
1330,-519.2184905975,-481.1269350276
1340,-567.1559081935,-481.7689422901
1350,-572.0937927035,-482.4380152561
1360,-527.6274404015,-482.770290441
1370,-530.4262872878,-483.1181444326
1380,-499.4281455346,-483.2363328464
1390,-559.6582515491,-483.7861308226
1400,-473.8411066657,-483.7150949358
1410,-524.4306146787,-484.0038574872
1420,-474.0834751729,-483.9339956399
1430,-511.1089083031,-484.1240299942
1440,-569.626114456,-484.7177944696
1450,-500.5910589356,-484.827265259
1460,-479.8631297926,-484.7932643312
1470,-500.6898245006,-484.9014041963
1480,-460.9652835734,-484.7396736515
1490,-532.3569957666,-485.0592529946
1500,-459.8764906653,-484.8913679124
1510,-510.0037310049,-485.0576749527
1520,-502.2419307966,-485.1707292675
1530,-546.5888381475,-485.5721548157
1540,-554.7952220738,-486.0216552525
1550,-504.8544588086,-486.1431572109
1560,-499.8386464828,-486.2309488088
1570,-541.1956211781,-486.5810422634
1580,-492.7066365999,-486.6198118478
1590,-557.282135512,-487.0642289777
1600,-494.6430499392,-487.1115966087
1610,-522.4133453764,-487.330862129
1620,-513.6972606661,-487.4936176756
1630,-549.0498044606,-487.8712629933
1640,-529.1025752609,-488.1226734339
1650,-501.908328739,-488.20622286
1660,-476.0970407912,-488.1332759801
1670,-465.1829328613,-487.9958487758
1680,-536.6456527742,-488.2854309424
1690,-527.355245026,-488.5166132743
1700,-498.7452225395,-488.5767815641
1710,-527.2064048518,-488.8026857938
1720,-499.910275777,-488.8672648054
1730,-480.7985438587,-488.8206247999
1740,-514.1335743419,-488.9661015214
1750,-511.2727495999,-489.0935680819
1760,-492.5828353547,-489.1133934641
1770,-485.9889243291,-489.0957410961
1780,-467.3340483546,-488.9734843953
1790,-470.2841182386,-488.8690745285
1800,-487.7930147791,-488.8630964188
1810,-516.723748961,-489.0170226759
