episode,interval,reward
10,-407.01996707539803,-407.01996707539803
20,-468.144097582405,-437.58203232890156
30,-516.2592107474323,-463.8077584684118
40,-469.50232565790776,-465.23140026578585
50,-508.91245453077784,-473.96761111878413
60,-483.4792855964908,-475.5528901984018
70,-511.7474341817532,-480.7235393388807
80,-508.38444901708874,-484.1811530486567
90,-500.8069410416716,-486.0284628256583
100,-484.06362103709523,-485.83197864680204
110,-468.61098708892825,-484.2664339597225
120,-432.87482170778696,-479.9837996053946
130,-521.7636042042154,-483.19763072838083
140,-545.674734872795,-487.6602810244104
150,-581.0479483011885,-493.8861255095291
160,-469.28575800414836,-492.3486025404428
170,-547.242520346803,-495.57765652905226
180,-468.7737008033464,-494.0885478776242
190,-487.57237398238857,-493.74559135682244
200,-583.2464398630029,-498.2206337821314
210,-387.35500805721244,-492.94131827142104
220,-506.76841976840876,-493.56982288492054
230,-449.75217271510775,-491.6647076601461
240,-509.81392956659846,-492.42092523958166
250,-479.5629801494779,-491.9066074359775
260,-462.11148542856824,-490.7606412049233
270,-493.46492846977725,-490.8607999925105
280,-509.8109859522563,-491.53759234821575
290,-452.4179931263657,-490.18864065091043
300,-499.86172827375105,-490.5110769050053
310,-453.75453191202786,-489.3253819052319
320,-545.7926045521702,-491.08998261294863
330,-480.54458814262944,-490.7704252047572
340,-496.78716664222213,-490.94738818821213
350,-486.33154712817895,-490.81550701506836
360,-399.754028674152,-488.28602150559834
370,-404.62484284593904,-486.0249085688509
380,-508.2009784410093,-486.60848935496034
390,-475.92254902583164,-486.33449088498264
400,-508.18041737611037,-486.88063904726084
410,-491.72030382836783,-486.9986796516782
420,-460.0896929712244,-486.3579894926197
430,-497.71594455470415,-486.6221279824357
440,-542.0870231845788,-487.8826937824844
450,-518.2704090937013,-488.5579763449558
460,-444.97077759911764,-487.6104285461332
470,-528.1401832719961,-488.47276375306654
480,-578.0545339480045,-490.3390506321278
490,-527.2958070028059,-491.0932701498968
500,-476.47965516426996,-490.8009978501843
510,-500.0442308350265,-490.9822377126321
520,-513.2524326244987,-491.4105106917066
530,-504.76916237086806,-491.6625607233888
540,-552.2954248791556,-492.78539154108825
550,-476.03550976137296,-492.4808482360027
560,-510.783231315992,-492.80767650528816
570,-489.5336595689623,-492.7502376116686
580,-610.255242485081,-494.776185971555
590,-507.31777341650303,-494.98875525028296
600,-529.7475948591322,-495.5680692437638
610,-517.7771052750061,-495.932151801653
620,-549.328114112652,-496.7933770002175
630,-436.34203830137733,-495.83383194150576
640,-594.544305091516,-497.37618308447463
650,-575.1992520347135,-498.5734610683244
660,-535.6262119030539,-499.13486638400207
670,-466.6169391496438,-498.64952418647425
680,-469.3587900391443,-498.2187780960724
690,-488.53784781545227,-498.0784747586722
700,-535.4145286927093,-498.6118469577298
710,-521.8287208336606,-498.9388451813344
720,-367.73668459149854,-497.1165929509199
730,-641.1724464649661,-499.0899608072767
740,-492.976020553897,-499.0073399930419
750,-480.0759498828389,-498.75492145823927
760,-373.93727570399636,-497.1125840141045
770,-488.22847399724594,-496.9972059619375
780,-444.2120933486591,-496.32047374894677
790,-431.2276407407967,-495.4965138374511
800,-475.5231187934448,-495.24684639940097
810,-418.66079040196917,-494.3013395352352
820,-536.5459729471117,-494.8165179914775
830,-488.8134767654563,-494.7441921935735
840,-443.6679704867491,-494.13614193515895
850,-284.8949024627492,-491.67448029430716
860,-294.47739625712575,-489.3814909450376
870,-425.7012304452902,-488.649533927799
880,-556.1980537048515,-489.41713074344733
890,-400.6467104174535,-488.41971029034636
900,-498.55934801417715,-488.53237293172225
910,-474.910096773827,-488.38267758932784
920,-382.8381847727485,-487.23545484132165
930,-535.8536235995349,-487.7582308494745
940,-255.8591159982131,-485.29121898935466
950,-342.8064509988576,-483.79137932629675
960,-476.3003056515754,-483.7133473088518
970,-348.460533003817,-482.31898839849066
980,-310.41684231075646,-480.56488486698316
990,-355.0414601706847,-479.29697148621244
1000,-317.63473789185844,-477.680349150269
1010,-162.35554780372516,-474.55832141416465
1020,-162.206266132346,-471.49604636238223
1030,-70.06250579430227,-467.59863334715817
1040,-294.34433558815783,-465.93272663793704
1050,-302.16033597399206,-464.3729895839946
1060,-312.8935429813817,-462.9439382009511
1070,-381.57121833071164,-462.1834454918834
1080,-320.02229879521707,-460.8671385780254
1090,-358.2752496090165,-459.92592858748407
1100,-436.7790200806473,-459.71550214651285
1110,-210.18675668854993,-457.4674954306753
1120,-321.72656165769047,-456.25552280770233
1130,-463.8544404986927,-456.3227698669147
1140,-527.5864032906793,-456.94788945835137
1150,-357.8623646226042,-456.08627619891
1160,-308.7875574522376,-454.8164596579904
1170,-314.2928436290686,-453.61540311073463
1180,-439.31248814633875,-453.4941919669686
1190,-400.4367949279144,-453.0483314876488
1200,-262.06277876761607,-451.45678521498183
1210,-355.7672339700505,-450.6659624774204
1220,-451.1909614615687,-450.6702657477823
1230,-565.1288502880446,-451.6008233456708
1240,-529.8224317203886,-452.2316427680475
1250,-531.198173058137,-452.8633750103683
1260,-419.56626300587584,-452.59911221668176
1270,-361.0520041181656,-451.8782688458272
1280,-424.55223994454616,-451.66478424503595
1290,-606.5117920410362,-452.8651486465553
1300,-529.3482806563809,-453.4534804312462
1310,-565.1903860744583,-454.30643390943874
1320,-457.70718977477543,-454.3321972114489
1330,-528.4851102352161,-454.8897379108758
1340,-406.4959447741594,-454.5285902009004
1350,-500.89381177866323,-454.8720362866616
1360,-447.62509821683534,-454.81874997732467
1370,-395.20768181216056,-454.38363269144764
1380,-485.3268238650729,-454.60785871444494
1390,-407.80682770920083,-454.2711606496592
1400,-417.87956652457706,-454.01122069162284
1410,-494.6909701614301,-454.2997295531109
1420,-460.7414065634137,-454.34509347571884
1430,-431.17887918609256,-454.18309197719003
1440,-579.3093475411248,-455.0520243074951
1450,-467.9280603628102,-455.14082455615255
1460,-566.2173893111403,-455.90162294488545
1470,-406.63940671498074,-455.56650582767514
1480,-272.72664861107904,-454.3311013870225
1490,-306.48657976907697,-453.33885627549273
1500,-248.56475123136198,-451.97369557519846
1510,-220.4014091172261,-450.4401042741523
1520,-332.73586602426064,-449.66573428566613
1530,-267.22315429527544,-448.4732991223303
1540,-453.26881632406696,-448.50443884441955
1550,-440.6265718057245,-448.45361389578284
1560,-412.9803097315924,-448.22622092037153
1570,-487.1029403723636,-448.47384333726313
1580,-398.46320619509544,-448.157320317376
1590,-306.6894631600977,-447.2675853667013
1600,-601.3073342359565,-448.2303337971342
1610,-597.2957037870309,-449.1562056604255
1620,-281.9168867826131,-448.1238641858711
1630,-399.38385836540004,-447.82484574525466
1640,-213.55224585962614,-446.3963542825374
1650,-551.3516667323939,-447.03244708526387
1660,-499.3958450258475,-447.34788924153236
1670,-308.6685770708299,-446.5174741985939
1680,-444.0242769216462,-446.5026337386122
1690,-461.8060066292766,-446.59318624092384
1700,-393.2023530681224,-446.279122516378
1710,-398.3194342709708,-445.99865650324693
1720,-414.13564025481185,-445.8134064087793
1730,-436.58221085144095,-445.7600468968872
1740,-321.1704981442613,-445.0440150075044
1750,-396.6420209574987,-444.7674321843615
1760,-220.3591847219106,-443.49238532377944
1770,-337.4348644500816,-442.89319029059465
1780,-455.5742196657312,-442.9644320286573
1790,-320.42353827964587,-442.2798460300595
1800,-381.56464074662205,-441.9425393340405
1810,-259.6459441143021,-440.9353758245392
1820,-551.4572938917438,-441.5426391106229
1830,-381.69995859044127,-441.2156299274525
1840,-504.0876657577528,-441.5573257743562
1850,-352.1769963088874,-441.0741888583265
1860,-480.96627438958205,-441.2886624364516
1870,-371.7819281509907,-440.9169686702192
1880,-399.34508418297605,-440.6958416250743
1890,-270.45338863177165,-439.79508790553297
1900,-142.85804644489303,-438.2322613715296
