episode,interval,reward
10,-77.07001081142899,-77.07001081142897
20,-51.07574848196596,-64.07287964669746
30,-30.777080444251197,-52.97427991254871
40,-28.73425093385229,-46.914272667874606
50,-16.916876168024842,-40.91479336790464
60,-7.955036596057978,-35.42150057259688
70,-14.321646857655526,-32.40723575617668
80,-3.1581166635009783,-28.751095869592213
90,-6.874923199822883,-26.32041001739562
100,-6.778974357144482,-24.366266451370503
110,-3.235974047504957,-22.44533077829182
120,0.019457760429662452,-20.57326506673169
130,-8.636089470492786,-19.65502079009793
140,-5.385715982980975,-18.63578473244672
150,-4.3036231392667545,-17.680307292901386
160,-2.5407720895218846,-16.734086342690162
170,0.13933764828674416,-15.741531990279757
180,-1.1623730337803484,-14.931578714918677
190,-2.7169067594678102,-14.288701243579156
200,-2.6082834483960857,-13.704680353819999
210,-2.3221838938776727,-13.162656712870367
220,-6.538412849176058,-12.861554719066083
230,-2.803821592767517,-12.424261974444406
240,-6.359432279751641,-12.171560737165542
250,-1.1699312731742506,-11.731495558605891
260,-0.12442650856132158,-11.285069825911869
270,0.072353210945486,-10.864424528250485
280,-2.825061357146775,-10.57730441499678
290,-3.1257299928057294,-10.32035357285226
300,-1.4335554505781891,-10.02412696877646
310,-2.717876130543743,-9.788441457865732
320,-2.8122041723793756,-9.570434042694282
330,-2.919491857877127,-9.368890340124064
340,-4.09393355235259,-9.213744552248432
350,-2.813542698868858,-9.030881642151872
360,-1.3507716951383668,-8.817545254734828
370,-4.2422138454752085,-8.693887649079159
380,-2.62661711342836,-8.534222634983083
390,-2.842488895150832,-8.388280744218152
400,-2.8733598717713407,-8.250407722406981
410,-2.8562337630022383,-8.118842503884913
420,-2.8574743570644863,-7.993571833722521
430,-1.3863351919939935,-7.839915167635812
440,-2.688852963679494,-7.72284557209135
450,0.029057084555433137,-7.5505810686103105
460,-2.858141857641727,-7.448571520545776
470,-2.9415851312592176,-7.352678193114148
480,-2.809873463609621,-7.258036427916137
490,0.014598031553317636,-7.1096153164983935
500,0.04811256433610325,-6.966460758881703
510,-2.541456381761667,-6.8796959671734665
520,-4.119671118932657,-6.826618566245759
530,-5.347064256434821,-6.7987024471927215
540,-1.276289718638969,-6.696435544812097
550,-1.2670866171913184,-6.5977201097644445
560,-1.2195800947236017,-6.501681895210145
570,-2.673039468625947,-6.434512729831474
580,-3.870937593845118,-6.390313158521366
590,-2.8072619730438237,-6.329583477411578
600,-1.4579256945207002,-6.2483891810300625
610,-1.2897576184329804,-6.167100139020273
620,-6.443453463333045,-6.171557450702739
630,0.10746107783681394,-6.0718904899322705
640,-1.4774189411549166,-6.000101871982626
650,1.4325279524249093,-5.8857537208378945
660,-2.692324684981069,-5.837368432415822
670,-4.193238471285304,-5.81282917926462
680,-4.1642314377737355,-5.788585094830931
690,-6.809784944635349,-5.803385092654183
700,-4.20703239227016,-5.780580054077268
710,-2.6036734650777213,-5.73583489085192
720,-2.839252710885753,-5.6956045827968325
730,-1.4099313583634658,-5.636896730407334
740,-1.4478977690097614,-5.580288636334393
750,-2.8710865897845714,-5.5441659423803955
760,-1.332775538362648,-5.488752910748583
770,-2.360220343267536,-5.448122617664413
780,-4.064212570006396,-5.430380181155979
790,0.0056301352505714,-5.361569923986276
800,-1.346467166534969,-5.311381139518136
810,-1.2267861882990885,-5.260954041354938
820,-0.01910284699281529,-5.197029026789546
830,-2.475627145445116,-5.164241052315518
840,-1.2116507861041437,-5.117186406289193
850,-4.193471946051664,-5.106319177345221
860,-1.3088057597356013,-5.062162044582319
870,-2.491895229074442,-5.032618747852342
880,-0.07293172277725574,-4.976258668021942
890,0.12608084479920068,-4.918929010574514
900,-0.05261487145253017,-4.864858853473158
910,0.0343596902431497,-4.811021287058692
920,-1.2518125054022575,-4.772334235084165
930,-0.07843554579817684,-4.721862206167111
940,-1.2151950466108823,-4.684557236384598
950,-1.216334355780335,-4.648049627115079
960,-1.2612003195357733,-4.612769946827797
970,-8.804233345839897,-4.655980909704209
980,-4.9423685502887365,-4.658903232567317
990,-1.2353302631191376,-4.624321687421375
1000,-2.416935763264255,-4.602247828179805
1010,-0.04429082288743353,-4.557119540998692
1020,-3.576832948332916,-4.5475088881294194
1030,-2.500683426413765,-4.5276367962681014
1040,-1.256858936263828,-4.496187009152678
1050,-0.03864680019255723,-4.453734245257818
1060,-1.0935936011298915,-4.422034805218875
1070,0.02079583367647712,-4.380513023546956
1080,-0.02533023760272334,-4.340187257010435
1090,-1.319178988948131,-4.312471584826378
1100,-1.0224852995458495,-4.282562618596555
1110,-1.2914585333242576,-4.2556157349454535
1120,0.028173053766633815,-4.217367620760524
1130,0.04885515193904003,-4.179613436931326
1140,-0.01180960293599238,-4.1430537541769805
1150,-1.3384240278299102,-4.118665669600049
1160,0.06467791473003728,-4.082602362838584
1170,-1.2872670855466999,-4.058710608331816
1180,-8.727524362566092,-4.098276826588037
1190,-5.02922247854095,-4.106099899293523
1200,-1.2287875954025154,-4.0821222967610975
1210,-6.236382445668026,-4.099926099644625
1220,-2.5111318408107755,-4.08690319588369
1230,-2.5208403982577203,-4.074170978016812
1240,-4.966413211946232,-4.081366479903339
1250,-1.3062084488737757,-4.059165215655103
1260,-1.2177650369510582,-4.036614420586023
1270,0.0286473412002769,-4.004604485453848
1280,-2.5150058335251724,-3.992966995985655
1290,-6.394493426337625,-4.011583479941872
1300,-3.684296637975873,-4.009065888849827
1310,-4.9414838824863025,-4.016183583457741
1320,-7.480978332335738,-4.042432028524998
1330,-7.362602931956923,-4.0673957195282435
1340,-2.4262935838476727,-4.055148688664954
1350,0.025735182962628354,-4.02491991924549
1360,-0.004468991031432526,-3.9953577800674447
1370,-6.123014069697428,-4.010888117947956
1380,-3.7440584592191124,-4.008954569696297
1390,-2.5158695695909845,-3.998212950990505
1400,-1.2834608670533105,-3.9788218646766675
1410,0.03113264991744743,-3.9503824709561433
1420,-2.501004167967456,-3.9401755814984765
1430,-8.779633670104724,-3.974017945754464
1440,-1.2665341701807031,-3.955215975090757
1450,-1.257683082894118,-3.93661229997216
1460,-6.247816226805265,-3.952442463854579
1470,-4.952980276953373,-3.9592488435355238
1480,-3.8010499838687672,-3.958179932321558
1490,-4.9676050749737435,-3.9649545977084855
1500,-0.03850605125973705,-3.9387782740654935
1510,-2.4968600733554256,-3.9292291469084732
1520,-2.381856908839029,-3.919049066394858
1530,-3.677519078717155,-3.9174704390244144
1540,-0.11165939787750485,-3.892757380315668
1550,0.10452312670426848,-3.8669684738187646
1560,-1.2182301721782842,-3.8499893821415814
1570,-0.10494231258151125,-3.826135579150753
1580,-4.647014374176893,-3.83133101456231
1590,-3.7711871382287967,-3.830952751189143
1600,-6.452962217508757,-3.84734031035364
1610,-3.481494190086335,-3.8450679742029115
1620,-1.2826490739848706,-3.8292505735842814
1630,-0.06969267962694514,-3.806185801228715
1640,-7.161702930786239,-3.826646271530895
1650,-2.3631401799465404,-3.817776537642505
1660,-4.858714671014027,-3.8240472492893223
1670,-2.589542174038246,-3.816655003329735
1680,-7.453227774765452,-3.838301269826376
1690,-3.740351382604962,-3.837721684694889
1700,-8.881094035407775,-3.8673885808755526
1710,-7.390316028651466,-3.8879904957748272
1720,-5.019795413010916,-3.8945707569215484
1730,-7.400167385658799,-3.9148343212495087
1740,-2.5459527208374544,-3.9069671856149566
1750,-5.049100705522133,-3.913493662871569
1760,-8.712684705426199,-3.9407617937951747
1770,-1.2229283742150971,-3.9254068027241007
1780,-2.506712829615503,-3.917436611863941
1790,-1.3060195241479593,-3.902847689586198
1800,-2.468639215783003,-3.894879864731735
1810,-1.244834220127673,-3.8802387285737012
1820,-1.2848887412555068,-3.8659785638082167
1830,-1.248441461988453,-3.8516750823775077
1840,-1.206140799520489,-3.837297178666329
1850,-6.259612410303152,-3.850390774513015
1860,-2.363242792787315,-3.8423953552564245
1870,0.008308765327212064,-3.821803354611592
1880,-2.37529805831517,-3.8141091775036315
1890,0.026823514512834584,-3.793786782307777
1900,-3.489649690823724,-3.7921860607736506
1910,-6.122368231158844,-3.8043859674248823
1920,-2.4595908298357494,-3.7973818260832726
1930,-0.026311815775577445,-3.777842603231937
1940,-2.468992285434319,-3.7710959521092695
1950,-3.781391644176052,-3.7711487505301244
1960,-1.2558528279916523,-3.7583156080681936
1970,-2.5201800718091785,-3.7520306561074874
1980,-4.530528852274045,-3.755962465179036
1990,-1.2595492556970143,-3.7434176751816395
2000,-5.028871382393976,-3.7498449437177013
2010,-3.708841895455591,-3.749640948452716
2020,-10.367264454048694,-3.7824014608566556
2030,-11.259106004071821,-3.819232517719785
2040,-6.314703063641369,-3.831465216474302
2050,-4.9413011125013835,-3.836879050113459
2060,-6.495090734350294,-3.849782990328201
2070,-9.060029175632447,-3.8749532617547913
2080,-5.188156737646711,-3.8812667400042713
2090,-6.402078295738926,-3.893328039314006
2100,-10.043409206265185,-3.9226141401090118
2110,-8.721704068980603,-3.9453586421415787
2120,-5.025678768553819,-3.950454491794466
2130,-7.500089786979314,-3.967119446231955
2140,-6.219318712018553,-3.9776437418664714
2150,-6.6185718126083,-3.989927128242014
2160,-3.7700075834513846,-3.9889089822013166
2170,-1.2282261401232328,-3.9761869414544124
2180,-3.7582639081408415,-3.9751872945126054
2190,-3.7486367659705104,-3.9741528172133274
2200,-2.52052790297364,-3.9675454312395106
2210,0.01887631111796984,-3.9495073238080294
2220,-1.2709150041247959,-3.9374415926382844
2230,-4.981615815621433,-3.942123988257044
2240,-1.277546273545901,-3.9302285520306546
2250,-6.102856607364434,-3.939884676721027
2260,0.03502530494018198,-3.922296579457038
2270,-3.7609406719365572,-3.9215857604811784
2280,-4.886501100921902,-3.925817845307673
2290,-11.246200829440216,-3.95778458322965
2300,-4.867770565046186,-3.961741044020157
2310,-6.242738794487409,-3.97161549315638
2320,-7.513683391785975,-3.9868830272021976
2330,-8.74021907696043,-4.007283611106739
2340,-5.023308901669408,-4.011625599527947
2350,-3.7277845782404277,-4.010417765394807
2360,-2.4904850308559414,-4.003977372451844
2370,-2.5171860743639085,-3.9977039914472536
2380,-2.506213245382433,-3.991437223606645
2390,-5.019573642552604,-3.99573904962734
2400,-2.4906470530023657,-3.9894678329747344
2410,-2.5264444633450096,-3.983397196586229
2420,0.012713602469047935,-3.9668843420446778
2430,-2.4923394219684853,-3.9608162559538282
2440,-0.014124442071141871,-3.944641289503489
2450,-0.005842267816427689,-3.9285645588027247
2460,-2.5548366519561556,-3.9229802990187963
2470,-4.914948833115913,-3.926996365958459
2480,-0.03168240774110609,-3.9112894548366146
2490,-0.09111448969688835,-3.895947386703523
2500,-7.583854018328395,-3.9106990132300226
2510,-3.850490691976969,-3.910459139440171
2520,-1.1619254505393157,-3.8995522597223102
2530,-0.014700735807328433,-3.8841971153590107
2540,-1.245704879873948,-3.873809350652376
2550,-1.2353443857080462,-3.863462429221222
2560,-3.782941393564049,-3.8631478939256865
2570,-2.579202524093756,-3.8581519975450185
2580,0.08961109310156935,-3.8428505902169308
2590,-1.1961366432911507,-3.8326316174488784
2600,-6.171887654555631,-3.8416287560531326
2610,-7.442279590897672,-3.8554243531215024
2620,-6.244132717470849,-3.86454156061902
2630,-3.7566156517394473,-3.8641311959464746
2640,-3.7410178102822833,-3.8636648573644137
