episode,reward
10,-40.3201767766
20,-64.3686987971
30,-69.6565244957
40,-72.8334273345
50,-76.294805283
60,-71.5964390895
70,-73.596647751
80,-70.3287478288
90,-70.9223985017
100,-72.0076110965
110,-72.4789036933
120,-72.4074345915
130,-75.2258896147
140,-75.3317135363
150,-73.6855093856
160,-71.540482573
170,-69.2650532467
180,-67.1809732148
190,-66.0761418498
200,-64.3037867829
210,-61.314073747
220,-59.5138425527
230,-58.6031214744
240,-58.0101913579
250,-57.1582278285
260,-56.8429889639
270,-55.4682600815
280,-54.3162102548
290,-52.6898835788
300,-52.3832914928
310,-51.7688449902
320,-51.3309949518
330,-50.6791639123
340,-50.3369376911
350,-49.4955080863
360,-48.4346952068
370,-47.159678038
380,-46.2651662026
390,-45.3128614833
400,-44.1280615148
410,-43.0693942405
420,-42.4669353576
430,-41.4020467442
440,-40.9155804369
450,-40.2340885264
460,-39.5460951749
470,-38.7214484986
480,-37.8580309986
490,-37.0419296167
500,-36.2718950202
510,-35.5772056125
520,-34.8811880679
530,-34.2051862145
540,-33.7791356323
550,-33.1519489948
560,-32.5242754759
570,-31.9555884467
580,-31.4047267563
590,-30.8453766841
600,-30.5273765037
610,-30.2030168076
620,-29.7292641527
630,-29.2826178547
640,-28.9765921681
650,-28.5025340341
660,-28.1148840925
670,-27.6661390397
680,-27.2232342699
690,-26.8300617712
700,-26.4495470164
710,-26.0714778558
720,-25.722838807
730,-25.3467868871
740,-25.1163086284
750,-24.9001305842
760,-24.5690129497
770,-24.2679709535
780,-23.9381701594
790,-23.6189463106
800,-23.401600926
810,-23.1334022142
820,-22.9031553295
830,-22.6553368048
840,-22.4753947175
850,-22.3485753769
860,-22.1268986707
870,-21.866584189
880,-21.5883201047
890,-21.4576444816
900,-21.2125169921
910,-20.9849865246
920,-20.7264721798
930,-20.7052556171
940,-20.4940996532
950,-20.280681441
960,-20.0593790706
970,-20.0473307331
980,-19.831476169
990,-19.6406893749
1000,-19.4491860959
1010,-19.2589066507
1020,-19.1795998993
1030,-18.9903933582
1040,-19.1029975156
1050,-18.9469567363
1060,-18.7828094182
1070,-18.6036900092
1080,-18.5198861168
1090,-18.3447859204
1100,-18.1836048347
1110,-18.0027372269
1120,-17.8483384625
1130,-17.6891245772
1140,-17.5165366796
1150,-17.3540166264
1160,-17.183970951
1170,-17.1898114588
1180,-17.1125526124
1190,-16.9608235905
1200,-16.8020122017
1210,-16.7466495142
1220,-16.7792317128
1230,-16.6391537186
1240,-16.4970662086
1250,-16.5322026652
1260,-16.4042910564
1270,-16.2835613347
1280,-16.1566301743
1290,-16.0208486635
1300,-15.8923429308
1310,-15.7621956012
1320,-15.6425440766
1330,-15.5354831818
1340,-15.4174063215
1350,-15.302583179
1360,-15.211325878
1370,-15.0996176565
1380,-14.9868271277
1390,-14.8688803096
1400,-14.8367724645
1410,-14.7366268782
1420,-14.6330375412
1430,-14.7501665361
1440,-14.6401121348
1450,-14.5441801821
1460,-14.5150404811
1470,-14.420688134
1480,-14.3369443527
1490,-14.2503495092
1500,-14.1477417468
1510,-14.0443565003
1520,-13.9436796351
1530,-13.8596972238
1540,-13.768483695
1550,-13.6791672927
1560,-13.5831399751
1570,-13.4991945547
1580,-13.4188737891
1590,-13.3216070369
1600,-13.2290765413
1610,-13.144290684
1620,-13.0650279592
1630,-12.9925284877
1640,-12.9200625673
1650,-12.9106416572
1660,-12.8320998863
1670,-12.7678358967
1680,-12.697609448
1690,-12.6242505484
1700,-12.5496865602
1710,-12.4684296675
1720,-12.407534719
1730,-12.381474155
1740,-12.3078692952
1750,-12.2880441147
1760,-12.3339256329
1770,-12.2672630228
1780,-12.2661238457
1790,-12.2058147466
1800,-12.1333437636
1810,-12.0719451782
1820,-11.9965038577
1830,-11.996075197
1840,-11.9272982146
1850,-11.8467869207
1860,-11.7845873875
1870,-11.712792444
1880,-11.6592337432
1890,-11.595282079
1900,-11.5406363085
1910,-11.4653043842
1920,-11.4009706606
1930,-11.3492236258
1940,-11.3442706644
1950,-11.2811583081
1960,-11.2676401062
1970,-11.2218595139
1980,-11.1543639072
1990,-11.1014563017
2000,-11.0539141566
2010,-10.9972958037
2020,-10.9457248913
2030,-10.8933177347
2040,-10.8334115443
2050,-10.7847013976
2060,-10.7453284219
2070,-10.7358051883
2080,-10.6869581004
2090,-10.6393782934
2100,-10.5915503095
2110,-10.5383610398
2120,-10.4849099538
2130,-10.4335353232
2140,-10.3822423965
2150,-10.3367207197
2160,-10.2916142533
2170,-10.3366069486
2180,-10.2875822636
2190,-10.2437850038
2200,-10.1960728246
2210,-10.2031669257
2220,-10.149491038
2230,-10.1027490913
2240,-10.0660126504
2250,-10.0621560348
2260,-10.0171795892
2270,-9.9721603571
2280,-9.9276487441
2290,-9.8891032235
2300,-9.9434147851
2310,-9.9440006706
2320,-9.8925900502
2330,-9.8439375341
2340,-9.8017419954
2350,-9.7510314184
2360,-9.7148698972
2370,-9.6664936061
2380,-9.66651323
2390,-9.6234248597
2400,-9.6580109044
2410,-9.613735209
2420,-9.5761923043
2430,-9.5725879994
2440,-9.5725640426
2450,-9.5282177442
