episode,reward
10,-500.372840382
20,-499.5931558591
30,-499.8371037886
40,-498.9492581813
50,-498.6618935332
60,-499.4839539468
70,-499.2456351992
80,-499.4093226354
90,-499.5044615649
100,-499.5658595323
110,-499.8159267746
120,-499.8070096486
130,-499.8040265308
140,-498.8894431667
150,-499.1025104096
160,-499.10949903
170,-499.1072348992
180,-499.1391082285
190,-499.1143469491
200,-499.0887164152
210,-499.1917131813
220,-499.3004522672
230,-499.2825645335
240,-499.3236259029
250,-499.4368355189
260,-499.3291797786
270,-499.3658711362
280,-499.3846999601
290,-499.4024833915
300,-499.544718308
310,-499.4813262899
320,-499.5898637799
330,-499.5445114667
340,-499.0428685049
350,-499.0181101224
360,-499.0673244374
370,-499.0917632779
380,-499.0641269692
390,-499.1490766407
400,-499.0991466533
410,-499.1946917863
420,-499.2348917098
430,-498.7718289311
440,-498.8015571964
450,-498.9336644633
460,-498.8464140691
470,-498.5847337241
480,-498.5859441148
490,-497.9316749611
500,-498.0514872309
510,-497.2592370224
520,-497.3572428725
530,-496.7027712011
540,-496.824542722
550,-496.7158863066
560,-496.4091808244
570,-495.9395927691
580,-496.0355711724
590,-496.1010272763
600,-495.8453171265
610,-495.6591064341
620,-495.5005529231
630,-494.8133523817
640,-494.361102551
650,-494.1491081671
660,-493.8092339745
670,-492.623286901
680,-491.4765808073
690,-489.0478274891
700,-487.2903120289
710,-485.833762148
720,-483.6821422067
730,-481.3053640323
740,-479.4765246087
750,-476.4325101193
760,-472.6896603325
770,-470.0806261811
780,-467.9085515306
790,-465.4140369021
800,-461.4259539138
810,-457.9910850634
820,-455.7526995933
830,-454.3387239385
840,-452.7911549543
850,-451.5681888137
860,-450.2717056153
870,-449.6813386593
880,-447.5706360848
890,-446.1714117152
900,-443.6622988361
910,-440.3721918236
920,-437.734350168
930,-434.7310799471
940,-432.6391509588
950,-430.5932413313
960,-428.1370476865
970,-424.5844947602
980,-422.4725600737
990,-419.1156106433
1000,-416.0046911418
1010,-412.8921482194
1020,-410.0690229663
1030,-406.4136571453
1040,-403.1526168011
1050,-399.7908445393
1060,-397.1545212793
1070,-394.5460304219
1080,-392.1380907794
1090,-390.179390387
1100,-387.213378354
1110,-385.2368597891
1120,-382.8330631632
1130,-380.9158452575
1140,-378.1677772467
1150,-376.0291387373
1160,-374.2262982496
1170,-371.598625777
1180,-368.8763052108
1190,-366.4426824364
1200,-364.8073171814
1210,-362.9974842591
1220,-360.8475191392
1230,-358.6624069344
1240,-356.8392819174
1250,-354.8060843496
1260,-352.8964896883
1270,-351.0148658573
1280,-349.8200147079
1290,-347.8830386572
1300,-345.9763315502
1310,-344.0639207276
1320,-342.2099700275
1330,-340.301818137
1340,-337.8533321426
1350,-335.9742219047
1360,-334.6627841231
1370,-333.076563006
1380,-331.0231144032
1390,-329.6038380639
1400,-328.5584722959
1410,-327.8842105018
1420,-327.1427301169
1430,-326.3254896508
1440,-325.1227025248
1450,-323.8699860082
1460,-322.4604050311
1470,-320.947788335
1480,-319.3354744404
1490,-317.8334019045
1500,-316.3728625161
1510,-314.9436394336
1520,-313.4258652534
1530,-312.2412940383
1540,-310.545329865
1550,-309.0936571761
1560,-307.628626289
1570,-306.8306638102
1580,-306.2001944999
1590,-305.0885825545
1600,-304.258045411
1610,-303.7714895425
1620,-302.8592565461
1630,-302.2902627693
1640,-301.9886841504
1650,-301.0570505002
1660,-300.8202196336
1670,-300.2137232253
1680,-299.8338442226
1690,-299.2547865533
1700,-298.3543790523
1710,-297.6864054935
1720,-297.1100443338
1730,-296.4713911465
1740,-296.0967374483
1750,-296.1965905382
1760,-296.0807117902
1770,-295.6874939706
1780,-295.7221713882
1790,-295.178913897
1800,-294.9272153714
1810,-294.864621422
1820,-294.0762862552
1830,-293.6723726159
1840,-293.4518771723
1850,-292.9624876974
1860,-292.7404377821
1870,-292.6005262687
1880,-291.7069439042
1890,-290.9595840685
1900,-290.6749554411
1910,-290.375481617
1920,-290.3565118998
1930,-290.0307276286
1940,-289.9175873435
1950,-289.5353789459
1960,-289.4238676745
1970,-289.4712114535
1980,-289.4336415275
1990,-289.7948917873
2000,-289.662503743
2010,-289.6424957781
2020,-289.2784614934
2030,-289.3430756886
2040,-288.8881595521
2050,-288.6139771866
2060,-288.2817527669
2070,-287.7814372654
2080,-287.5818223231
2090,-287.2396970184
2100,-287.7754707275
2110,-287.5312149665
2120,-287.6765701476
2130,-287.4944703546
2140,-287.1240025627
2150,-286.87425191
2160,-286.5493271548
2170,-286.0890743364
2180,-285.8636098094
2190,-285.7822800782
2200,-285.5515891707
2210,-285.0929481268
2220,-284.6823590738
2230,-284.7015240398
2240,-284.2668974301
2250,-284.1119889985
2260,-283.5747795244
2270,-283.6990670745
2280,-283.262665567
2290,-283.5738316734
2300,-283.2457768312
2310,-282.7409186598
2320,-282.126332042
2330,-281.7903369074
2340,-281.1590535152
2350,-280.7976476987
2360,-280.2965775601
2370,-280.1302592337
2380,-279.5686226842
2390,-279.1182529411
2400,-278.305198305
2410,-277.6524896452
2420,-276.9348642314
2430,-276.2436306261
2440,-275.52192686
2450,-275.0865056318
2460,-274.5186021023
2470,-273.6749595899
2480,-273.0005327977
2490,-272.2624253501
2500,-271.406457194
2510,-270.6247938242
2520,-269.8333008647
2530,-269.2258935036
2540,-268.856999247
2550,-268.3828249148
2560,-267.7817132229
2570,-267.2631994925
2580,-267.0194709206
2590,-266.5941096801
2600,-265.8993121391
2610,-265.1575951937
2620,-264.7693722484
2630,-264.3339044811
2640,-263.7354889575
2650,-263.2472984295
2660,-262.6120812426
2670,-262.1632228712
2680,-261.4201420161
2690,-260.8616648904
2700,-260.6470891684
2710,-260.1208487754
2720,-259.7071871568
2730,-259.1347119761
2740,-258.8852048602
2750,-258.3544414605
2760,-257.686208833
2770,-257.1329621029
2780,-256.445118167
2790,-255.7641637274
2800,-255.5333901173
2810,-255.4467155975
2820,-255.2966052219
2830,-255.1090458138
2840,-254.7114206921
2850,-254.2890377039
2860,-253.9775714618
2870,-253.7108547957
2880,-253.3214566478
2890,-252.5045924913
2900,-252.0926948425
2910,-251.9044036166
2920,-251.3364749498
2930,-250.8266031419
2940,-250.3805895811
2950,-250.0111591229
2960,-249.5859695383
2970,-249.1672265311
2980,-248.5550919112
2990,-247.9097023535
3000,-247.4205221409
3010,-246.8192380157
3020,-246.0544531183
3030,-245.3004342625
3040,-244.7204203944
3050,-244.0210360461
3060,-243.3837034276
3070,-242.7001768241
3080,-241.9165751403
3090,-241.4088162186
3100,-240.7302932723
3110,-240.2199954362
3120,-239.5054072759
3130,-239.0085531927
3140,-238.3516428494
3150,-237.7502403328
3160,-237.2281960807
3170,-236.6194675519
3180,-236.0841888243
3190,-235.5018138164
3200,-234.9664817274
3210,-234.3856439105
3220,-233.7597990848
3230,-233.0382791716
3240,-232.427022403
3250,-231.8757953517
3260,-231.2447085445
3270,-230.6359839171
3280,-230.184461876
3290,-229.6953373827
3300,-229.1446367181
3310,-228.6019240631
3320,-228.0515022761
3330,-227.5154328698
3340,-226.8350533132
3350,-226.1605407501
3360,-225.5335058918
3370,-225.0108551525
3380,-224.4471367273
3390,-223.8869491478
3400,-223.3204049632
3410,-222.7618003227
3420,-222.1593540917
3430,-221.7567505634
3440,-221.1610657437
3450,-220.5707018722
3460,-219.9767319082
3470,-219.394434144
3480,-218.9518768154
3490,-218.5269716137
3500,-218.0361160554
3510,-217.7026148628
3520,-217.3213643776
3530,-216.7004679542
3540,-216.2771030014
3550,-215.7717244945
3560,-215.391618362
3570,-214.878702229
3580,-214.469465098
3590,-214.0069296273
3600,-213.6937389626
3610,-213.471490322
3620,-213.0192943765
3630,-212.6171192426
3640,-212.3505861675
3650,-212.3782027041
3660,-212.1712283489
3670,-211.8531296545
3680,-211.549330252
3690,-211.0664752679
