episode,Reward-1
10,17.1736801768
20,7.3358112872
30,5.0244382738
40,1.5586253251
50,1.3755769071
60,1.5062972319
70,2.500260211
80,2.1669182127
90,1.5873993269
100,2.7339443551
110,3.0246692329
120,2.5456563903
130,1.3901264783
140,1.9384537315
150,2.5374222537
160,2.0377805339
170,2.0064043456
180,1.824407901
190,1.7594757475
200,1.721396042
210,1.9671262393
220,2.1177841222
230,2.4551485379
240,2.4940486404
250,2.6062093371
260,2.7195576017
270,2.946371123
280,2.7123749979
290,2.7905387513
300,2.6192133396
310,2.7863131453
320,2.8032676958
330,3.0027394575
340,2.8217102096
350,2.5878577977
360,3.0091756926
370,2.8695752593
380,3.1200078284
390,3.2804250019
400,3.3613829355
410,3.4988797706
420,3.4168049893
430,3.6934668576
440,3.8025553833
450,3.697668295
460,4.0575958984
470,3.9939928807
480,4.0714928481
490,4.9062590101
500,5.4210752838
510,5.5563540798
520,5.1534858479
530,6.2385919118
540,4.8623359071
550,5.5531298227
560,5.5786081124
570,6.6914620751
580,6.4743981484
590,7.2625873357
600,7.5481135108
610,8.3850436334
620,8.4881463305
630,8.4323200079
640,9.211391368
650,8.3470267047
660,7.0492730274
670,7.3185107851
680,9.3004256205
690,9.9352047239
700,10.3107738037
710,10.0272110729
720,9.6125541706
730,9.2846612727
740,8.6537418383
750,7.684976363
760,6.926109924
770,5.8372882838
780,5.302941908
790,5.6287337012
800,4.5297672959
810,4.8838495304
820,5.4354387165
830,5.0196555661
840,4.3597312472
850,4.2622551794
860,3.7454171121
870,3.5563846344
880,3.4684102317
890,4.0066022805
900,4.3575672793
910,4.4230926022
920,4.9591056684
930,4.2390514474
940,4.3541241513
950,4.4929488281
960,4.5349284112
970,5.1683991618
980,5.0672682563
990,5.1289860586
1000,5.3241078255
1010,5.4474321286
1020,5.3224195746
1030,5.1569366532
1040,5.3878188019
1050,5.555834727
1060,5.7347245806
1070,5.8221413665
1080,5.9191217048
1090,6.0696481943
1100,5.9411344329
1110,6.0876415562
1120,6.0708033782
1130,5.8571182662
1140,6.1157971063
1150,6.0030770665
1160,5.7792781622
1170,5.6720033951
1180,5.3872144452
1190,5.7040087472
1200,5.5478323826
1210,6.0270581147
1220,5.9752721703
1230,5.8921383188
1240,6.5384682849
1250,6.7868451866
1260,6.2480928481
1270,6.3625399489
1280,6.1739628748
1290,6.3202364653
1300,6.1820343541
1310,6.0109544717
1320,5.7821024743
1330,6.0556380095
1340,6.2571463187
1350,6.0813690351
1360,6.4388545153
1370,6.481230075
1380,6.6058260612
1390,6.6351261576
1400,6.6272370303
1410,6.554352905
1420,6.5291814751
1430,6.5484066745
1440,6.373544233
1450,6.3662483115
1460,6.4073625093
1470,6.3835225727
1480,6.3634393156
1490,6.1873470872
1500,6.2298032162
1510,6.4111540339
1520,6.523456235
1530,6.2469929084
1540,6.2638386324
1550,6.241636216
1560,6.1908982917
1570,6.012777543
1580,6.3037055699
1590,6.3887729186
1600,6.0895822338
1610,6.0724345132
1620,5.8801644677
1630,5.665633225
1640,5.9019718249
1650,5.7866307044
1660,5.8077449852
1670,5.703308313
1680,5.6829209033
1690,5.6429898628
1700,5.8178048216
1710,5.8774328161
1720,5.9188363159
1730,6.0002384667
1740,6.0902271099
1750,6.3788207313
1760,6.4097751522
1770,6.8315338014
1780,6.8700027808
1790,6.9104858774
1800,7.100782991
1810,7.2937614047
1820,7.4907646005
1830,7.6620673615
1840,7.6438538595
1850,7.6229755992
1860,8.1720229614
1870,8.3292543106
