episode,interval,reward
10,-1306.4568931197293,-1306.456893119729
20,-992.8283285886712,-1149.6426108542003
30,-441.5478991620519,-913.6110402901506
40,-88.09353736216922,-707.2316645581553
50,18.32467178426238,-562.1203972896715
60,97.25577100773123,-452.22436924010424
70,302.79692576888175,-344.36418423882054
80,812.3613300447589,-199.77349495337313
90,1306.6588541148644,-32.39212283468012
100,1810.7125535368148,151.91834480246942
110,2521.781617306152,367.3604604846223
120,3133.2093556814307,597.8478684176897
130,3519.3670029391988,822.5801095347289
140,3617.1370348401556,1022.1913184851164
150,3841.876826753789,1210.1703523696947
160,3890.8549569772076,1377.7131401576644
170,3986.6176010386944,1531.1781084447834
180,3990.391503831785,1667.801074855172
190,3898.2127058711494,1785.1911606981182
200,3944.66814067706,1893.1650096970654
210,4011.6760343341048,1994.046487060734
220,4069.9435110390214,2088.405442696111
230,4105.9217290606375,2176.123542103265
240,4150.432051476768,2258.3863966604945
250,4129.317765717495,2333.2236514227748
260,4119.777247423517,2401.937251268958
270,4097.463255488399,2464.7345106844923
280,4115.484797164803,2523.6898780587885
290,4154.970875799399,2579.940946946396
300,4118.157129210121,2631.214819688519
310,4156.259263308408,2680.4098017407737
320,4140.55713780272,2726.0394059927107
330,4169.020972314926,2769.766120123687
340,4167.775805419291,2810.884052044145
350,4149.718522691706,2849.1364654912168
360,4191.648917444282,2886.428478045468
370,4196.343013975538,2921.8315736111454
380,4132.171241390775,2953.6826175000833
390,4094.4606225330012,2982.933335577851
400,4143.367929660964,3011.944200429929
410,4188.8015592655,3040.648038450309
420,4212.817453945491,3068.5568340573373
430,4166.327310848055,3094.0863800292145
440,4212.5672095537375,3119.506398882045
450,4182.177305151921,3143.121307910265
460,4179.746782737216,3165.6566443195466
470,4190.564566294204,3187.4631958509226
480,4223.753855803732,3209.0525845999405
490,4248.819823797101,3230.272324175393
500,4252.625026189891,3250.7193782156833
