episode,interval,reward
10,-1422.2406932663664,-1422.2406932663664
20,-1044.9448626817648,-1233.5927779740655
30,-447.0149415223241,-971.400165823485
40,-125.14615317611674,-759.836662661643
50,-5.748928223150601,-609.0191157739442
60,46.73204258629755,-499.72725604723723
70,261.7447686433514,-390.945538234296
80,620.6317405956842,-264.49837838054844
90,1084.4765542859816,-114.61227475093405
100,1760.485756676732,72.89752839183257
110,2722.457259794896,313.7665948830201
120,3312.0646713545784,563.6247679223166
130,3636.751369931425,800.0191219230172
140,3848.0923795754543,1017.7386403267625
150,3901.9986504497165,1210.022641001626
160,3989.739710712226,1383.754957858539
170,3975.048116293396,1536.1839671782361
180,4042.315685297396,1675.4135070737448
190,4069.2283019698216,1801.4037594366962
200,4094.8399472915357,1916.0755688294382
210,4061.8377130811996,2018.2547185557119
220,4060.012533789433,2111.061891975427
230,4079.498236692044,2196.6460808761485
240,4131.757861819544,2277.2757384154565
250,4069.8764181139863,2348.979765603398
260,4124.310897153668,2417.2617322014853
270,4102.068227716687,2479.6619727761226
280,4115.704954857165,2538.092079279019
290,4142.544555327084,2593.418026728951
300,4158.12251573203,2645.574843029054
310,4171.7235032187655,2694.8054449706574
320,4205.902266948791,2742.0272206574737
330,4260.478594076807,2788.0408986398784
340,4230.957846877752,2830.4796324115796
350,4209.52780796661,2869.881008856008
360,4221.515667894009,2907.4264160515086
370,4227.741758463622,2943.11061449508
380,4215.724910345826,2976.6004643858896
390,4205.592450917029,3008.11307942515
400,4306.027253927905,3040.560933787719
410,4277.598667094401,3070.732585819589
420,4249.5740650750395,3098.800240087576
430,4158.526223049257,3123.44503038901
440,4228.320741631452,3148.555842008157
450,4236.208900979894,3172.7259099853068
460,4255.587569525444,3196.266380844874
470,4239.055950631045,3218.4533929679833
480,4210.718962431986,3239.1255923318167
490,4195.732791731536,3258.6481882379335
500,4223.419035583216,3277.9436051848393
