episode,reward
10,8.4050618167
20,8.514509172
30,8.0888501618
40,6.1796032729
50,4.0293976691
60,4.8045155121
70,3.0495416051
80,2.9646745174
90,3.6979274336
100,4.8258626717
110,5.1812212367
120,4.9602791926
130,4.5937082655
140,5.5078492671
150,5.8015312472
160,5.7018269087
170,5.6514520772
180,5.4035220083
190,5.3132694747
200,4.8741189687
210,4.4923494788
220,4.2536907428
230,4.3953774901
240,4.5577270322
250,4.3591850128
260,4.4434210507
270,5.1062873412
280,5.877176955
290,5.501231623
300,5.6233375339
310,5.6434313587
320,5.6138200542
330,4.4976636885
340,5.0716404609
350,5.4608142561
360,5.6809683068
370,5.6272198081
380,4.890819331
390,5.5786719157
400,5.8874908457
410,5.8739826429
420,4.9489746057
430,5.0855787444
440,4.5422977367
450,4.2099948049
460,3.7722883722
470,4.0524463061
480,4.4539393062
490,4.2010209097
500,4.9215688193
510,5.222126758
520,5.345284599
530,5.06991756
540,5.0329543286
550,4.7481338901
560,5.2802154799
570,5.6792883666
580,6.5093465454
590,5.9295593023
600,6.063910396
610,5.9905425047
620,6.4569373333
630,7.3447230182
640,7.8457274147
650,8.0795730165
660,8.0391545687
670,8.178675608
680,8.1577746822
690,7.5883682335
700,7.4632253619
710,7.6780376636
720,7.7243043967
730,7.3152481049
740,7.3046195728
750,7.7381173487
760,7.5489396281
770,7.3938067573
780,7.4444124763
790,7.53937068
800,8.1252287056
810,8.2766013127
820,7.9776623426
830,7.8344307471
840,7.8014369204
850,7.9387730255
860,7.8704998374
870,7.6996276678
880,7.8391807055
890,7.6569146146
900,7.5855137977
910,7.5357468641
920,7.5201934994
930,7.764203561
940,7.5926415633
950,7.6273717368
960,7.5167685934
970,7.4287976917
980,7.5027609969
990,7.3227114284
1000,7.3266362171
1010,7.4030287886
1020,7.717373968
1030,7.5528944513
1040,7.8281268063
1050,7.9109200188
1060,7.8118607219
1070,7.8942359972
1080,7.8562482433
1090,8.0607542972
1100,7.9901001944
