episode,reward
10,-12.231691488
20,-3.5026459299
30,-3.3906443448
40,-4.003110254
50,-3.3329087928
60,-3.0461189231
70,-3.0559246124
80,-3.6525496187
90,-2.5978039096
100,-2.019678945
110,-2.1668065602
120,-2.4919165293
130,-1.7286469164
140,-1.9002124281
150,-2.0181092443
160,-1.350699591
170,-1.1095343263
180,-1.1046196762
190,-1.5474166035
200,-1.1220015498
210,-1.0441047283
220,-0.8671489151
230,-0.7804977328
240,-0.6870682596
250,-0.9734703127
260,-0.8525331752
270,-0.5169281414
280,-0.5451889783
290,-0.6857759936
300,-0.3102352113
310,-0.3079708174
320,-0.5753567384
330,-0.4876127537
340,-0.7370728517
350,-0.9436487768
360,-1.4301952292
370,-1.5163380872
380,-1.1735746005
390,-1.4335283273
400,-1.3266737579
410,-1.0211969237
420,-0.9003159442
430,-0.9202474175
440,-0.6437002935
450,-0.388124951
460,-0.3123585843
470,-0.001484963
480,0.1363784741
490,0.2148366784
500,0.2872113158
510,0.3166657803
520,0.1648823482
530,0.1218199505
540,0.1789814036
550,0.2380278814
560,0.0822861379
570,0.125368758
580,-0.0383460413
590,-0.2825184371
600,-0.3316722415
610,-0.1918595022
620,0.0585271309
630,0.1636748069
640,0.0122388752
650,-0.0302109091
660,0.1220622029
670,0.093386745
680,0.1405922248
690,0.2170814227
700,0.2602477555
710,0.151939222
720,0.1574791973
730,0.0065338958
740,-0.0527452157
750,-0.0912497889
760,0.0767696361
770,0.0913622985
780,0.2151743115
790,0.3096423928
800,0.2577726393
810,0.3517487645
820,0.2221479744
830,0.1951407142
840,0.0188479534
850,0.0123849862
860,0.0268006937
870,0.1810438995
880,0.1551419269
890,0.1501458662
900,0.175088418
910,0.3219730236
920,0.4180785096
930,0.4243554188
940,0.4151700466
950,0.4920455881
960,0.3800369367
970,0.5368475693
980,0.4463077291
990,0.4428935899
1000,0.6002398219
1010,0.4513185136
1020,0.4434518025
1030,0.3037530438
1040,0.3525069102
1050,0.3839336344
1060,0.2367345046
1070,0.2625208239
1080,0.278132003
1090,0.3151174358
