episode,reward
10,1.2576398872
20,1.6810776609
30,1.715422845
40,1.8422574851
50,1.9282520615
60,1.942831433
70,2.0227456454
80,2.0711759652
90,2.1349957115
100,2.1579338995
110,2.2089166965
120,2.2770747273
130,2.3081729504
140,2.3609722663
150,2.3799527546
160,2.4323464425
170,2.4564572081
180,2.4976232767
190,2.6041847083
200,2.6329481408
210,2.7043140815
220,2.7458712389
230,2.757498613
240,2.7945693197
250,2.8641267355
260,2.8986712124
270,2.9200920265
280,2.9481100355
290,2.9615849172
300,2.9857887625
310,2.9900382503
320,3.0130103578
330,3.0468814549
340,3.1092780187
350,3.141060708
360,3.1847033018
370,3.21051391
380,3.2462264553
390,3.2766106352
400,3.3236571655
410,3.4470909424
420,3.4826623052
430,3.6098887185
440,3.6479272763
450,3.7319328103
460,3.7785183795
470,3.8208077621
480,3.8993662959
490,3.9887324038
500,3.9606654468
510,3.9816071768
520,4.0294003722
530,4.0745609459
540,4.1065317675
550,4.1921304311
560,4.1903843104
570,4.2201924002
580,4.2723191213
590,4.2878106631
600,4.3572729548
610,4.4765155863
620,4.4192698361
630,4.4428792964
640,4.4900650773
650,4.6141770667
660,4.6731779223
670,4.6922201233
680,4.7272477912
690,4.7827611835
700,4.780244905
710,4.7611688824
720,4.8598753086
730,5.0100401868
740,5.1223999529
750,5.1959233668
760,5.2281801932
770,5.2732113076
780,5.2401105818
790,5.3154949185
800,5.3310171738
810,5.4662809413
820,5.4951000614
830,5.5412018927
840,5.635743105
850,5.6492799975
860,5.889041284
870,6.0215891592
880,5.9977646314
890,6.0758742132
900,6.2191521784
910,6.3123570073
920,6.3539086341
930,6.4240835241
940,6.4416739581
950,6.5416548966
960,6.6536544166
970,6.9571915052
980,7.0920081938
990,7.3626770614
1000,7.5743766875
1010,7.6897990279
1020,7.7611095009
1030,8.2550278891
1040,8.598322553
1050,8.8103005684
1060,8.9813501811
1070,9.2967422206
1080,9.6226977342
1090,10.126643458
1100,10.2192346548
1110,10.4243285859
1120,10.6650083651
1130,10.9618299413
1140,11.0695027164
1150,11.2157004928
1160,11.4778353171
1170,11.7695854019
1180,12.0351347647
1190,12.088869761
1200,12.1859205535
1210,12.3298592672
1220,12.4491627628
1230,12.5670396141
1240,12.6590431206
1250,12.8055176461
1260,13.0275926902
1270,13.2304882162
1280,13.3120221502
1290,13.4686585496
1300,13.631722662
1310,13.9000731263
1320,14.0644682012
1330,14.3819630563
1340,14.6073248485
1350,14.9146619479
1360,15.0238308798
1370,15.3705850872
1380,15.3942490131
1390,15.4009448382
1400,15.5130753922
1410,15.5724617899
1420,15.8756872021
1430,16.1727058203
1440,16.3218353728
1450,16.8552403755
1460,17.5498727571
1470,18.4674136983
1480,19.1889254412
1490,19.4932672729
