episode,reward
10,-135.325
20,-72.4875
30,-1.825
40,160.6875
50,165.385
60,235.925
70,285.6714285714
80,370.446875
90,383.5861111111
100,435.245
110,476.5022727273
120,567.3145833333
130,615.175
140,635.9857142857
150,694.8916666667
160,776.7140625
170,822.2720588235
180,822.9277777778
190,869.0657894737
200,863.25
210,888.8273809524
220,956.9522727273
230,1057.75
240,1092.0052083333
250,1112.124
260,1155.5692307692
270,1194.2111111111
280,1227.9107142857
290,1208.5068965517
300,1185.6625
310,1157.0822580645
320,1153.98125
330,1144.1439393939
340,1136.3830882353
350,1123.6214285714
360,1121.7229166667
370,1121.002027027
380,1142.090131579
390,1121.7096153846
400,1103.82625
410,1116.1914634146
420,1102.2714285714
430,1089.9389534884
440,1081.2920454546
450,1073.0555555556
460,1065.6005434783
470,1065.2638297872
480,1056.3979166667
490,1056.6428571429
500,1070.586
510,1064.0514705882
520,1063.6586538462
530,1059.3009433962
540,1063.6611111111
550,1062.1
560,1063.3071428572
570,1045.4605263158
580,1032.5620689655
590,1021.9080508475
600,1021.4870833333
610,1014.537704918
620,997.3665322581
630,993.0555555556
640,997.195703125
650,1005.1930769231
660,1005.6049242424
670,1031.2462686567
680,1031.4852941177
690,1035.2695652174
700,1028.3360714286
710,1017.6742957747
720,1003.6909722222
730,992.8119863014
740,990.9452702703
750,993.2266666667
760,993.4914473684
770,994.5262987013
780,1006.7935897436
790,1029.5025316456
800,1074.1715625
810,1081.0651234568
820,1090.6463414634
830,1095.3090361446
840,1095.868452381
850,1092.2217647059
860,1089.400872093
870,1081.858045977
880,1080.1681818182
890,1082.1418539326
900,1085.6344444445
910,1085.2153846154
920,1088.1475543478
930,1093.5545698925
940,1088.6441489362
950,1085.5792105263
960,1076.2934895833
970,1064.6141752577
980,1055.6280612245
990,1043.798989899
1000,1036.2485
1010,1024.3403465347
1020,1012.3764705882
1030,1002.1893203884
1040,989.6949519231
1050,980.2621428571
1060,971.2554245283
1070,963.0018691589
1080,956.1125
1090,949.4043577982
1100,943.2240909091
1110,934.5213963964
1120,927.9877232143
1130,922.4752212389
1140,916.224122807
1150,909.7089130435
1160,904.436637931
1170,898.4950854701
1180,893.8686440678
1190,889.8955882353
1200,889.6760416667
1210,887.2760330579
1220,883.174795082
1230,879.287398374
1240,875.1586693548
1250,873.2352
1260,870.3448412698
1270,865.9242125984
1280,862.5912109375
1290,857.1668604651
1300,850.3340384615
1310,849.2248091603
1320,847.5981060606
1330,842.8712406015
1340,841.9912313433
1350,842.5468518519
1360,841.7698529412
1370,840.4379562044
1380,843.5307971014
1390,844.1057553957
1400,848.4026785714
1410,855.4620567376
1420,859.6422535211
1430,857.3440559441
1440,860.2763888889
1450,859.4439655172
1460,857.2957191781
1470,853.537414966
1480,857.3761824324
1490,863.3065436242
1500,864.9081666667
1510,869.9344370861
1520,869.9814144737
1530,870.3052287582
1540,868.5850649351
1550,865.479516129
1560,868.1318910256
1570,876.5280254777
1580,892.4147151899
1590,909.2874213836
1600,922.615625
1610,932.3799689441
1620,934.0987654321
1630,933.9966257669
1640,931.943902439
1650,928.8601515152
1660,924.9075301205
1670,923.8381736527
1680,925.9462797619
1690,929.449408284
1700,937.4875
1710,947.742251462
1720,954.3880813953
1730,968.0307803468
1740,984.1959770115
1750,996.3788571429
1760,1008.6377840909
1770,1028.559180791
1780,1065.5873595506
1790,1084.3946927374
1800,1102.9477777778
1810,1103.3407458564
1820,1099.9557692308
1830,1099.2590163935
1840,1103.953125
1850,1108.4458108108
1860,1107.7173387097
1870,1110.7806149733
1880,1121.4356382979
1890,1125.8555555556
1900,1124.2857894737
1910,1123.9789267016
1920,1125.71953125
1930,1129.6696891192
1940,1158.8356958763
1950,1169.1062820513
1960,1174.2213010204
1970,1171.9724619289
1980,1168.5159090909
1990,1168.883919598
2000,1180.290125
2010,1186.0447761194
2020,1189.8818069307
2030,1192.065270936
2040,1193.7715686275
2050,1196.1778048781
2060,1197.4546116505
2070,1199.3858695652
2080,1196.4824519231
2090,1195.5391148325
2100,1197.9705952381
2110,1200.0827014218
2120,1223.0316037736
2130,1284.1373239437
2140,1290.4063084112
2150,1301.8851162791
2160,1310.7565972222
2170,1308.1074884793
2180,1305.9457568807
2190,1308.2534246575
2200,1345.51875
2210,1361.3497737557
2220,1378.3149774775
2230,1389.0588565023
2240,1414.7027901786
2250,1733.7808888889
2260,2279.3586283186
2270,2676.8781938326
2280,3317.0536184211
2290,3949.6521834061
2300,4567.0831521739
2310,5250.8057359307
2320,5846.0942887931
2330,6426.1528969957
2340,6976.3990384615
2350,7388.3668085106
2360,7785.9971398305
2370,8333.6965189873
2380,9101.687289916
2390,9889.1587866109
2400,10646.7238541667
2410,11397.3676348548
2420,12198.1574380165
2430,12982.666563786
