episode,interval,reward
10,-7814.624673526583,-7814.624673526583
20,-8255.425788668741,-8035.025231097662
30,-8302.956679085788,-8124.33571376037
40,-8274.049768888859,-8161.764227542492
50,-8251.935245692915,-8179.798431172578
60,-8153.082622307791,-8175.345796361781
70,-8133.000335903844,-8169.296444867789
80,-8351.20538656299,-8192.03506257969
90,-8280.666005864074,-8201.88294516684
100,-8481.627927508514,-8229.857443401006
110,-8737.6983320987,-8276.024796918977
120,-8262.036603011571,-8274.859114093359
130,-8574.228026996174,-8297.887492008962
140,-8244.392863164172,-8294.066447091483
150,-8332.849862024868,-8296.652008087041
160,-8778.920464825918,-8326.793786633216
170,-8603.864279455287,-8343.092050916868
180,-8453.40880685396,-8349.22075958004
190,-8565.658135606765,-8360.612200423544
200,-8262.995363623037,-8355.73135858352
210,-8568.252322721764,-8365.851404494864
220,-8225.706084910777,-8359.481162695587
230,-8218.736500702767,-8353.361829565465
240,-8736.443373602666,-8369.323560567014
250,-8628.423222769268,-8379.687547055104
260,-8613.546738712204,-8388.682131349606
270,-8471.979772159426,-8391.767229157376
280,-8620.921183219743,-8399.951298945318
290,-8360.746087812478,-8398.599395113151
300,-8389.173316291924,-8398.285192485775
310,-8843.282677208388,-8412.63995005747
320,-8577.66065409488,-8417.796847058638
330,-8105.492693980572,-8408.333084844151
340,-8554.755293912247,-8412.639620404976
350,-8419.646784417364,-8412.83982509105
360,-8219.40888187016,-8407.466743334915
370,-8439.620809878103,-8408.33577216041
380,-8421.284593847126,-8408.67653062585
390,-8229.02277305426,-8404.07002402145
400,-8407.905286047435,-8404.165905572101
410,-8274.87219062632,-8401.01240032952
420,-8299.660193537944,-8398.599252548769
430,-8272.551145413114,-8395.667901220033
440,-8342.292383200043,-8394.454821265033
450,-8468.261801759983,-8396.09497638714
460,-8500.310875174488,-8398.360539404259
470,-8365.377567553078,-8397.658774045723
480,-8699.36927009953,-8403.944409380172
490,-8247.945527526714,-8400.760758730099
500,-8270.93049188039,-8398.164153393109
510,-8238.978652190955,-8395.042869055811
520,-8383.967742744599,-8394.829885857524
530,-8505.719571264834,-8396.922144072754
540,-8390.557233727697,-8396.804275362661
550,-8264.781272751956,-8394.403857133375
560,-8481.220135986088,-8395.954147827168
570,-8641.726017915147,-8400.26593502169
580,-8542.315702605178,-8402.715068945545
590,-8506.647671439663,-8404.476638479346
600,-8698.952676243222,-8409.384572442079
610,-8502.853400420752,-8410.916848310584
620,-8539.270623437795,-8412.987070490055
630,-8322.136883329988,-8411.545004027197
640,-8298.252509985914,-8409.774808807804
650,-8416.099872491108,-8409.872117479856
660,-8667.186649818683,-8413.770822515293
670,-8258.259621682273,-8411.449759816294
680,-8619.89694296724,-8414.515159568515
690,-8535.93288344036,-8416.27483672608
700,-8558.270881943428,-8418.303351657756
710,-8216.950712387574,-8415.46739899198
720,-8671.537496674842,-8419.02392812646
730,-8636.610799429103,-8422.0045701991
740,-8583.575620311292,-8424.187962768183
750,-8530.747490372993,-8425.608756469579
760,-8554.46125955009,-8427.30418414169
770,-8364.005323586662,-8426.482121017596
780,-8427.451842133925,-8426.494553339597
790,-8850.126379425015,-8431.856981517893
800,-8385.12435536027,-8431.27282369092
810,-8373.595748914964,-8430.560761039365
820,-8287.036130769226,-8428.810460670215
830,-8430.682368637423,-8428.83301377825
840,-8181.765187600303,-8425.891730133275
850,-8227.26238203013,-8423.554914273238
860,-8263.229487441435,-8421.690665124033
870,-8057.8072163553325,-8417.50809674738
880,-8109.765728737441,-8414.01102438363
890,-8364.308083925605,-8413.45256437848
900,-8370.763241598259,-8412.978238569809
910,-8581.240268086012,-8414.827271861197
920,-8527.016180689254,-8416.04671652237
930,-8317.076804870176,-8414.98252392396
940,-8368.284615058375,-8414.485737659434
950,-8483.458107718357,-8415.211762607423
960,-8607.448641050645,-8417.214230091206
970,-8078.829876155141,-8413.72573159702
980,-8247.199654628697,-8412.026485913668
990,-8240.860663441399,-8410.29753821193
1000,-8680.073571137666,-8412.995298541187
1010,-8289.170454606952,-8411.769309987385
1020,-8650.48911665161,-8414.109700248797
1030,-8111.5018511451835,-8411.171759966239
1040,-8153.395773272741,-8408.693144709572
1050,-8547.609472024216,-8410.016157350665
1060,-8521.145342763553,-8411.064545892295
1070,-8267.416409083406,-8409.722039940805
1080,-8091.780363743766,-8406.778135531573
1090,-8470.774574457351,-8407.36525882447
1100,-8390.315422123338,-8407.210260309006
1110,-8709.13689730365,-8409.930320101756
1120,-8176.9938870820015,-8407.850530521218
1130,-8480.835635448666,-8408.496416405533
1140,-8667.823938036348,-8410.771219226861
1150,-8330.45122635474,-8410.07278450623
1160,-8292.523787802409,-8409.059431086369
1170,-8446.510897764116,-8409.379529092163
1180,-8288.030308231382,-8408.35114586453
1190,-8305.264104498547,-8407.48486820599
1200,-8461.46697853938,-8407.934719125433
1210,-8416.958491969064,-8408.009295760505
1220,-8492.672783779612,-8408.703258777052
1230,-8367.652214303802,-8408.369510448
1240,-8336.005005030904,-8407.785925726886
1250,-8344.34633881553,-8407.278409031593
1260,-8452.75425096561,-8407.639328412019
1270,-8422.699241085407,-8407.757910401573
1280,-8587.422311111455,-8409.161538532122
1290,-8539.97538610632,-8410.17559936603
1300,-8507.411129290911,-8410.923564980843
1310,-8428.41066253944,-8411.057054275183
1320,-8362.773700612452,-8410.691271292892
1330,-7761.2802479444745,-8405.80848164366
1340,-8462.380076693673,-8406.230657726122
1350,-8512.70541486182,-8407.019359630833
1360,-8314.35874710474,-8406.338031597556
1370,-8316.03281216272,-8405.678869411899
1380,-8363.260466816144,-8405.371489682944
1390,-8169.60221031678,-8403.675307817002
1400,-7917.548836758413,-8400.202975880873
1410,-8087.619847396118,-8397.986074260414
1420,-7879.226675080963,-8394.33283905492
1430,-8544.69627191615,-8395.384331592411
1440,-8291.695600392624,-8394.664270959078
1450,-8074.628748104505,-8392.45712942215
1460,-7999.968119555818,-8389.768848532654
1470,-8580.696267000001,-8391.06767450862
1480,-8340.301678593638,-8390.724661022705
1490,-8113.9110099890095,-8388.866851284223
1500,-8243.404286062845,-8387.897100849414
1510,-8194.189279648088,-8386.614267596424
1520,-8486.083018020672,-8387.268667270268
1530,-8324.77253802829,-8386.860195837316
1540,-8068.095182739829,-8384.790293154865
1550,-8223.687893485194,-8383.750922834413
1560,-8222.832546988688,-8382.71939478412
1570,-7900.753845601301,-8379.64955052181
1580,-8308.966627314225,-8379.202190248345
1590,-8711.075058060936,-8381.289440989303
1600,-8049.897644301251,-8379.218242260009
1610,-8177.687982332345,-8377.966501515119
1620,-8377.307907604036,-8377.962436120604
1630,-8531.162609813713,-8378.90231448682
1640,-8247.79689796395,-8378.102891215342
1650,-8495.181757245224,-8378.812460100373
1660,-8275.119781149198,-8378.187805407899
1670,-8234.821302423767,-8377.329323354104
1680,-8373.284948689874,-8377.30524969539
1690,-8209.436449417268,-8376.311943184872
1700,-8145.2055321115895,-8374.95249370797
1710,-8335.877582874182,-8374.723985457478
1720,-8807.071042350628,-8377.237631137088
1730,-8267.064331637104,-8376.600791255589
1740,-8346.558509122933,-8376.428134461721
1750,-8362.3161434881,-8376.347494513298
1760,-8220.30703329369,-8375.460900983637
1770,-8037.230268941715,-8373.549993457975
1780,-8555.947362095252,-8374.57469777616
1790,-8271.985041348129,-8374.001571203937
1800,-8335.86967820821,-8373.789727353962
1810,-8093.316792535516,-8372.240153128445
1820,-8338.246736630004,-8372.053376114716
1830,-8173.910711971033,-8370.970629316116
1840,-8256.097239237544,-8370.346317413512
1850,-8427.856731389915,-8370.65718451609
1860,-8471.74962541631,-8371.200692262864
1870,-8737.204360066144,-8373.157931128122
1880,-8516.435120641712,-8373.920043838303
1890,-8424.022372266392,-8374.18513552311
1900,-8225.4613853174,-8373.40237894308
1910,-8067.20629624932,-8371.799258091281
1920,-8339.66286089984,-8371.631881022575
1930,-8290.662052323738,-8371.212348231385
1940,-8605.977791237703,-8372.4224793809
1950,-8369.768146443013,-8372.408867417116
1960,-8463.88015057601,-8372.87555763732
1970,-8176.534005325518,-8371.878900011376
1980,-8196.897744853619,-8370.995156803509
1990,-8483.37866102191,-8371.559898030739
2000,-8461.277756673015,-8372.008487323947
2010,-8311.266197837107,-8371.706286878738
2020,-8374.220256996417,-8371.71873227536
2030,-8439.176457166439,-8372.051036338864
2040,-7920.958500456669,-8369.839798417872
2050,-8083.799528502028,-8368.44448002804
2060,-7859.400306115202,-8365.973391805164
2070,-8072.92836696762,-8364.557715356672
2080,-8447.886310077187,-8364.958333600522
2090,-8399.837081693488,-8365.125217562687
2100,-8778.895497405134,-8367.0955522286
2110,-8028.625334721752,-8365.49142797501
2120,-8613.429915277404,-8366.66094914153
2130,-8446.783634489035,-8367.037111983533
2140,-8283.796066939238,-8366.64813513753
2150,-8446.185965860865,-8367.018078536246
2160,-8583.395468852526,-8368.019825713633
2170,-8610.01713847758,-8369.13502070333
2180,-8619.976268266118,-8370.285668627926
2190,-8247.054547902428,-8369.722969446533
2200,-8450.236837878381,-8370.088941575765
2210,-8654.013168683277,-8371.373666585301
2220,-8558.124791715132,-8372.214887869666
2230,-8573.147730532231,-8373.115932007166
