episode,reward
10,-8083.113973458441,-8083.113973458441
20,-8394.528004083153,-8238.820988770798
30,-8130.717114383214,-8202.78636397494
40,-8227.37078297745,-8208.932468725565
50,-8276.816560274854,-8222.50928703542
60,-8138.08775384468,-8208.43903150363
70,-8323.301178303569,-8224.847909617907
80,-8348.762974329069,-8240.337292706801
90,-8213.413186427939,-8237.345725342484
100,-8339.975651741688,-8247.608717982406
110,-8261.255461645296,-8248.849331042666
120,-8094.487471709454,-8235.985842764896
130,-7675.954191618175,-8192.90648498438
140,-7538.93823225887,-8146.1944669325585
150,-7567.205636146491,-8107.5952115468235
160,-7445.672692391296,-8066.225054099601
170,-7548.130671129829,-8035.74891392491
180,-7590.7674796275505,-8011.027723130611
190,-7970.312962079277,-8008.884840970013
200,-8064.5503521020055,-8011.668116526613
210,-8209.927463586453,-8021.1090378151775
220,-7640.908670399377,-8003.82720293264
230,-8264.02799788552,-8015.140280974071
240,-8450.345368081,-8033.273826270192
250,-8234.824228072637,-8041.3358423422915
260,-7760.642659918235,-8030.539950710596
270,-8370.608434732992,-8043.135079748461
280,-7414.924016812298,-8020.698970357883
290,-8190.482796121651,-8026.553585039391
300,-7811.781319073666,-8019.3945095072
310,-7716.426379594466,-8009.621344026144
320,-7873.576074170285,-8005.369929343146
330,-7129.83854035237,-7978.8386751313055
340,-7109.685381867204,-7953.275342976479
350,-8112.895419324899,-7957.835916586433
360,-7613.246563416248,-7948.263990109483
370,-7818.459418914589,-7944.755758455567
380,-8289.097874188179,-7953.8173930801095
390,-8495.879095248449,-7967.716411084425
400,-7803.796222631257,-7963.618406373097
410,-8021.673672469765,-7965.0343884730155
420,-7960.205913189998,-7964.9194247758005
430,-7754.060999170928,-7960.015740459408
440,-8208.048342217,-7965.652845044808
450,-7777.796657472498,-7961.4782630987565
460,-8095.075927171502,-7964.382560143817
470,-8010.212874127115,-7965.357673207291
480,-8192.6160095994,-7970.092221882126
490,-8338.372009962124,-7977.6081359245745
500,-8297.17246642611,-7983.999422534605
510,-7904.7577185851715,-7982.445663633635
520,-7938.411872278239,-7981.598859953724
530,-7972.875664687039,-7981.434271363787
540,-7666.400069563095,-7975.6003046637725
550,-7805.169183520108,-7972.501557006614
560,-7689.485714930483,-7967.447702683826
570,-8006.629738546304,-7968.135106821764
580,-8046.740574274818,-7969.490373501989
590,-7745.260451387847,-7965.689866347511
600,-8140.3153447079,-7968.60029098685
610,-7899.253549928466,-7967.463459166222
620,-7067.758319550267,-7952.952085946608
630,-7556.195373548474,-7946.654360352985
640,-7344.531128252018,-7937.2461848514085
650,-8143.123074456162,-7940.413521614558
660,-7884.698663295809,-7939.569357094578
670,-7148.665679896732,-7927.764824599089
680,-7183.734239817272,-7916.823198352299
690,-6487.401139340822,-7896.106936627495
700,-7198.11010952158,-7886.135553383124
710,-7063.345287934989,-7874.546958095122
720,-6677.308573368612,-7857.918647196144
730,-6752.519437534334,-7842.776192269269
740,-7444.51895490803,-7837.3943377103315
750,-7051.9937685384475,-7826.9223301213715
760,-7729.065186766163,-7825.634736129856
770,-8153.508389719427,-7829.892835527124
780,-7754.86232684421,-7828.930905928624
790,-7737.669823209384,-7827.775702349898
800,-8107.017267868879,-7831.266221918882
810,-7905.06846570637,-7832.177360731073
820,-8019.7837419103835,-7834.4652434283835
830,-8303.762963769117,-7840.119432830079
840,-8156.545413031679,-7843.886408784859
850,-7921.864258606244,-7844.803795253346
860,-8218.237443584105,-7849.146046978122
870,-8025.631014607857,-7851.174609824441
880,-8127.614008648433,-7854.3159666292595
890,-8492.494060143033,-7861.486507005818
900,-8474.690711930069,-7868.2998870605325
910,-8321.700012089914,-7873.282306016899
920,-8457.496406145532,-7879.632459279166
930,-8257.925821157694,-7883.700129836999
940,-8103.67228260049,-7886.040259121717
950,-8427.506095252116,-7891.739899502037
960,-8650.935673816724,-7899.648188817814
970,-7784.319358096822,-7898.459231800072
980,-7922.101930624589,-7898.700483828893
990,-8134.862431577416,-7901.085958048576
1000,-8456.236402264094,-7906.637462490732
1010,-8085.6605574911755,-7908.409968381824
1020,-8155.277048030568,-7910.830233868577
1030,-8413.153624350856,-7915.707159989765
1040,-8195.584448466503,-7918.398287763582
1050,-8163.361227277058,-7920.731268139902
1060,-8024.985253434255,-7921.714796303057
1070,-8382.739685904582,-7926.023440131108
1080,-8185.386669955839,-7928.424951518376
1090,-8080.399511532722,-7929.819213536854
1100,-8042.4155475338675,-7930.842816573192
1110,-8383.092372681236,-7934.917136898491
1120,-7452.357814097656,-7930.608571516342
1130,-7664.798982357706,-7928.256274267148
1140,-7317.797415694236,-7922.901371998964
1150,-8013.141710178808,-7923.686070591833
1160,-7497.5811057914125,-7920.01275192976
1170,-7331.560518449078,-7914.983245660693
1180,-7283.588898749382,-7909.632446110598
1190,-7162.659132572949,-7903.355359442213
1200,-7526.775585740688,-7900.217194661366
1210,-7007.69662110248,-7892.840991574101
1220,-7566.65564543622,-7890.167341195922
1230,-7355.271837521466,-7885.818597263609
1240,-7084.006548900788,-7879.352371067136
1250,-7063.63351977389,-7872.82662025679
1260,-7272.953980045044,-7868.065726286856
1270,-7542.798018049047,-7865.504563229864
1280,-7381.009055340832,-7861.719442074481
1290,-7989.359193725815,-7862.708897513638
1300,-7637.972858623412,-7860.980158752942
1310,-7335.8199610209585,-7856.971302281707
1320,-7851.749432386452,-7856.931742661288
1330,-8339.89620420043,-7860.563054402182
1340,-8034.040439632832,-7861.8576617546505
1350,-7889.581667908047,-7862.063024763194
1360,-6195.490676775897,-7849.80881632211
1370,-6248.83894700328,-7838.122904867226
1380,-6221.956446546953,-7826.411553719977
1390,-6590.0837095222405,-7817.5171087976905
1400,-5745.14877278297,-7802.714477826157
1410,-5998.930924648395,-7789.921686668869
1420,-5328.63784874746,-7772.588701894776
1430,-5321.6986243339215,-7755.449610443297
1440,-5094.9129801083645,-7736.973661621527
1450,-4391.443129100916,-7713.901037259315
1460,-4557.286503841458,-7692.280389770151
1470,-4200.039074488062,-7668.523646128774
1480,-5790.901591448961,-7655.837010624179
1490,-5300.960668064965,-7640.032471412373
1500,-5802.844990194485,-7627.784554870921
1510,-2782.208750652558,-7595.694648882721
1520,-2619.9239279000535,-7562.959315192046
1530,-5235.7104647320275,-7547.748538391654
1540,-6013.507200960135,-7537.785932304436
1550,-3626.746820762763,-7512.553421907395
1560,-5115.408582058159,-7497.187108831437
1570,-4340.5154190715775,-7477.080919724685
1580,-3974.8703700182996,-7454.915030169581
1590,-1092.840211976753,-7414.901980998558
1600,-3005.0758873763893,-7387.340567913418
1610,-2526.126264959078,-7357.146690255317
1620,-991.4932946295463,-7317.852533492195
1630,-4112.801800553452,-7298.189645560056
1640,-5098.681459235755,-7284.778010277592
1650,-3849.587781204068,-7263.958675555933
1660,-4159.903140801174,-7245.259545828495
1670,-5654.508274126882,-7235.734089111718
1680,-5310.622598032775,-7224.275092141011
1690,-5732.003666781218,-7215.44508370693
1700,-5237.660722932474,-7203.811058055316
1710,-6143.4690599682035,-7197.610227657145
1720,-7115.132435555535,-7197.130705610042
1730,-5369.021240735425,-7186.563598876664
1740,-5835.941242113801,-7178.801401424005
1750,-7216.24871837373,-7179.015386092289
1760,-7336.1566911848295,-7179.908234416679
1770,-6979.018413238708,-7178.773263675558
1780,-6756.3709159878445,-7176.4002167784365
1790,-6266.858163421486,-7171.318976256889
1800,-6181.767110443789,-7165.821465891261
1810,-7361.899855699725,-7166.904771912301
1820,-6222.196852717121,-7161.71406905958
1830,-6391.664072611758,-7157.506145581722
1840,-6590.039881779716,-7154.422089800188
1850,-6460.5438357691,-7150.671396535154
1860,-6549.060837338666,-7147.436931163128
1870,-5512.576733684975,-7138.694363262176
1880,-5026.360335125162,-7127.458543963574
1890,-6832.934981254306,-7125.900218234954
1900,-6063.798400336004,-7120.310208667065
1910,-5290.002559389589,-7110.727446105403
1920,-5798.63844527942,-7103.893649226101
1930,-5958.2949973851055,-7097.957904916045
1940,-6791.056141899125,-7096.375937065442
1950,-6131.832766561089,-7091.429561832085
1960,-7192.928510951303,-7091.947413613306
1970,-6063.465083139169,-7086.726691123589
1980,-6092.921388893619,-7081.707472425456
1990,-6213.990966704284,-7077.347087974596
2000,-6394.713357680417,-7073.933919323126
2010,-6326.716457712469,-7070.216419514117
2020,-5772.112749214404,-7063.790163720552
2030,-5553.37824579837,-7056.349710922906
2040,-6086.514496532054,-7051.595616734716
2050,-6028.5122548690215,-7046.60496618903
2060,-5392.831473020471,-7038.576939523164
2070,-4652.861667944278,-7027.051744974473
2080,-2865.8796791252835,-7007.046110042505
2090,-4940.686409384539,-6997.159221522611
2100,-3856.324912071457,-6982.20286766808
2110,-5840.770665287075,-6976.793236377176
2120,-6163.123539474454,-6972.955171769144
2130,-6061.1226362620055,-6968.6742678465735
2140,-6254.49197398686,-6965.336967407978
2150,-4573.536924043396,-6954.212316043492
2160,-5811.073808098417,-6948.920008136338
2170,-6025.112981072957,-6944.662832896413
2180,-6227.189894092577,-6941.371672626671
2190,-4945.02962912085,-6932.255955533038
2200,-2136.9303960679435,-6910.459021171831
2210,-3078.904064910898,-6893.121668428568
2220,-2500.1430641192555,-6873.333476517267
2230,-1780.1708234893013,-6850.494182109069
2240,-3478.5512426922724,-6835.440865415241
2250,-2525.582366088131,-6816.2859387515655
2260,-3226.346678712738,-6800.401251760242
2270,-2513.275877374688,-6781.515236895108
2280,-2829.981930222048,-6764.183950462331
2290,-3489.3990178666527,-6749.883579577633
2300,-4160.365481600946,-6738.624805238603
2310,-4958.144819559957,-6730.917099672895
2320,-5131.317835113351,-6724.022275256689
2330,-5157.251933276768,-6717.297939025017
2340,-5068.377163677303,-6710.2512690448975
2350,-3793.4133200418537,-6697.839192666162
2360,-3830.579458876945,-6685.689787014513
2370,-4984.980960010818,-6678.513800402682
2380,-2953.34395939458,-6662.8618262807995
2390,-3629.2664287218417,-6650.168958508587
2400,-5518.798769973057,-6645.4549160563565
2410,-5691.896996536484,-6641.49824419113
2420,-4438.395057627522,-6632.394512015249
2430,-5110.82614191036,-6626.132913784363
2440,-5733.006076048048,-6622.472557892001
2450,-6049.452649932423,-6620.133701124818
2460,-6824.383883424535,-6620.96398641872
2470,-6931.897895731922,-6622.22282815683
2480,-7703.576578118109,-6626.583125535705
2490,-7570.305124734783,-6630.373173725261
2500,-7181.53244638612,-6632.577810815905
2510,-7408.323081239972,-6635.6684294231745
2520,-7104.279135172816,-6637.527995715831
2530,-6509.816114191037,-6637.023205670279
2540,-6184.446197444937,-6635.241406425297
2550,-5912.122837476372,-6632.405647331379
2560,-7665.157703113255,-6636.439835049276
2570,-6527.111104200133,-6636.014431427295
2580,-5886.865644720778,-6633.110753959439
2590,-4853.558286086512,-6626.2398950101215
2600,-4114.720804552913,-6616.58020620067
2610,-4379.5461506562015,-6608.009194493602
2620,-3385.714262131434,-6595.710358873898
2630,-3437.0540210807003,-6583.700258730199
2640,-4820.21065846378,-6577.020373880705
2650,-5893.084197370985,-6574.4394826485905
2660,-6666.162445723977,-6574.784305818046
2670,-6693.243803712746,-6575.227974349486
2680,-4502.311548682475,-6567.493211567149
2690,-4627.904430094816,-6560.282844349781
2700,-4421.59277585312,-6552.361770022015
2710,-4126.959464346482,-6543.411946015833
2720,-3974.7996004866973,-6533.968518274913
2730,-6373.559771884606,-6533.380940449306
2740,-5552.755531718342,-6529.802015599923
2750,-3949.3672829510347,-6520.41861657211
2760,-5467.787711689356,-6516.604736481957
2770,-5322.355483726174,-6512.293367338433
2780,-4862.010167771581,-6506.357096836393
2790,-4250.657400170703,-6498.272151687053
2800,-4584.437094160632,-6491.437026481603
2810,-5733.221963694638,-6488.738752236809
2820,-5637.068222283362,-6485.718643974562
2830,-5947.470712494019,-6483.816707820919
2840,-6086.6008854039865,-6482.418060558889
2850,-5809.701526474046,-6480.057651667362
2860,-5663.110596507293,-6477.201193432537
2870,-5813.792915599564,-6474.889666332074
2880,-5585.051031122321,-6471.799948848707
2890,-5068.203147508491,-6466.943212511889
2900,-4655.453771131794,-6460.696697196786
2910,-4884.479917200077,-6455.280144688207
2920,-5812.246105409618,-6453.077973320816
2930,-6837.001421956091,-6454.388292258136
2940,-7543.281315687169,-6458.092010024902
2950,-7200.460395182838,-6460.608513025436
2960,-6721.599702760987,-6461.490240017785
2970,-7302.371995231932,-6464.3214917188425
2980,-8254.419090663807,-6470.328530641476
2990,-8271.688527712377,-6476.353146016295
3000,-7787.198336680475,-6480.7226299851745
3010,-8140.819656116367,-6486.237902497239
3020,-8059.165517726219,-6491.44627208409
3030,-7891.04973169682,-6496.065425416146
3040,-7645.122746657127,-6499.8452192360155
3050,-7718.499207294575,-6503.840806082111
3060,-7889.530147434132,-6508.369202622478
3070,-7913.316281963,-6512.945577473749
3080,-7064.27316910149,-6514.735602121888
3090,-6966.234388944741,-6516.196763244292
3100,-7495.330128597966,-6519.35525797124
3110,-6656.467788231637,-6519.796134274327
3120,-7837.069045531976,-6524.018162836051
3130,-8291.742229651247,-6529.6658435607005
3140,-8518.419259211127,-6535.999453164683
3150,-7265.796019608007,-6538.316267661328
3160,-7071.021719551597,-6540.002044407817
3170,-7958.37148720214,-6544.476395962375
3180,-7240.252558021819,-6546.664371314765
3190,-7195.50143921223,-6548.698343314441
3200,-7454.394967394563,-6551.528645264691
