episode,interval,reward
10,-52.725,-52.725
20,92.9,20.0875
30,-158.25,-39.358333333333334
40,-4.4,-30.61875
50,-180.675,-60.63
60,361.35,9.7
70,74.25,18.92142857142857
80,232.65,45.6375
90,448.775,90.43055555555556
100,627.1,144.09750000000003
110,570.65,182.87500000000006
120,381.6,199.43541666666673
130,666.95,235.39807692307699
140,878.575,281.3392857142858
150,723.45,310.8133333333335
160,505.65,322.99062500000025
170,771.55,349.3764705882356
180,202.8,341.23333333333363
190,961.175,373.86184210526346
200,304.075,370.3725000000003
210,1096.175,404.9345238095241
220,542.575,411.1909090909094
230,938.35,434.1108695652176
240,324.9,429.5604166666669
250,1175.125,459.3830000000002
260,1204.95,488.0586538461541
270,1028.225,508.064814814815
280,1059.725,527.7669642857144
290,964.625,542.8310344827588
300,616.225,545.2775000000003
310,1265.125,568.4983870967743
320,1246.075,589.67265625
330,2052.925,634.0136363636362
340,1133.075,648.6919117647058
350,954.7,657.435
360,901.7,664.2201388888885
370,1701.325,692.2499999999998
380,1146.55,704.2052631578945
390,1242.275,718.0019230769228
400,934.175,723.4062499999997
410,2160.55,758.4585365853656
420,1797.025,783.1863095238092
430,1365.95,796.7389534883719
440,1159.525,804.9840909090907
450,2146.35,834.792222222222
460,1273.8,844.3358695652172
470,2478.975,879.1154255319146
480,896.275,879.4729166666664
490,1084.675,883.660714285714
500,1423.325,894.4539999999997
510,1129.525,899.0632352941174
520,1225.15,905.3341346153844
530,1674.75,919.8514150943395
540,1481.35,930.249537037037
550,2338.325,955.8509090909091
560,2650.425,986.1111607142857
570,1903.125,1002.1991228070175
580,1895.25,1017.596551724138
590,2226.1,1038.0796610169489
600,1219.125,1041.097083333333
610,969.4,1039.9217213114748
620,786.75,1035.8383064516122
630,1407.075,1041.7309523809517
640,2238.8,1060.43515625
650,1385.225,1065.4319230769224
660,1505.975,1072.1068181818177
670,2500.775,1093.4302238805967
680,2090.9,1108.0988970588232
690,1624.5,1115.5829710144928
700,1700.425,1123.9378571428576
710,1800.2,1133.4626760563388
720,1904.7,1144.1743055555564
730,1838.125,1153.6804794520554
740,1246.65,1154.9368243243246
