Reward-3,Interval-3
-8164.6086637545,-8164.6086637545
-7970.5179870347,-8067.5633253946
-8101.5667113937,-8078.8977873943
-7602.850969172,-7959.8860828387
-7550.7743453358,-7878.0637353381
-8451.1847187015,-7973.583899232
-7826.120629555,-7952.5177178496
-8381.1746148899,-8006.0998299796
-8022.5375676331,-8007.9262452745
-7847.1043551988,-7991.8440562669
-8544.2981443339,-8042.0671551821
-7765.1528380777,-8018.99096209
-7835.8588148385,-8004.9038738399
-7714.8204990589,-7984.1836327841
-8130.7368533946,-7993.9538474915
-7714.7888330234,-7976.5060340872
-8102.5817169867,-7983.9222507284
-7767.821543532,-7971.9166558841
-7573.8677737436,-7950.9667147189
-7548.1457381088,-7930.8256658884
-7531.0048754479,-7911.7865806293
-7717.1820060107,-7902.9409181466
-7841.8250791964,-7900.2837077575
-7485.5639392637,-7883.0037174036
-7147.8804242419,-7853.5987856771
-7637.1683916549,-7845.2745397532
-7938.5958577104,-7848.7308848627
-8161.2023948682,-7859.8905816486
-7514.9546081482,-7847.9962377348
-7548.1744387915,-7838.00217777
-7281.0687200382,-7820.0365823593
-7851.0689557194,-7821.0063440268
-7390.006519348,-7807.945743279
-7571.5679039976,-7800.9934538883
-7766.5175157603,-7800.0084270847
-7850.1111427961,-7801.4001691878
-7516.502596736,-7793.7002347972
-8302.5597278841,-7807.091274089
-8054.0960575712,-7813.4247300757
-7234.9147743551,-7798.9619811827
-7898.3009883853,-7801.3848837974
-7808.4498085951,-7801.5530962926
-7513.2415158202,-7794.8481758164
-8188.8263017325,-7803.8022241327
-7862.964734918,-7805.1169465946
-7322.8329948703,-7794.6325128615
-7027.9266433102,-7778.31962202
-7842.5879618315,-7779.658545766
-7550.3308210799,-7774.9783881194
-7416.543466746,-7767.8096896919
-7781.1455440765,-7768.0711770328
-7751.1869743547,-7767.7464808274
-7818.479430249,-7768.7037062882
-7592.7733462889,-7765.4457366586
-8178.5825171619,-7772.9573144859
-7729.1669326556,-7772.1753433818
-6608.0955130675,-7751.7528902184
-7596.0506835009,-7749.0683694129
-7085.0365893692,-7737.81359348
-7167.8516984006,-7728.314228562
-7186.3422129662,-7719.4294414211
-7392.5156535657,-7714.1566383912
-7348.2513039085,-7708.3486172089
-7697.4584984148,-7708.1784591028
-6448.8307127289,-7688.8038783893
-7201.8268880202,-7681.4254391413
-7383.6602646981,-7676.9811828063
-6929.4755627482,-7665.9884530996
-7502.9007189233,-7663.6248627492
-6859.9586743176,-7652.1439172002
-5975.7793403617,-7628.5331485123
-6251.1896597933,-7609.4033778357
-6758.1189108823,-7597.7419467815
-6557.9322626133,-7583.690464563
-6118.0042551006,-7564.1479817702
-7866.803754921,-7568.1302945748
-6747.3062245336,-7557.4702417171
-7049.9564163615,-7550.9636542126
-7247.1615014555,-7547.1180573422
-7302.9467768837,-7544.0659163365
-7271.7107435109,-7540.7035067954
-6487.6028499622,-7527.8608158584
-6225.7709734058,-7512.1729864313
-7154.1329639237,-7507.910605211
-7336.6225396808,-7505.8954514989
-6377.5429462239,-7492.7750735305
-6162.8706769787,-7477.4888160989
-6185.1524950318,-7462.8031760868
-6664.1646794807,-7453.8297098328
-6267.4271448937,-7440.6474591112
-6810.0230728611,-7433.7175208008
-6609.8372270954,-7424.762300217
-5909.2827772949,-7408.466821476
-5584.4065407583,-7389.0619248726
-5904.7869029698,-7373.4379772736
-5832.5749225039,-7357.3873204531
-6323.8992068853,-7346.7328038184
-7020.6008881452,-7343.4049271278
-5427.2175718758,-7324.049499297
-6147.4837331616,-7312.2838416356
-6076.7930011057,-7300.0512590561
-5978.3905749654,-7287.093801369
-5665.566894854,-7271.3508216941
-6164.0722392383,-7260.7039122474
-5916.8298885551,-7247.9051120217
-4605.8833741095,-7222.9803786452
-6649.9125560514,-7217.6246046023
-6079.2160134787,-7207.0837843141
-6102.2743582451,-7196.9479180199
-4246.7440289229,-7170.1278826645
-5607.5827720512,-7156.050899686
-6208.7876806603,-7147.5931923732
-4850.0434433855,-7127.2608937096
-5700.9354244099,-7114.7492667859
-5525.4381284128,-7100.9291699305
-5773.1609855296,-7089.4828924788
-5775.2190214306,-7078.2498679399
-5675.2867496173,-7066.360349988
-4160.6978328753,-7041.9430179115
-6305.970070603,-7035.8099100172
-5649.5866973589,-7024.35351983
-4564.5476028662,-7004.1911762483
-5363.9316288092,-6990.8557327732
-4044.3330246345,-6967.0934528688
-5462.0664445775,-6955.0532368025
-4207.7896872562,-6933.2495578378
-4635.4037926513,-6915.1562840962
-3810.5707292766,-6890.9017094492
-4105.5354247554,-6869.3097227461
-3253.6081286015,-6841.4966335604
-5516.1474244679,-6831.3794640254
-4690.7319265366,-6815.1624372262
-4164.7538642537,-6795.2345532189
-5464.3848691262,-6785.3028391585
-5128.4885637751,-6773.0301408223
-5287.9258308694,-6762.1102561903
-4564.6182421147,-6746.0701684963
-3606.9439651853,-6723.322877168
-3558.2530770809,-6700.5525908364
-4070.6699532288,-6681.7677148535
-3199.747626096,-6657.0725369191
-1081.8998870817,-6617.8107576949
-2219.7242806008,-6587.0549082047
-4915.2102116934,-6575.44487559
-3728.8550949063,-6555.8132219301
-4314.6076536526,-6540.4624988597
-2659.6285241564,-6514.0622677393
-3944.6273528855,-6496.7012210173
-3530.1392318347,-6476.7914090094
-4026.2423609489,-6460.4544153557
-2740.5018359142,-6435.8189678097
-3289.1608690357,-6415.1172697914
-4073.2882499131,-6399.8111977661
-3197.8445724063,-6379.0192066923
-4304.7063242437,-6365.6365429346
-2909.8197482414,-6343.4838711737
-1479.3065465027,-6312.5018499975
-2770.1082453196,-6290.0816373097
-3862.8493598505,-6274.8160255017
-4010.1001042515,-6260.6615509939
-2811.7263921944,-6239.2395934859
-3526.6186709421,-6222.4950198899
-2787.8915867674,-6201.4238331836
-3424.4023116558,-6184.4907751255
-2302.6533433626,-6160.9644876603
-3789.763067636,-6146.6801417565
-3933.0950685454,-6133.4251413182
-4280.0318541655,-6122.3930384184
-4041.0262509454,-6110.0772586109
-3707.8039836528,-6095.9462393464
-4070.0742542014,-6084.0990347549
-3332.5183576182,-6068.1014726786
-3744.4057524267,-6054.6697055095
-3391.0397457492,-6039.3614873499
-4320.1299981396,-6029.5373074116
-5374.906506996,-6025.8178142274
-3440.9369913868,-6011.2139677707
-5063.5670234192,-6005.8901085328
-4469.3636045577,-5997.3061615832
-3378.9465857386,-5982.7597194952
-1960.5712598563,-5960.5376838066
-2514.6442729909,-5941.6042035273
-2874.9385648183,-5924.8464677967
-3505.0508925853,-5911.6954048879
-3112.8979251613,-5896.5667698624
-2824.3423350785,-5880.0494341915
-3308.5427064145,-5866.2980613157
-2681.6282187656,-5849.3583281106
-4181.4435985942,-5840.5333824518
-2736.0961382606,-5824.1942390613
-3049.6848810265,-5809.6680120559
-3026.8834721308,-5795.1743425771
-3467.1855175808,-5783.1122243129
-2567.1076687665,-5766.5348812431
-1752.5040823622,-5745.9501079155
-4011.5942508595,-5737.1013535428
-3267.9844597613,-5724.5677652495
-2905.1079793905,-5710.3280693613
-2028.8716213142,-5691.8282882153
-3436.7417395315,-5680.5528554719
-3722.2973296033,-5670.8102906666
-3182.8582442442,-5658.4936963774
-2186.0759867887,-5641.3881904188
-3114.6839762314,-5629.0023854473
-1764.7177812352,-5610.1522166463
-2239.52653031,-5593.789956033
-2505.0680333213,-5578.8685940875
-2318.5084647501,-5563.1937857734
-2090.52379887,-5546.578139903
-1035.3335834942,-5525.0960229677
-3038.1880306362,-5513.3097291652
-2758.8821079853,-5500.3171460465
-2540.5803337628,-5486.4216680545
-4962.1263745908,-5483.9716900477
-1149.6232666699,-5463.8119299389
-1467.1264835111,-5445.3087565758
-3640.4194697279,-5436.9912944245
-3013.4584184496,-5425.8741711402
-2989.4579763651,-5414.7489830362
-1301.9724902605,-5396.0545444327
-1909.6361264156,-5380.2788954824
-2734.663067087,-5368.3617070662
-1425.9858988905,-5350.6828917829
-1898.7729674465,-5335.2725796207
-2820.0235123903,-5324.0936948774
-3449.4380362428,-5315.7987583348
-4390.9284081125,-5311.7244396113
-3633.2165441088,-5304.3625628767
-3695.9767536072,-5297.3390440589
-3255.6177897575,-5288.4619951272
-2147.2038545055,-5274.8634750379
-3341.1967011386,-5266.5287044607
-3545.0588594057,-5259.1404218639
-2462.6360504383,-5247.1895484818
-1084.7831958709,-5229.4771810239
-1357.5391449406,-5213.0706639218
-1046.0759013303,-5195.4884075396
-3394.8944345535,-5187.9228866447
-1917.453396292,-5174.2389138817
-3517.8372441191,-5167.3372402577
-2398.8581010219,-5155.8497749496
-3464.4042282265,-5148.8603305417
-2826.0378057385,-5139.3013901104
-2094.7736398675,-5126.8238173635
-5521.5927492012,-5128.4351191261
-3775.6476627355,-5122.9359831245
-2426.4384813254,-5112.0189891901
-1837.3961980515,-5098.8148650323
-2080.6871028006,-5086.6938700033
-2443.3014761861,-5076.120300428
-2725.5131620571,-5066.7553317492
-925.7036787915,-5050.3225870946
-528.1233445288,-5032.448281788
-2163.6063210112,-5021.1536283992
-542.7490349924,-5003.5912574446
-1055.2354677534,-4988.1679926411
-1073.7066192929,-4972.9366254297
-2246.963835665,-4962.3708394228
-1462.6127923232,-4948.8582600904
-2080.9024746117,-4937.8276609155
-2172.0399626505,-4927.2307731827
-251.2978784964,-4909.3837010655
-2590.7931750869,-4900.5677675067
-2146.6139360939,-4890.1361242059
-998.4389813177,-4875.4504746101
-2767.582373953,-4867.5261584422
-1951.0543456157,-4856.6030430383
-1915.9792895743,-4845.6305663463
-1852.0835104692,-4834.5021386293
-409.1308263383,-4818.1118745097
-1205.4519917278,-4804.7810262338
526.1029053908,-4785.1821882498
677.7219617629,-4765.1715503377
-1840.6720960122,-4754.498194665
-2655.1503107897,-4746.86420236
-276.1656132375,-4730.6660190661
1910.6978719881,-4706.6899761381
-1249.5031859343,-4694.2540524323
-996.8297504909,-4681.0016355795
-3709.3024222297,-4677.5312812461
-1792.2792712976,-4667.2634804989
-2459.8254161854,-4659.4356859446
-2458.1239523817,-4651.6571992536
-1405.4120356686,-4640.2267585367
-2633.6690021039,-4633.1862050054
-1375.5145838649,-4621.7957447916
124.4651593308,-4605.2582503522
-2227.4511655222,-4597.0019757521
-2238.6550960394,-4588.8416059261
243.7286302954,-4572.1775706288
-1155.4800687104,-4560.4363420998
-2323.7822866939,-4552.7765679375
-2790.9321494745,-4546.7634470554
76.3992574418,-4531.0384038428
-1703.0865642211,-4521.4521264203
-542.405867243,-4508.0094025718
-1606.1434518889,-4498.2388101452
-3105.5103680141,-4493.5652247689
-1831.9787130114,-4484.6635976393
-1.6331664454,-4469.7201628687
-2928.4027136736,-4464.5995068913
452.0948322329,-4448.3190620597
-1564.8184299661,-4438.8025583235
-1022.2690828551,-4427.5639613647
-2161.4374245321,-4420.1340382931
-2677.8239423116,-4414.44021445
-493.206474112,-4401.6674661102
-744.3013975348,-4389.7929009524
1909.370697993,-4369.4072582374
671.63875424,-4353.1458194875
-2485.6911806536,-4347.1411421922
354.1345071853,-4332.0729510083
1800.5103135879,-4312.48003323
-647.2822023959,-4300.8074286732
393.600064256,-4285.9045477433
17.5235500427,-4272.2861043959
-541.9265713682,-4260.5184087081
1416.3398123842,-4242.6666532959
957.5393100476,-4226.3650672039
3054.2989414874,-4203.6129921767
-542.6134218055,-4192.2080090914
656.4800459866,-4177.1499716533
-612.4298301265,-4166.1136863854
839.0376744454,-4150.6656883582
-2055.6276372966,-4144.2194174318
3333.211768839,-4121.2825119525
4465.951508382,-4095.021857456
228.5825674534,-4081.8401366484
5595.3414322844,-4052.426210907
1945.0365079723,-4034.2520814558
-635.2713470596,-4023.9832574848
284.29512094,-4011.0065153811
-2948.1141209432,-4007.8146463288
2870.0122966887,-3987.2223500922
251.5946900464,-3974.5691648977
-1752.142217834,-3967.9547989839
3521.4192290064,-3945.7311371797
-351.7427022391,-3935.0980353012
1791.4566712191,-3918.2055435416
579.8862587426,-3904.9758617701
1541.238826802,-3889.0045576981
-631.6271555492,-3879.4800623702
2165.6158491632,-3861.8558760392
2712.8859276941,-3842.7432545167
-288.0907185932,-3832.4399138328
2796.6913300861,-3813.2805749776
4153.2147274708,-3790.3223752587
2967.7639093068,-3770.9025870847
3591.2241717943,-3749.8076680048
-1179.2056247882,-3742.4630907385
3209.4959240079,-3722.6569396993
58.4404067281,-3711.9151858742
2572.3496696448,-3694.1127358586
-388.9610473923,-3684.776149168
4020.5127708837,-3663.0711099566
3531.4057625602,-3642.8619052585
1519.246243421,-3628.4022185675
7520.73682814,-3597.2593720683
1337.9792450058,-3583.512189291
-1515.5265538307,-3577.767784748
3834.5538298521,-3557.2350378932
2143.9485467914,-3541.4859119686
1302.7245918414,-3528.1409794513
2608.4492331416,-3511.282215131
5393.4561532573,-3486.8856716559
3246.9966715968,-3468.4870860186
719.7230395192,-3457.0750693278
127.704831879,-3447.3338195962
2349.6347953857,-3431.6238775502
680.685008015,-3420.5095292108
5599.068299811,-3396.1979986744
1824.4410712232,-3382.1640226801
-525.1753534523,-3374.5045356312
3226.9808362805,-3356.853505225
1262.1383219123,-3344.536193686
609.407167739,-3334.0203868737
-1044.2551744954,-3327.9467390955
10045.5169759051,-3292.5672054579
14453.9466216357,-3245.7426307162
2712.3491964458,-3230.0634416974
8186.5230602677,-3200.098647729
3310.2353952795,-3183.0558884541
7266.4135866596,-3155.7726783363
8838.8328442561,-3124.5367264546
11652.336317425,-3086.1552380289
3082.6274447264,-3070.173935742
4776.7908809534,-3049.8975408668
2166.9974051079,-3036.4519353359
8492.0514984884,-3006.815679722
4903.6080210172,-2986.5325420278
14524.8592074367,-2941.7463738706
10269.8357645624,-2908.0433582113
1595.4324765404,-2896.5841321687
10368.4005565344,-2862.9166583395
5515.2994724293,-2841.7059845907
13725.7171048043,-2799.8690575973
5740.7337750809,-2778.3562041145
5228.6966673936,-2758.2379808192
9434.4490349102,-2727.6798679978
7078.2317852415,-2703.1650888647
16814.8150573659,-2654.4918216672
11545.9811163005,-2619.16726212
4067.9405483244,-2602.5739424911
3951.2475421806,-2586.3516120835
12789.2075405016,-2548.3872684968
3636.5653148838,-2533.1533951388
12236.5620306281,-2496.8641680484
6363.0462254528,-2475.1487013977
11470.4909765007,-2441.0517828698
9707.7586326403,-2411.4205379539
5528.1168170739,-2392.1029288176
8861.815662559,-2364.7875924308
12405.4423052273,-2329.0243239135
4273.5489084209,-2313.0760793909
16053.1691144335,-2268.8200668757
13228.6267360855,-2231.5665889839
5619.4204547214,-2212.7392819247
9672.7032011211,-2184.3052089987
10233.2320101194,-2154.6690819841
6828.3004102232,-2133.2810593836
7468.733834922,-2110.4734230551
5839.1716416911,-2091.6354015747
6151.1149594728,-2072.1489941018
7953.2022571632,-2048.5042977544
10015.2396202228,-2020.1190179474
11014.9994104237,-1989.5201483973
11961.7942328546,-1956.8472809939
10587.4453174481,-1927.5381861377
7572.327946915,-1905.3939760373
8831.6125101053,-1880.4241935114
5171.9256426002,-1864.0614328708
7596.7089057591,-1842.1615015314
9637.126328249,-1815.6504441878
8458.6441147187,-1791.9769544207
6659.815143519,-1772.547547299
9508.6232415929,-1746.6733023704
6471.322636872,-1727.8678196719
9787.8761380575,-1701.5761668003
15698.6825802567,-1661.9400420918
12058.0304227952,-1630.7582910352
9576.6953082439,-1605.3445640527
19579.4032350163,-1557.4152703897
7903.8987746333,-1536.0579023422
11466.4064950557,-1506.7730726183
17539.7407052349,-1463.9719180614
11121.8286311383,-1435.7526343188
15840.3265251899,-1397.1036876532
16481.6153423777,-1357.1958326755
13222.8180192244,-1324.7236414686
17141.3880094434,-1283.6878377999
10395.4544839938,-1257.7917350908
10462.6232877047,-1231.8616133589
8942.5434742026,-1209.401557978
10547.6279760696,-1183.5050171541
13975.9213641683,-1150.1875965358
14827.7228241094,-1115.1483192976
13791.2121415553,-1082.5304627093
17378.0333101701,-1042.2235549082
18397.0093293808,-999.8722850078
15662.283020481,-963.6502082567
17691.3301070924,-923.1838735163
8757.6219447547,-902.2297483685
23346.742690291,-849.8561577882
14731.1724690855,-816.2763547131
4737.7702909521,-804.3321683783
11701.8973597505,-777.4947659574
19086.8555731391,-734.9586838609
22639.8223855628,-685.0125704647
11591.0463090639,-658.8376048367
11671.3907763525,-632.6030763661
10418.4601553936,-609.1400971054
10170.5385289618,-586.3017949316
13089.9304559362,-557.387984676
21699.7121585643,-510.4320772008
12994.0838248737,-482.001517407
10903.1221768964,-458.0831903181
13487.9695367402,-428.8461825046
19453.19359913,-387.25195702
15034.5032131826,-355.0562259757
9077.9274632346,-335.4041766232
19072.4256414819,-295.0552580824
11839.0169525486,-269.8808344089
8896.8627512027,-250.9020692213
9457.3340061659,-230.8437302226
13351.2560870444,-202.8394007025
13447.2918518331,-174.7527108824
17142.7904468255,-139.1930740083
19849.1656688301,-98.2333224861
8294.948996099,-81.0693504644
21448.6168434857,-37.1312153747
18787.263900677,1.207674882
17343.391000423,36.4560149746
21857.8520474307,80.7184815718
14208.2954599172,109.3168155361
16542.9118054362,142.5159973339
8700.1576076784,159.7693070321
13340.408252214,186.2897073243
17803.0582052994,221.6647444688
15993.5507152568,253.2717303822
9310.442554437,271.3860720303
