episode,interval,reward
10,-129.34557043650793,-129.34557043650793
20,-5.4957896270396365,-67.42068003177378
30,458.05017857142855,107.73627283596034
40,489.95997023809525,203.29219718649406
50,711.6949404761906,304.97274584443323
60,579.7477678571429,350.76858284655157
70,766.3370535714286,410.13550723581966
80,1035.5982142857142,488.31834561705665
90,1110.5577380952382,557.4560558924102
100,1592.9454761904763,661.0049979222167
110,1735.3021428571433,758.6683747344825
120,1280.5546428571429,802.1588970780375
130,1511.4558333333332,856.7201998669065
140,2287.3595833333334,958.9087272573653
150,2871.6075,1086.4219787735408
160,2292.989583333333,1161.8324540585277
170,2931.0924999999997,1265.9065744080256
180,2861.2412499999996,1354.5362786075793
190,2623.5675,1421.3273955229697
200,2657.475,1483.1347757468213
210,3318.0462500000003,1570.5115126160204
220,3202.884464285714,1644.710283146461
230,3314.382083333333,1717.3047092415422
240,3745.2654166666666,1801.8030720509225
250,4466.830833333333,1908.404182502219
260,5217.296666666667,2035.6692780470055
270,4326.85375,2120.527962193413
280,3376.1975000000007,2165.3733028293623
290,4736.648749999999,2254.037973421453
300,4090.35,2315.248374307405
310,3220.11375,2344.437579974907
320,3326.586666666667,2375.1297389340243
330,3719.758214285715,2415.8760563689243
340,4067.501666666666,2464.4532802012113
350,2939.6628571428573,2478.030696685258
360,4078.132083333333,2522.477957425483
370,5108.666666666666,2592.3749495671364
380,4997.5125,2655.6680429995804
390,4370.70375,2699.6433175380525
400,5647.297500000001,2773.334672099601
410,6012.35,2852.33504595083
420,5723.87875,2920.7051341424767
430,6562.8983333333335,3005.4073015655204
440,7767.116666666666,3113.627968954183
450,10300.427083333332,3273.334615940386
460,13666.072916666666,3499.2637094344354
470,18240.424999999996,3812.905439020937
480,11000.260416666666,3962.6420010552233
490,9437.408333333333,4074.3719262037566
500,16536.810416666667,4323.620696013014
510,11659.678333333333,4467.464963411451
520,12119.60375,4614.621478538154
530,12201.920833333334,4757.7780701380625
540,16085.76875,4967.555675320691
550,11080.914583333331,5078.707655466376
560,12804.172916666666,5216.662392273525
570,16587.761666666665,5416.155361999721
580,25410.16041666667,5760.879587080186
590,38049.2375,6308.139890688996
600,36112.620833333334,6804.881239733067
610,16782.154166666667,6968.443090994275
620,23574.225,7236.27828307501
630,23005.664583333335,7486.586002126729
640,33662.35,7895.582314593499
650,24677.15,8153.760278984369
660,40429.32083333334,8642.78392374723
670,32266.03,8995.369686079364
