Reward-3,Interval-3
-8011.893312097,-8011.893312097
-7872.9243277879,-7942.4088199425
-7801.1142987688,-7895.3106462179
-7747.6237711531,-7858.3889274517
-7418.2879334438,-7770.3687286501
-7061.2131148069,-7652.1761263429
-7005.4072427194,-7559.7805715396
-6640.3422846212,-7444.8507856748
-6598.4888700616,-7350.8105728288
-6257.5885850554,-7241.4883740515
-5679.7830146932,-7099.5151595644
-4998.4737134593,-6924.4283723889
-4662.7721032192,-6750.454813222
-4406.1058621363,-6583.0013167159
-3602.6697645476,-6384.3125465714
-3554.9375755573,-6207.476610883
-2837.3021910725,-6009.2310567765
-3049.5889852679,-5844.8064972482
-2364.6436498692,-5661.6400315967
-729.3447735359,-5415.0252686937
-1379.5545055138,-5222.8599942565
-1025.0830378687,-5032.0519507844
-1975.5881063585,-4899.162218418
-1328.0183082982,-4750.3645554964
658.2779085877,-4534.018856933
-328.7692857293,-4372.2784888098
1731.906094311,-4146.1975783238
1005.3335370329,-3962.2143242039
1687.0205929003,-3767.4131201659
1545.5539849868,-3590.3142166608
3242.9220051135,-3369.8872417648
1680.1416267732,-3212.073839623
2815.7756993494,-3029.4117323814
4363.4612847156,-2811.9742907021
5191.0080208186,-2583.3176532301
11231.450860021,-2199.5740834176
9194.3137071867,-1891.631170158
12449.8970607947,-1514.2225325013
8217.1614545638,-1264.6998661663
13181.8572341082,-903.5359386595
10559.1963229438,-623.9571030106
10840.7560437749,-350.9877423728
15307.8356631121,13.1709414756
14882.3072083428,351.1058566317
14715.81576385,670.3216323477
18039.809218112,1047.91918856
16198.9103168429,1370.2807019277
12976.3111001069,1612.0730018897
31166.9990642647,2215.2347582647
26235.9809656112,2695.6496824117
26308.0493916402,3158.6379120044
22551.6261144791,3531.5799928212
40669.6350061322,4232.2980119403
20941.8475525608,4541.7341145444
57824.6155793232,5510.5137775403
26230.3789373744,5880.5113696802
36733.885080067,6421.7986277572
49328.3388493262,7161.5665626118
26191.8547422786,7484.1138198943
25725.3952758224,7788.1351774931
22738.4744689077,8033.2227068606
16709.8634119609,8173.1685246848
25912.338784293,8454.7426557897
13360.7735249898,8531.3993881209
32407.9740477998,8898.7313059621
45285.2857829353,9450.0427374314
34724.2694830504,9827.2700022914
42240.183673773,10303.9304974602
33561.7426423214,10641.0002386901
17167.8479327382,10734.2409200337
51217.7428393285,11304.4310879111
40833.469873303,11714.5566265971
17903.5655352494,11799.3375705512
19587.891740273,11904.5883025745
36110.7278747685,12227.3368302037
29215.4917118249,12450.8651839093
31588.2019341497,12699.4020248215
17697.3117322776,12763.4777903017
18357.098318151,12834.283113439
33104.0884582602,13087.6556802493
36198.2656937712,13372.9718532557
56037.7350940716,13893.2738439974
66245.3040240446,14524.0211955642
35613.9042053053,14775.0912313945
22067.2474949812,14860.8813050837
11219.1893426804,14818.5360497069
26186.8368924947,14949.2061743367
34389.4126309391,15170.1176113435
14882.496235664,15166.8859104932
67613.7028787644,15749.6283212518
30707.9795649304,15914.005807446
28706.7087102339,16053.0569259546
38913.3587001823,16298.8666224517
47051.9646810473,16626.0272400963
51265.6041151792,16990.6543650972
57660.6506604125,17414.30015984
68341.0799866736,17939.3185085703
88110.525038998,18655.3512282685
60380.4205907268,19076.8165753641
