episode,reward
10,-52.725
20,20.0875
30,-39.3583333333
40,-30.61875
50,-60.63
60,9.7
70,18.9214285714
80,45.6375
90,90.4305555556
100,144.0975
110,182.875
120,199.4354166667
130,235.3980769231
140,281.3392857143
150,310.8133333333
160,322.990625
170,349.3764705882
180,341.2333333333
190,373.8618421053
200,370.3725
210,404.9345238095
220,411.1909090909
230,434.1108695652
240,429.5604166667
250,459.383
260,488.0586538462
270,508.0648148148
280,527.7669642857
290,542.8310344828
300,545.2775
310,568.4983870968
320,589.67265625
330,634.0136363636
340,648.6919117647
350,657.435
360,664.2201388889
370,692.25
380,704.2052631579
390,718.0019230769
400,723.40625
410,758.4585365854
420,783.1863095238
430,796.7389534884
440,804.9840909091
450,834.7922222222
460,844.3358695652
470,879.1154255319
480,879.4729166667
490,883.6607142857
500,894.454
510,899.0632352941
520,905.3341346154
530,919.8514150943
540,930.249537037
550,955.8509090909
560,986.1111607143
570,1002.199122807
580,1017.5965517241
590,1038.079661017
600,1041.0970833333
610,1039.9217213115
620,1035.8383064516
630,1041.730952381
640,1060.43515625
650,1065.4319230769
660,1072.1068181818
670,1093.4302238806
680,1108.0988970588
690,1115.5829710145
700,1123.9378571429
710,1133.4626760563
720,1144.1743055556
730,1153.6804794521
740,1154.9368243243
750,1166.114
760,1171.3575657895
770,1180.0246753247
780,1181.8471153846
790,1184.8161392405
800,1188.6853125
810,1194.2833333333
820,1195.6932926829
830,1201.9762048193
840,1216.9449404762
850,1237.875882353
860,1242.1162790698
870,1251.6068965517
880,1253.3997159091
890,1254.1241573034
900,1258.5769444445
910,1278.9664835165
920,1289.9989130435
930,1303.2661290323
940,1319.0723404255
950,1326.145
960,1329.3768229167
970,1330.368814433
980,1333.5994897959
990,1349.7810606061
1000,1362.841
1010,1385.8574257426
1020,1393.5992647059
1030,1411.8774271845
1040,1428.9867788462
1050,1441.8588095238
1060,1450.1181603774
1070,1459.5651869159
1080,1476.2800925926
1090,1480.7740825688
1100,1490.1022727273
1110,1495.1578828829
1120,1501.7191964286
1130,1513.8367256637
1140,1523.9813596491
1150,1541.245
1160,1553.469612069
1170,1567.0151709402
1180,1576.386440678
1190,1586.0743697479
1200,1598.7972916667
1210,1603.5636363636
1220,1611.9297131148
1230,1613.9117886179
1240,1624.9929435484
1250,1643.0926
1260,1659.1117063492
1270,1666.0312992126
1280,1675.2666015625
1290,1690.0980620155
1300,1713.8076923077
1310,1729.5450381679
1320,1730.1270833333
1330,1744.9039473684
1340,1760.1917910448
1350,1769.2503703704
1360,1775.640257353
1370,1791.8124087591
1380,1812.4385869565
1390,1821.8082733813
1400,1838.2757142857
1410,1858.8292553192
1420,1872.0098591549
1430,1893.9519230769
1440,1922.2576388889
1450,1942.8224137931
1460,1961.9648972603
1470,1983.8406462585
1480,2001.7768581081
1490,2016.6882550336
1500,2043.0418333333
