episode,interval,reward
10,-7842.403303551764,-7842.403303551764
20,-8450.874951930735,-8146.6391277412495
30,-7939.47340833879,-8077.583887940431
40,-8309.253830010999,-8135.501373458072
50,-7720.9664019156,-8052.59437914958
60,-7858.519803143963,-8020.2486164819775
70,-7574.895620174667,-7956.626759866646
80,-7645.708385416294,-7917.761963060353
90,-7782.641163283335,-7902.748540862908
100,-8268.74559133616,-7939.348245910235
110,-7959.736326658685,-7941.201707796459
120,-8235.309105446497,-7965.710657600629
130,-7578.421793231335,-7935.919206495298
140,-7416.779215481448,-7898.8377785657385
150,-8060.948355694891,-7909.645150374349
160,-8231.07039231055,-7929.734227995364
170,-8006.898079252458,-7934.2732780693095
180,-8143.744035260252,-7945.910542357695
190,-7827.099740258336,-7939.6573422472
200,-8243.500518807368,-7954.849501075209
210,-7706.179285573807,-7943.008062241811
220,-7366.8789836384985,-7916.82037685075
230,-7631.967433226999,-7904.435466258413
240,-8135.144442544505,-7914.048340270335
250,-7818.025227165967,-7910.207415746161
260,-8271.732993131689,-7924.112245645604
270,-8107.456107266966,-7930.90275903899
280,-8165.105871881526,-7939.267155926223
290,-7840.883653346611,-7935.874621354511
300,-8077.117268830913,-7940.582709603723
310,-7635.422184601512,-7930.738821700425
320,-7610.961090101422,-7920.745767587954
330,-7814.684018164798,-7917.5317751811945
340,-7735.977436614599,-7912.1919416939445
350,-8008.998624242883,-7914.957846909626
360,-7893.128671196575,-7914.351480917598
370,-7611.641542455433,-7906.170131229432
380,-8175.216866422849,-7913.250308471363
390,-7658.504831962678,-7906.718373176267
400,-7695.427368625157,-7901.436098062489
410,-7688.982717937075,-7896.254308303331
420,-7964.078894058424,-7897.869179392738
430,-8134.560079687089,-7903.373618934467
440,-7894.168762928954,-7903.164417661613
450,-7726.754745119584,-7899.244202716233
460,-7637.918387121894,-7893.563206725053
470,-7658.727327076624,-7888.566698647426
480,-7863.797164016125,-7888.050666675941
490,-7709.0393185797775,-7884.3973738576515
500,-7657.859065244811,-7879.866607685394
510,-7565.370272552519,-7873.700012878868
520,-7984.534680450948,-7875.831448793714
530,-7742.337825829879,-7873.312701190624
540,-7431.538506345605,-7865.131697582383
550,-7850.206023494424,-7864.860321689876
560,-7352.497168786799,-7855.710979673752
570,-7497.7145805998225,-7849.430341093508
580,-7592.423809829849,-7844.999194002757
590,-7556.153306912507,-7840.103501001225
600,-7544.582693404889,-7835.1781542079525
610,-8211.887186028256,-7841.353712106643
620,-7563.078934697926,-7836.86540924521
630,-7708.473284227133,-7834.827439006827
