episode,reward
10,-129.3455704365
20,-67.4206800318
30,107.736272836
40,203.2921971865
50,304.9727458444
60,350.7685828466
70,410.1355072358
80,488.3183456171
90,557.4560558924
100,661.0049979222
110,758.6683747345
120,802.158897078
130,856.7201998669
140,958.9087272574
150,1086.4219787735
160,1161.8324540585
170,1265.906574408
180,1354.5362786076
190,1421.327395523
200,1483.1347757468
210,1570.511512616
220,1644.7102831465
230,1717.3047092416
240,1801.8030720509
250,1908.4041825022
260,2035.669278047
270,2120.5279621934
280,2165.3733028294
290,2254.0379734215
300,2315.2483743074
310,2344.4375799749
320,2375.129738934
330,2415.8760563689
340,2464.4532802012
350,2478.0306966853
360,2522.4779574255
370,2592.3749495671
380,2655.6680429996
390,2699.6433175381
400,2773.3346720996
410,2852.3350459508
420,2920.7051341425
430,3005.4073015655
440,3113.6279689542
450,3273.3346159404
460,3499.2637094344
470,3812.9054390209
480,3962.6420010552
490,4074.3719262038
500,4323.620696013
510,4467.4649634115
520,4614.6214785382
530,4757.7780701381
540,4967.5556753207
550,5078.7076554664
560,5216.6623922735
570,5416.1553619997
580,5760.8795870802
590,6308.139890689
600,6804.8812397331
610,6968.4430909943
620,7236.278283075
630,7486.5860021267
640,7895.5823145935
650,8153.7602789844
660,8642.7839237472
670,8995.3696860794
680,9077.1160877547
690,9107.0755164346
700,9146.3784257236
710,9232.8471802909
720,9292.1084810276
730,9382.6470349404
740,9445.862193252
750,9462.5595695642
760,9664.5813734735
770,9843.0672160258
780,9910.7856812049
790,10022.4659046496
800,10045.3681641748
810,10064.0556662632
820,10107.2170554957
830,10289.8549975982
840,10708.1513170712
850,10853.4204780469
860,11006.215491868
870,11265.0151030726
880,11490.0467733029
890,11818.4187196702
900,12103.3507338961
910,12236.7115774797
920,12329.7465286303
930,12555.6684297561
940,12725.2943241204
950,13037.7201294805
960,13523.2208746596
970,13888.5308398693
980,14604.6609673536
990,15208.8788279527
1000,15756.6717480065
1010,16685.746285155
1020,17083.8128656927
1030,17863.0302974173
1040,18466.0267609037
1050,18878.5794425459
1060,19413.3876946602
1070,20012.4679887911
1080,20453.1852219196
1090,21187.7940348684
1100,21588.0757178847
1110,21998.1165147206
1120,22244.9219290237
1130,22285.2524244895
1140,22547.9710801227
1150,23038.4023460926
1160,23285.9796606378
1170,23652.5135951623
1180,24064.1014742993
1190,24372.1215249354
1200,24561.6123004221
1210,24536.776317223
1220,24567.2996158523
1230,24591.8034435012
1240,24645.8256637149
1250,24636.2745917386
