episode,interval,reward
10,-7900.794166589095,-7900.794166589095
20,-7821.610155690418,-7861.202161139756
30,-7718.602732412885,-7813.669018230798
40,-7682.501764959901,-7780.877204913076
50,-7559.426407943625,-7736.587045519185
60,-7555.91987440935,-7706.475850334213
70,-7196.612669432017,-7633.63825306247
80,-7091.030902028622,-7565.812334183237
90,-7022.052307507949,-7505.394553441539
100,-6449.297064302484,-7399.784804527634
110,-6492.079164955193,-7317.266110021046
120,-6205.962333724769,-7224.657461996357
130,-5682.684571523239,-7106.044162729195
140,-5546.770833624638,-6994.667496364583
150,-4902.036927921351,-6855.158791801699
160,-4780.313606906808,-6725.480967745767
170,-3848.048648720271,-6556.220243097209
180,-4424.013366077563,-6437.764305485008
190,-4949.023215152188,-6359.409511256964
200,-4181.700757579954,-6250.524073573115
210,-3375.345336701733,-6113.610800388764
220,-3462.9047832254596,-5993.124163244978
230,-3265.4754520443594,-5874.530741018863
240,-1715.53441641351,-5701.239227493641
250,-1367.5721216790705,-5527.892543261059
260,-2067.8823643240144,-5394.815228686557
270,-1297.9183089952603,-5243.078305735027
280,-1165.50170031825,-5097.450569827285
290,-788.373283008493,-4948.861697868016
300,-1467.362938356029,-4832.811739217617
310,-2032.5712014000196,-4742.481399288019
320,-734.5916754710122,-4617.234845418739
330,1315.2179194203381,-4437.463549514523
340,-395.03598961544475,-4318.568621282197
350,1260.3451774588218,-4159.171084175311
360,256.05920444368894,-4036.52579838034
370,1632.0962742191293,-3883.3197964181927
380,6541.44533248254,-3608.9838719734375
390,3226.3132598399907,-3433.7198429525806
400,2405.4260297292267,-3287.741196135535
410,4920.384289615762,-3087.543013556235
420,4314.473648035559,-2911.3045216135743
430,893.8375802306284,-2822.8128448264993
440,1225.7896688586184,-2730.7991513336556
450,2244.796053615015,-2620.230369001463
460,8572.18013194586,-2376.917097241738
470,7053.610301434824,-2176.26757812096
480,7661.502718097235,-1971.3140302830811
490,8400.374056937155,-1759.6469264622601
500,5808.977292638845,-1608.2744420802383
510,12778.966630023284,-1326.1716759605615
520,8565.876247035918,-1135.9399851337062
530,7857.260641136729,-966.256954449358
540,11249.440425621779,-740.0403362998924
550,8048.030323277839,-580.2572333984791
560,11731.318538862954,-360.40766603666793
570,11949.122243395208,-144.45100095891564
580,14868.982472553394,114.40130030853797
590,15750.136043076924,379.41375357579875
600,12367.855121826748,579.2211097133144
610,9909.284320005334,732.1729656197409
620,22165.72873152954,1077.8754779731244
630,5858.581019674899,1153.759692920771
640,15745.177159015055,1381.7505908284943
650,6666.89174454706,1463.0604547318574
660,7640.870083232296,1556.6636309212581
670,19833.507613771788,1829.4523470832062
680,28312.5740306883,2218.9100189009278
690,37660.01669756546,2732.5492461279496
700,34874.78063380076,3191.72398023756
710,17875.162165230173,3398.532968758583
720,14003.014989893181,3545.817441274341
730,13005.676648170143,3675.404553697571
740,8692.281320204713,3743.2001856773973
750,27996.054332337157,4066.5715742995267
760,14678.492513999232,4206.202112979787
770,18055.370790172066,4386.061446449818
780,13850.743774102735,4507.403527573573
790,12744.83172091937,4611.674770527316
800,19383.969863329996,4796.32845918735
810,14222.560761588049,4912.701697488592
820,23885.61134356786,5144.078644391997
830,30910.18989703415,5454.513719725035
840,35897.86465663903,5816.934564212106
850,56963.258289888865,6418.656019808303
860,47792.64442306416,6899.748908218256
870,57769.2369044419,7484.4556667955385
880,31903.881228453607,7761.949139087106
890,46877.531789068176,8201.45006773858
900,28241.310504857578,8424.115183706568
910,33597.58107837026,8700.746677054523
920,42875.74616238298,9072.214062764615
930,22360.993431402283,9215.104163502656
940,37220.90939298829,9513.038261688673
950,42782.994070277084,9863.248322831709
960,20853.36829987022,9977.728739259195
970,28400.31327237148,10167.652291146955
980,38805.652092527125,10459.876778916134
990,67033.48215455761,11031.327338266045
1000,44973.35375429808,11370.747602426367
1010,31894.977141009607,11573.957795877684
1020,36394.42055296104,11817.29566604517
1030,22286.631151165442,11918.939699881288
1040,39448.53355113938,12183.647333066461
1050,27367.874427676736,12328.259019681795
1060,28869.12213425478,12484.304898121163
1070,13150.981519807616,12490.535520753747
1080,14897.20289093116,12512.819477885025
1090,30005.57653659979,12673.303487598003
1100,25662.32545506305,12791.38550548405
1110,39739.01947444379,13034.156982681885
1120,28916.232936660235,13175.961232270976
1130,44731.202609053194,13455.211155959312
1140,64641.806817127486,13904.216381057278
1150,52154.60331440855,14236.828441347288
1160,44320.02267265485,14496.166322651667
1170,58882.33555993027,14875.53529049165
1180,64863.751914579945,15299.164244933072
1190,52595.478905854594,15612.57865384838
1200,38511.047961103315,15803.399231408841
1210,47443.279807074316,16064.885847736656
1220,51948.743873518084,16359.015831554538
1230,45605.09293461042,16596.788816132226
1240,51658.75748429065,16879.546627972213
1250,24775.9872896098,16942.718153265305
1260,47434.89170745686,17184.71953067952
1270,39577.73613780116,17361.04249608992
1280,33591.53824095734,17487.8432440967
1290,50868.339081784114,17746.606777722183
1300,71762.65037811556,18162.11480541752
1310,26740.840223907504,18227.60125899378
1320,29004.278177170538,18309.242750798156
1330,34706.805426052946,18432.532695724884
1340,23315.451061184995,18468.972385019362
1350,45806.16037531955,18671.470073836394
1360,60991.88777259031,18982.649615738992
1370,34128.33457316988,19093.20206068374
1380,69467.21126193769,19458.231112866742
1390,67238.47202418323,19801.973853235926
1400,59562.864423526466,20085.980214452287
1410,44715.289633098706,20260.65616777603
1420,81453.70231947747,20691.59311250632
1430,45529.49402044158,20865.28472724713
1440,73837.20526727969,21233.145286552906
1450,19467.28561832167,21220.966944013373
1460,20794.61792386527,21218.04674524524
1470,13328.15687168813,21164.374025016958
1480,24115.178225451677,21184.31189123611
1490,26834.81895762377,21222.23475745348
1500,44920.656780134195,21380.22423760469
1510,27354.46087255911,21419.78871863087
1520,45374.93191945333,21577.388344952073
1530,47070.85131664873,21744.012285943554
1540,48893.511012843854,21920.30773222213
1550,48518.23673930847,22091.907274203328
1560,83520.15301818938,22485.678080254514
1570,34781.398466606406,22563.99477061344
1580,42443.34430792005,22689.81343857108
1590,55164.03591382412,22894.05383149719
1600,67595.9405931783,23173.4406237577
1610,105812.54361870415,23686.726977763585
1620,74970.98265813457,24003.29645727204
1630,32043.614173738548,24052.623559827047
1640,80986.7801986962,24399.78305152747
1650,67512.96714077095,24661.075076310764
1660,44621.52446453691,24781.318747324178
1670,42122.693479427275,24885.159314582288
1680,16396.40791162581,24834.631032421825
1690,64714.65376831098,25070.60749831466
1700,70108.70391557825,25335.537477239734
1710,29502.083814471793,25359.903245293724
1720,26754.24286263642,25368.009870975955
1730,35001.98914012477,25423.697612416123
1740,32836.84131187788,25466.301886550962
1750,35303.230710205244,25522.512908400415
1760,56401.85601233947,25697.963721490974
1770,56589.9180658194,25872.494536995648
1780,44450.740662604265,25976.86670624064
1790,38210.953559696914,26045.213560170556
1800,27523.173297761754,26053.42444760161
1810,27974.363334548543,26064.037369628946
1820,16822.53059974299,26013.259859904298
1830,20651.86826062075,25983.962638050285
1840,23132.15982935842,25968.463709742184
1850,26248.53741188976,25969.977621645678
1860,15103.53593136894,25911.555892128064
1870,31669.94559538638,25942.349419952978
1880,20245.265794825835,25912.045783649108
1890,11902.34690583701,25837.920392761214
1900,26868.93608823823,25843.346791158463
1910,50174.466970608344,25970.734854925216
1920,20118.75836222701,25940.255810692408
1930,29209.595640374115,25957.19539530216
1940,66807.08253156013,26167.761823839566
1950,27731.591759278625,26175.781464534128
1960,27906.64786265404,26184.612415544936
1970,51664.43057024118,26313.951593995167
1980,56365.40344621064,26465.72660334979
1990,44265.55883964954,26555.172996497025
2000,28823.40908347432,26566.514176931905
2010,24479.581963247714,26556.131429600147
2020,19884.868081089655,26523.1053734194
2030,57278.04264812245,26674.607527481974
2040,30075.885133542404,26691.280456923447
2050,45220.28437428809,26781.6658418862
2060,27275.545062676578,26784.063313831783
2070,16477.94425342221,26734.275299047196
2080,14758.542319070028,26676.699659720383
2090,12101.662521463302,26606.962639920108
2100,28532.145108801564,26616.13017548621
2110,46039.738964742835,26708.185193444766
2120,41873.953639972504,26779.721837060468
2130,34391.986439012646,26815.460168525027
2140,44648.331124003875,26898.79134121418
2150,43782.35489306134,26977.319543780908
2160,22562.520642487398,26956.88065997862
2170,44876.120370339624,27039.45780150102
2180,11207.281640261526,26966.833140210932
2190,26198.92619377873,26963.326715797994
2200,38992.140441822834,27018.00314182538
2210,31875.461487534885,27039.98259135347
2220,19495.505151648387,27005.998458742193
2230,46645.455646938455,27094.067773487463
2240,20737.365332627618,27065.68963759077
2250,40411.60792924646,27125.00482999813
2260,54776.790045502385,27247.357861925146
2270,19143.43624680697,27211.65776670437
2280,19808.211572746204,27179.186511467713
2290,35676.39690319201,27216.292233702316
2300,13791.537072011788,27157.923732999312
2310,28057.812719129444,27161.81935631589
2320,14237.135976563808,27106.109514161788
2330,28521.222826546575,27112.182961854425
2340,7643.876541381297,27028.98507116864
2350,7915.65124283498,26947.651735728923
2360,50763.210066716514,27048.565118487346
2370,48057.9303979128,27137.212229370994
2380,22781.103938293476,27118.909253358062
2390,22741.113592811937,27100.592116703057
2400,60910.93506939232,27241.468545672597
2410,37489.855237107324,27283.992971778134
2420,35811.12859579448,27319.229069398047
2430,36720.20012886618,27357.916193099576
2440,43681.74811980039,27424.817143618835
2450,46818.93526158658,27503.976809406464
2460,28749.793208786992,27509.041103712876
2470,20374.717136819454,27480.1572010129
2480,29447.277205613595,27488.08913651532
2490,67328.44559043425,27648.090568057156
2500,28038.3137776525,27649.651460895537
2510,83735.1813011594,27873.09978695237
2520,30042.227409286035,27881.707436247347
2530,64710.87548848938,28027.277270445928
2540,110072.45498763354,28350.289781143518
2550,96944.18140815839,28619.285434582795
2560,81725.08010659917,28826.72994502036
2570,90383.5559320121,29066.250668705146
2580,86415.4289602526,29288.53430549409
2590,58324.7880967041,29400.643393491053
2600,50475.80841537881,29481.701720498324
2610,85230.77046209255,29695.29968502551
2620,56443.56925026378,29797.3923169539
2630,58214.1155306725,29905.44069419238
2640,73929.6339288732,30072.19900189951
2650,62500.31243031744,30194.569241252037
2660,14636.568347433966,30136.0805160873
2670,67905.61753001508,30277.539456214377
2680,63873.27552330195,30402.896680345304
2690,45621.224179240744,30459.470388519636
2700,59249.853710370684,30566.101437859823
2710,83803.09871215864,30762.547922266833
2720,30386.812781604433,30761.166543073214
2730,87694.43663059287,30969.713319950577
2740,87797.57936925483,31177.114290933438
2750,72251.09365561364,31326.474215895912
2760,28896.956042743637,31317.671613819282
2770,63296.46626135876,31433.11852590426
2780,46890.90265360829,31488.722065931965
2790,29970.801581261003,31483.281490718084
2800,33645.70142932565,31491.004419070243
2810,73852.34694877728,31641.756527716887
2820,64194.5461432513,31757.191951885445
2830,68604.7131648506,31887.39520705494
2840,29132.136414789136,31877.693591589217
2850,22398.31516976015,31844.43261467052
2860,27599.08311983515,31829.58873531795
2870,39035.601802085046,31854.69679478404
2880,58924.96678591857,31948.69078780881
2890,57692.72480103265,32037.770490276715
2900,36556.7913493712,32053.35332082531
2910,66812.64193179933,32172.80104801079
2920,16800.455301320217,32120.15602833034
2930,43165.161113412745,32157.85229141936
2940,35728.09777500284,32169.995983540393
2950,29217.55340045152,32159.98770359771
2960,76115.0517427515,32308.484541567817
2970,37575.862405023116,32326.21982056936
2980,47435.38776479908,32376.921726422483
2990,34308.75140957978,32383.38269526247
3000,65990.43292275946,32495.406196020787
3010,71065.91556939005,32623.547423174845
3020,31058.102120693824,32618.363829458012
3030,61751.57738716547,32714.513049120415
3040,26168.369796936167,32692.979683159287
3050,45764.687538161445,32735.837741700278
3060,18130.438781530174,32688.10767973893
3070,26163.40634308997,32666.85458092248
3080,26885.531554027966,32648.08405161439
3090,31588.789702219725,32644.655914561336
3100,26872.967745421327,32626.037565628623
3110,71393.39344319506,32750.691443048458
3120,45864.6092837035,32792.723230999276
3130,35018.12358328581,32799.83313627815
3140,45899.537672902516,32841.55194053491
3150,40769.27202395304,32866.7193058791
3160,51985.92065788441,32927.223107625934
3170,46633.264343654024,32970.45983076798
3180,21074.351768871402,32933.05068591925
