episode,interval,reward
10,-1311.1747295399327,-1311.174729539933
20,-981.9296711685022,-1146.552200354217
30,-466.13224295639685,-919.745547888277
40,-132.89701474350252,-723.0334146020834
50,-3.997139270218947,-579.2261595357105
60,49.434314241663415,-474.44941390614815
70,89.68923538707793,-393.85817829283013
80,142.3851261097837,-326.82776524250323
90,158.58803510292904,-272.89267631523296
100,166.43199037173744,-228.9602096465359
110,176.28671261748326,-192.11958034980688
120,221.63064817057753,-157.64039463977485
130,238.10346367967108,-127.19855938443288
140,265.26242311787803,-99.16563206283926
150,274.60580403806523,-74.24753632277898
160,297.5356815767621,-51.01108520405764
170,329.465687084942,-28.630098598822368
180,280.9016795625606,-11.433888700967763
190,377.59009690653323,9.041057909953343
200,443.24496350636844,30.7512531897741
210,437.8972747379642,50.13915897778315
220,484.5400714444087,69.88465499899341
230,592.6990128708537,92.61571403690037
240,571.8364013116677,112.58324267334902
250,612.2754902393978,132.57093257599095
260,537.3011943913007,148.137481107349
270,590.9752254212335,164.53887904490026
280,505.09504927262304,176.70159941017602
290,445.2272534075055,185.96110472042875
300,431.9787722445227,194.16169363789854
310,523.2657059564868,204.77795209978845
320,467.1728255865769,212.9777918962506
330,648.6213568878262,226.17911204751047
340,566.5181620522696,236.18908410647387
350,577.5436902746644,245.94207285413643
360,775.492211770704,260.65179893515216
370,767.6724284087007,274.3550591911939
380,989.2481524654492,293.1680353299902
390,955.609989177335,310.15372645428107
400,866.0094523334101,324.0501196012593
410,889.6901288319168,337.8462173873729
420,708.7754064499599,346.67786474600575
430,854.2722971811547,358.48238643054407
440,833.9768126165815,369.28907793477225
450,800.7866289607937,378.8779124020172
460,831.2996332228344,388.7131672024697
470,745.9850486374913,396.3146965947043
480,797.9345808820128,404.6817775173565
490,772.8357667963938,412.1951242373368
500,1006.6993714794742,424.08520918217965
