episode,Run 1,Run 2,Run 3,Run 4,Run 5,,Average
10,-1327.1812872699,-1319.4230232551,-1305.8421198216,-1321.315795298,-1298.7778158857,,
20,-1018.4381948391,-1041.9529657753,-919.6637057724,-1050.5212630231,-998.7394165408,,
30,-433.1287915964,-519.8204497609,-350.8365611508,-504.16401566,-394.8574576055,,
40,-125.7522581975,-133.4903231123,-81.358169747,-119.7033477788,-83.4473017805,,
50,-17.7133446475,-21.7042145297,7.4460298554,-6.3495740762,3.7798708625,,
60,30.618918794,39.0958858671,58.4287863459,34.3375976813,43.3572080004,,
70,58.0902633016,62.2305200272,74.7259611386,76.185246624,52.1502416926,,
80,74.37676958,75.7553177118,90.4836840889,87.472074347,74.3247984687,,
90,80.7493510429,88.9455021892,95.430926356,118.1523039875,96.9426415705,,
100,98.6024087684,116.5960441316,107.4976923105,140.6654113816,95.32980085,,
110,109.9196287198,125.8089481797,114.0720150698,131.448484453,101.3406120062,,
120,117.1141259679,141.6161231599,131.1543826853,128.4231597625,97.9689397217,,
130,123.3524383119,166.8575765197,139.7802798001,140.1409084896,113.6712541189,,
140,119.9503996236,176.3019690686,136.9081201145,151.2948698316,111.9587009562,,
150,130.8944309745,151.9834153433,156.6350051856,145.0049983345,116.6164204944,,
160,119.6396277426,170.2712460765,166.3507877457,160.9068057933,123.4294914365,,
170,137.8713077747,184.3548722626,189.9018488957,170.7687599652,125.7328622478,,
180,135.0386659153,205.9604492351,194.0017044536,163.9634335011,126.6250690019,,
190,144.1957999419,196.1906307406,190.0937605858,176.916110996,133.8120617406,,
200,150.5479693438,179.7615530281,213.3045005428,185.0511235844,145.4501288663,,
210,150.9817420689,184.2254043739,225.0955870576,177.4331093087,159.9737068134,,
220,160.8461084235,216.9012751575,242.7559318814,200.3765295224,157.8461358808,,
230,162.8280060887,227.13557519,225.3829959624,216.3940377593,162.29180327,,
240,156.1601587043,244.8152569238,224.9090752975,231.8542085541,152.0332309354,,
250,169.0385817289,219.6217237375,277.0302917567,241.6216753309,181.7855926265,,
260,163.4152500896,212.4875293989,280.0669730576,250.365179052,176.704440258,,
270,167.1117722189,277.7297332958,284.5429372791,235.4187449288,185.6132364416,,
280,169.9481166022,244.6251245891,285.1902463539,275.2918395578,198.4572805022,,
290,193.4877289741,240.2440382991,259.1204587261,258.7292569063,195.4391948742,,
300,165.7753884423,266.6935293583,298.0776298327,288.7412653014,196.8350811628,,
310,166.7868804332,310.1380019816,306.0599317345,285.5599187307,194.7641763838,,
320,171.7341030184,391.9042600547,375.3918748899,323.6463667521,209.2525410807,,
330,157.7253970715,411.2253959832,357.7361637416,334.5189370712,195.2798936944,,
340,161.0326332122,402.3296701287,407.4182125879,353.5757386102,213.2859706772,,
350,162.9082729392,310.2555435498,431.1826602959,371.6418181684,210.5383283849,,
360,164.7023252136,331.2214856495,452.2618662732,352.6137089984,193.1243218129,,
370,162.002586454,388.550437321,443.7355670768,366.6746328951,199.8514363127,,
380,168.7300576363,382.1825431142,419.8234481023,364.3856224479,220.5130558965,,
390,172.1126471664,400.5551240753,457.1282426082,383.2980853843,218.9998909265,,
400,156.6165538938,339.6079814007,414.098332855,316.2958984126,219.0158587225,,
410,184.7392250681,330.1637394716,375.3551623042,341.4208999814,203.6423929643,,
420,175.8486653043,287.0669446448,419.0051407176,360.8067281055,198.2944661896,,
430,177.4305334633,251.6447580459,447.6245391495,369.3217718975,197.401626603,,
440,179.3896638468,264.3784548199,407.4303003289,351.5393067011,195.8156173055,,
450,189.8104704203,280.2341747312,465.2701746513,329.5043809465,196.4587185339,,
460,209.1519269368,285.3993668358,409.505051322,378.8463339767,229.1699444843,,
470,201.8034474598,344.4470764519,373.3654188436,430.9743647169,216.5173119271,,
480,211.9175950193,312.7946292094,430.8502104465,429.1058534295,183.6177816536,,
490,179.4187279281,309.2886044291,431.51786499,439.3620173394,175.83081606,,
500,190.8302904587,331.9912671046,421.1961125625,511.2078432529,193.3071333851,,
