episode,interval,reward
10,-1280.450850741604,-1280.450850741604
20,-924.9473449673811,-1102.6990978544925
30,-455.8552570519279,-887.0844842536378
40,-111.61035708795782,-693.2159524622177
50,0.45634534291936735,-554.4814929011904
60,40.193969572228205,-455.3689158222873
70,60.63730942425774,-381.6537407870666
80,82.4173592425827,-323.64485328336053
90,121.57525956603031,-274.1759518556504
100,135.19572591785987,-233.2387840782994
110,138.70026172658555,-199.4261435505826
120,154.84095760229826,-169.90388512117585
130,179.7967578273643,-143.0038356635958
140,168.54752902552482,-120.75016675723002
150,186.97984588231378,-100.2348325812604
160,215.88221693325718,-80.47751698660306
170,209.5918681342598,-63.41461197949346
180,247.6285933835009,-46.13443390377154
190,276.73713644633216,-29.141193359029224
200,249.81080710847147,-15.19359333565419
210,263.21309790985845,-1.936131847772642
220,367.912564866743,14.875172548341705
230,334.15646092565623,28.75696769518147
240,373.2571263469735,43.11114097233947
250,353.9345229673432,55.54407625213962
260,397.62138024471767,68.70089563646954
270,404.38611573304235,81.13368156597225
280,391.8684306167141,92.23135117492731
290,431.250528978022,103.92166765089608
300,524.1236953526162,117.92840190762007
310,547.0299826645308,131.77038838364942
320,598.7033522296218,146.36204350383602
330,610.7506313305779,160.43442495313124
340,589.9211669600274,173.0663879533341
350,656.2559320825446,186.871803499883
360,909.4140868037246,206.94242248054522
370,838.6640044361563,224.01597874961578
380,845.8317534377368,240.37955176772428
390,895.4643170590516,257.1765970316044
400,978.0743650484453,275.19904123202525
410,852.1482871747739,289.2709740598971
420,953.1230735031186,305.0769764275929
430,719.7931144136662,314.72153777610635
440,875.6595779035299,327.47012959718427
450,909.0826038972488,340.39485124829685
460,1127.7980048656814,357.5123111095444
470,1131.7953383186502,373.9864180714402
480,867.476527713341,384.26746202231305
490,882.8072004206457,394.4417423977892
500,1098.4543887387604,408.52199532460867
