episode,interval,reward
10,-1314.8894781415233,-1314.889478141523
20,-1050.095668637331,-1182.4925733894272
30,-523.5513852819382,-962.8455106869307
40,-148.66851972964383,-759.301262947609
50,-12.898917220707952,-610.0207938022288
60,45.14637094016774,-500.82626634516254
70,75.21512755881488,-418.5346386445944
80,88.22198552803634,-355.1900606230156
90,117.35383191098565,-302.68518367479334
100,147.6105690230215,-257.65560840501183
110,158.01649495131565,-219.86723537261844
120,154.41693896792617,-188.67688751090637
130,154.65671525054924,-162.26661037540978
140,190.40010620793257,-137.07613061945676
150,218.4880080780603,-113.37185470628897
160,222.723912407103,-92.36586926170199
170,223.15444334112453,-73.80585087330039
180,239.64998388189673,-56.391637831344994
190,242.20146259968865,-40.67621149286954
200,313.4026310094682,-22.97226936775266
210,306.801103788057,-7.268775407952202
220,302.85521668296906,6.827769687089672
230,339.5980669198907,21.29604347982015
240,331.85659868069234,34.23606661318981
250,344.05378092851004,46.628775185802624
260,381.47464935637055,59.5074626539014
270,412.3852917226939,72.57701187867147
280,390.42406163136985,83.92869222698216
290,356.95166238141184,93.34327740472116
300,364.76349642921434,102.39061803887093
310,369.61533796157505,111.01077029444197
320,394.48200314175,119.86924632092033
330,439.606581139823,129.5582564669477
340,495.5265820031662,140.32203074742472
350,481.1784910108524,150.0607867549512
360,398.83053519004653,156.971057544815
370,440.79136945010487,164.6418767854985
380,449.84873496451246,172.14732042178838
390,497.70034571083795,180.49483389073836
400,454.26644444001823,187.3391241544703
410,480.43110118262047,194.48770896003498
420,493.0539990598274,201.59643015288714
430,430.56241564531547,206.9212205131762
440,522.2212059465262,214.087129273025
450,557.3214041964804,221.71455760465733
460,491.1907933425294,227.57273664243715
470,524.3817790956771,233.88782265208053
480,516.6460426365072,239.7786189017561
490,527.1083965024488,245.64249191401512
500,548.1401236364838,251.69244454846452
