episode,interval,reward
10,-1109.0100270558955,-1109.0100270558955
20,-748.6691026733454,-928.8395648646207
30,-450.39037705242606,-769.3565022605558
40,-186.4562899430573,-623.6314491811811
50,-26.332547319394074,-504.17166880882377
60,50.74992430721434,-411.6847366228173
70,90.42581276939214,-339.95465813821596
80,138.7044840139641,-280.1222653691935
90,212.34116364133882,-225.40410659024545
100,249.27340086929343,-177.93635584429157
110,315.92788524784453,-133.0396066540974
120,309.821396414261,-96.13452306506753
130,306.69788515923454,-65.14741474012122
140,370.87830670262497,-34.00272035135364
150,357.50372350471457,-7.90229076094909
160,400.3222482824916,17.611742929265954
170,395.99375514676166,39.86950835382453
180,417.34166944698455,60.8401839701112
190,403.9827346705796,78.90031821750429
200,440.34706461505874,96.972655537382
210,423.76815708784943,112.53434608740426
220,463.6779913116969,128.49542087032665
230,480.9060893826322,143.81762384912247
240,461.67854592522065,157.06182893562658
250,445.01530619189543,168.57996802587735
260,491.1031274258154,180.98470492587498
270,471.16642443992976,191.73217601898813
280,501.5683703667066,202.79775438854955
290,488.78860276228323,212.65950778074728
300,485.10999225222406,221.74119059646318
310,499.2508634585065,230.69311552749681
320,492.74529578769005,238.88224616062786
330,468.9629792809739,245.85438958851714
340,521.1756003110409,253.95207225682665
350,511.8851695724308,261.3215893229867
360,491.1470442803164,267.70562973846813
370,529.8915870160763,274.7917366919171
380,547.9763235620878,281.98080476744786
390,498.8889366945229,287.5425517399369
400,514.7921680590869,293.2237921479156
410,485.82526663169494,297.9213890865444
420,474.97223958822667,302.1368855270607
430,513.4673899593889,307.05154842083584
440,548.4579643054439,312.5380578727587
450,544.3101536164916,317.6885488892861
460,505.65262538678996,321.7747244653189
470,560.1483190510286,326.84650307352547
480,537.7120655153154,331.23953562439607
490,495.83378675174555,334.5986019739338
500,533.8656889131005,338.5839437127171
