episode,interval,reward
10,-1074.7488140485839,-1074.7488140485839
20,-694.4991906748431,-884.6240023617138
30,-419.75810627640976,-729.6687036666123
40,-179.27710053850006,-592.070802884584
50,-32.30529968522413,-480.117702244712
60,25.192604795152324,-395.89931773806796
70,69.33878407362667,-329.4367317649687
80,92.52131685884369,-276.69197568699224
90,144.970108954642,-229.84063294903285
100,269.80677620030434,-179.87589203409917
110,270.7746798354304,-138.90765822777826
120,281.98358728996385,-103.83338776796644
130,265.1517424951247,-75.4499162092671
140,328.88190206178507,-46.569072047049104
150,376.2811707744828,-18.379055858946966
160,357.45095692433034,5.110319940007872
170,367.1168680534455,26.404822770210085
180,364.4191757512384,45.18339793582278
190,359.1445411597854,61.70766863182081
200,390.21473805519827,78.13302210298967
210,434.6951265106316,95.11216993192498
220,433.07693723196917,110.47420480919975
230,449.6067176300147,125.21909667097431
240,420.6409941172119,137.5283423979009
250,425.72369390519987,149.05615645819285
260,471.4387428497359,161.45548670402144
270,441.16379092328697,171.8150535269572
280,463.4617709085105,182.23100771915554
290,473.27590708554925,192.2670387317898
300,505.23797001506864,202.69940310789912
310,471.52654542854543,211.3712464085651
320,479.45933622528275,219.7489992153375
330,497.9674079935504,228.17986008740456
340,540.181980645054,237.3563930449825
350,511.7547366806797,245.19634572028815
360,527.7534666108535,253.04515463391505
370,494.511639362046,259.57127584278345
380,524.32465025037,266.5384699061411
390,513.380415324753,272.8677505579003
400,487.352978631471,278.2298812597397
410,525.4393717290402,284.25938102728367
420,500.3469029941072,289.4043220264937
430,491.3349063018025,294.10038212591945
440,439.53990008568906,297.4058257159143
450,470.3596071689975,301.2492430815384
460,497.754834177843,305.52110375754495
470,477.34852968106026,309.17700643676875
480,460.7568821871388,312.3349205149014
490,465.0119825823638,315.4507789244414
500,503.9167114263222,319.220097574479
