episode,interval,reward
10,-1084.5587675295187,-1084.5587675295187
20,-678.6876750966591,-881.6232213130891
30,-245.5002818660515,-669.5822414974099
40,-26.846611516354933,-508.89833400214627
50,40.619647945555,-398.9947376126061
60,102.0472053443505,-315.48774711978
70,195.39510706701134,-242.50448223595274
80,259.32897856782984,-179.7752996354799
90,298.8074945016177,-126.59943362024686
100,307.5901946701135,-83.18047079121081
110,367.25104714713376,-42.232150978634024
120,315.6017282696187,-12.41266104127963
130,338.4584634810474,14.577425460437837
140,374.83701961880735,40.31025361460709
150,285.14928422089486,56.632855655026276
160,292.6062769533117,71.38119448616912
170,402.81689089806895,90.87741192216325
180,403.3176793771803,108.23520455855306
190,431.93147994899937,125.27185063173448
200,412.5610282254512,139.63630951142034
210,445.856281185489,154.21821292447123
220,462.50782221159614,168.23137698297694
230,500.0571751580601,182.6585855992849
240,455.75144968502553,194.03745493619078
250,449.32642111249777,204.24901358324303
260,467.93816512477935,214.39090402714828
270,448.5028720818247,223.06171765880293
280,486.20302270316904,232.45962141038743
290,470.61045551361633,240.6717191380849
300,433.1400848033817,247.08733132692805
310,451.84830557817486,253.69252404471015
320,486.1977881458479,260.9583135478707
330,504.64688352366693,268.3428156683494
340,511.4046229162106,275.49169235210996
350,482.9095944189632,281.4179181254485
360,477.2252877482359,286.8570117260817
370,476.217412535255,291.9748603965999
380,530.5063731633269,298.2520054694086
390,506.8689011526268,303.6011566407731
400,491.20932812605406,308.291360927905
410,512.3261903202468,313.2678201813767
420,491.2922874395643,317.50649797323837
430,484.208087013462,321.3832791137086
440,510.5679593971662,325.68293093833256
450,494.61331634309335,329.4369395028827
460,526.759072677052,333.7265510936255
470,506.82318905298035,337.40945828425
480,526.3343346210188,341.3453932079327
490,526.5375347504274,345.12482466798366
500,511.1503835169251,348.4453358449626
