episode,interval,reward
10,-1319.9152677361062,-1319.9152677361062
20,-953.0063903569098,-1136.460829046508
30,-369.1304706922346,-880.6840429284168
40,-78.89859358776053,-680.2376805932529
50,19.423319219715747,-540.305480630659
60,64.5869938283929,-439.49006822081697
70,85.83747185754115,-364.4432767810514
80,94.89177012021462,-307.0263959183931
90,106.78052584394126,-261.04784905591157
100,126.9789504698568,-222.24516910333475
110,128.339189806354,-190.3738637479085
120,132.87219079744816,-163.43669253579543
130,152.11884790956555,-139.16318942461382
140,168.7171899917896,-117.17173375201357
150,171.61144498018385,-97.91952183653375
160,182.4493373863586,-80.39646813510298
170,184.47012266302542,-64.81608044109541
180,266.1888052906751,-46.426920122663695
190,260.9228824419514,-30.250614724526066
200,234.39849855669453,-17.018159060465038
210,254.6766293920532,-4.080311991297505
220,219.64280253665538,6.088920487245808
230,242.05218527994674,16.348192869537154
240,255.79549574376614,26.32516382263003
250,301.72051158074675,37.34097773295469
260,292.84191914554344,47.16793701805427
270,352.9278582165886,58.4923785439259
280,335.36908014184826,68.38083217242313
290,282.40860445275996,75.76110018208995
300,356.7965795797824,85.12894949534635
310,436.24794852003004,96.45536881872324
320,390.3115569188093,105.63837469685093
330,385.7236942602699,114.12580862301515
340,373.352439992995,121.75012131036749
350,443.8485524221902,130.95293362784818
360,563.6181761217144,142.97141258601113
370,598.8317024120449,155.29196095968769
380,461.4989600115538,163.35003988210522
390,487.28156683989056,171.65597647076635
400,464.81223885710335,178.98488303042475
410,495.25892862119144,186.69888414239472
420,501.94843098113324,194.20482573379326
430,534.0411185864467,202.10799533501776
440,576.2689240119513,210.61165280494808
450,559.4147803877315,218.36283341789883
460,714.1292346030912,229.14036387844652
470,602.717498864826,237.08881355900775
480,516.9121483757984,242.91846636769085
490,471.2192432325427,247.57766589554495
500,501.2461582858282,252.65103574335066
