episode,interval
10,-1319.9152677361
20,-953.0063903569
30,-369.1304706922
40,-78.8985935878
50,19.4233192197
60,64.5869938284
70,85.8374718575
80,94.8917701202
90,106.7805258439
100,126.9789504699
110,128.3391898064
120,132.8721907974
130,152.1188479096
140,168.7171899918
150,171.6114449802
160,182.4493373864
170,184.470122663
180,266.1888052907
190,260.922882442
200,234.3984985567
210,254.6766293921
220,219.6428025367
230,242.0521852799
240,255.7954957438
250,301.7205115807
260,292.8419191455
270,352.9278582166
280,335.3690801418
290,282.4086044528
300,356.7965795798
310,436.24794852
320,390.3115569188
330,385.7236942603
340,373.352439993
350,443.8485524222
360,563.6181761217
370,598.831702412
380,461.4989600116
390,487.2815668399
400,464.8122388571
410,495.2589286212
420,501.9484309811
430,534.0411185864
440,576.268924012
450,559.4147803877
460,714.1292346031
470,602.7174988648
480,516.9121483758
490,471.2192432325
500,501.2461582858
