episode,interval,reward
10,-444.98732915945857,-444.98732915945857
20,-450.19749765714715,-447.59241340830283
30,-476.1183939515189,-457.10107358937483
40,-449.4125430065866,-455.17894094367784
50,-429.2456256683878,-449.9922778886198
60,-457.96694107687455,-451.32138841999557
70,-448.30868605249,-450.89100236749465
80,-434.6712227195001,-448.86352991149533
90,-421.9797218392758,-445.8764401256931
100,-398.53502318403156,-441.14229843152697
110,-559.0134919215269,-451.85786147607246
120,-447.9976774335517,-451.53617947252917
130,-444.57100852021085,-451.00039709158153
140,-192.40805549641755,-432.5295155490698
150,-476.10065107081766,-435.43425791718636
160,-872.5860667055331,-462.75624596645804
170,-538.4060180671775,-467.20623256061793
180,-532.5882126220694,-470.83856478625415
190,-524.0051881885497,-473.6368081232171
200,-146.93494755173293,-457.301715094643
210,-137.4762522197463,-442.07193114821945
220,-468.68118838034087,-443.28144284058874
230,-151.97365149248225,-430.61588669501884
240,-170.47863352986093,-419.77683447980394
250,-1169.316200468259,-449.75840911934205
260,-805.0446517317448,-463.4232646044345
270,-802.6668489569066,-475.98784180267415
280,-454.1389003651966,-475.20752246562137
290,-113.87901145139782,-462.7479186375447
300,-340.2719919238715,-458.66538774708886
310,-475.29600709337785,-459.2018593389046
320,-760.6620466314523,-468.6224901917968
330,-257.00685962106434,-462.20989532601703
340,-196.74085499003598,-454.4019823749587
350,-197.62673315207698,-447.06554668287646
360,-448.31835528393697,-447.10034692179477
370,-134.23990237772517,-438.64465923141444
380,-142.689182639028,-430.85635721582537
390,-443.52022339247367,-431.1810717331752
400,-219.93908615197978,-425.9000220936453
410,-253.19185719114384,-421.6876278277307
420,-811.8552663246198,-430.97733350622804
430,-222.56813756744708,-426.13060801927975
440,-452.0321325519764,-426.71927903138646
450,-168.67860390455562,-420.9850418063457
460,-506.29078368702733,-422.8395144559256
470,-200.0180175224702,-418.09863154244783
480,-472.7706946255027,-419.2376328566781
490,-232.80307978559722,-415.43284605930916
500,-490.38016535888727,-416.93179244530074
510,-545.4578856306487,-419.45191191952324
520,-440.25237218554184,-419.85192077079284
530,-147.8713737431157,-414.72021233630846
540,-835.6518688520179,-422.5152430125253
550,-542.8851602390419,-424.70378696209826
560,-445.93474540586976,-425.08291122002277
570,-811.12896979359,-431.85564908973436
580,-99.71026334055298,-426.12900450785196
590,-183.6588368785606,-422.0193406497284
600,-502.46321432605134,-423.36007187766717
610,-137.9244046925574,-418.6807986451243
620,-857.1718349373366,-425.7532347143536
