episode,reward
10,-10.129089870392072
20,-2.8973636464510064
30,-6.79222510469005
40,-8.749523893480182
50,-12.056248397105389
60,-12.419068908162043
70,-12.454258642806932
80,-11.300793008157543
90,-8.717424906609256
100,-11.131521879653722
110,-9.25030915034538
120,-8.65322458358693
130,-8.892343644611213
140,-7.972281344456402
150,-7.048499854033997
160,-7.183152444533226
170,-6.670489823995771
180,-5.875564808177435
190,-6.058860849721223
200,-5.26355149438912
210,-4.419664044499733
220,-5.1907695220801005
230,-5.1834586921411425
240,-5.041754065779939
250,-4.034400661724801
260,-4.547601102275481
270,-4.828633143519855
280,-4.62467830801104
290,-4.972453617637903
300,-4.627410827134232
310,-4.914360534507793
320,-5.214005901523069
330,-4.75240209944019
340,-4.8320019300479
350,-4.738710395873736
360,-4.342694195214894
370,-4.2215019275436845
380,-4.3867271031168915
390,-4.200074380702768
400,-4.075594380879877
410,-4.029905988791806
420,-3.9050784706603414
430,-4.025133768945753
440,-3.6530524614028397
450,-3.3481906929302427
460,-3.387891417384795
470,-2.948923613100418
480,-2.951929243671681
490,-3.044002099485552
500,-3.402114817300111
510,-3.199520408619048
