episode,reward
10,-160.10952257535263
20,-148.39661831603794
30,-149.97936681462036
40,-149.87792090354085
50,-146.29747117911214
60,-147.90150818510784
70,-145.24632427385552
80,-146.05849098954678
90,-145.0448048178638
100,-144.15826455149744
110,-146.7732931566302
120,-145.41299256967054
130,-147.03258977983694
140,-148.61740036760412
150,-150.3003561872227
160,-150.99976640604612
170,-151.05839212865058
180,-152.4911595980635
190,-151.11942483571184
200,-151.3205105002058
210,-150.9385523730944
220,-149.9907241272407
230,-148.4848131579417
240,-148.45793325351707
250,-148.2359413086923
260,-149.1279887956141
270,-148.73900274776506
280,-149.88191080745455
290,-150.79756070382842
300,-151.48381010622427
310,-152.16975194659466
320,-150.9922910940949
330,-151.64968480181622
340,-152.5157620361117
350,-152.49148126109858
360,-152.2404359268038
370,-152.01329558444263
380,-152.02864209942183
