episode,reward
10,-2260.14590406791
20,-1664.9990182660763
30,-1373.4242338858305
40,-1148.685690305931
50,-831.803544115811
60,-588.4065968929109
70,-396.6022061730293
80,-265.43859101709984
90,-154.2267016854811
100,-72.01604307516544
110,-4.049471112717255
120,51.82422296176522
130,100.33458141244782
140,141.4317413094055
150,179.5179218404329
160,208.32912929833248
170,229.79205521713382
180,251.7282548938972
190,283.8361712913825
200,309.8630339774402
210,328.4297882207823
220,347.33373032783254
230,362.39571584773523
240,370.87018080917875
250,385.50080158578095
260,400.60688259353185
270,410.7195625083573
280,413.4026715814413
290,414.8053050989273
300,422.14217518796124
310,423.8722947903322
320,432.4277136827368
330,440.45345319535215
340,450.669330321719
350,451.9377463172881
360,452.61879721857105
370,451.9712241828855
380,436.71348555688235
390,423.8950843114578
400,428.4775746378182
410,431.3120972964768
420,430.3842729166143
430,429.96394535833196
440,430.85022589457424
450,436.5893395504587
460,443.2685059242852
470,448.96826855417214
480,455.8813115243023
490,462.65068322714677
500,468.5512181883866
510,474.25821494314937
520,481.18466776430637
530,485.92274690883613
540,492.6651599027178
550,496.40406366012843
560,499.96199266555675
570,502.56040241443145
580,505.12267831456586
590,510.41114143981395
600,516.60703144429
610,522.582057406113
620,526.6247924936259
630,531.7356845399894
640,535.6010003374446
650,540.1379634126301
660,544.365941376866
670,548.5748303286485
680,552.4172199221877
690,556.0872365339663
700,555.5238613300684
710,554.7078697932985
720,555.8227860658558
730,557.6750897154091
740,558.0850532246444
750,555.0244346014365
760,553.9459170496051
770,542.5451822202327
780,530.1954978928685
790,529.5205410627376
800,530.3073963130408
810,528.8908117720466
820,529.3131401322187
830,530.2500878784073
840,525.6182062809903
850,522.2481520061252
860,521.9402803503998
870,522.4395223408962
880,524.1172134276266
890,525.3707979656322
900,527.7501694833753
910,529.2814231579845
920,528.919848249452
930,529.9616967791114
940,530.4311581144087
950,529.5116892749401
960,528.785758073648
970,527.8757488237976
980,528.40108046674
990,524.5536248469986
1000,519.6208143916512
1010,505.78271135326
1020,496.6297390770679
1030,488.80012606525304
1040,486.28468718626954
1050,483.92197536147813
1060,480.8340802969402
1070,470.32461518064946
1080,449.5036027945701
1090,427.8584941653289
1100,407.7800941394786
1110,381.2656557338567
1120,358.8160092072396
1130,346.3033043751596
1140,336.97258467332455
1150,331.73210338112483
1160,328.13031802607304
1170,326.61607668543667
1180,327.43032787147484
1190,326.5983159938539
1200,328.7784479183441
1210,331.03605421538117
1220,331.72714807320864
1230,332.67701242372067
1240,334.2248100876989
1250,335.8203589335853
1260,337.0310307885726
1270,339.41068175563294
1280,342.5628032448415
1290,344.222990524992
1300,347.2806364216257
1310,350.67315283756085
1320,352.6761442343334
1330,352.26069843203345
1340,352.5105286133183
1350,353.222231754306
1360,355.46860287026885
1370,355.6848808604512
1380,352.4322823536272
1390,353.9739921816291
1400,356.28652189528526
1410,358.2605551775097
1420,359.91912629847883
1430,361.8160039612303
1440,364.32895937855994
1450,366.02097738721056
1460,367.21881355015125
1470,366.91378053062346
1480,367.67860782471945
1490,367.94765540678384
1500,368.8684424029121
1510,369.94324344531515
1520,371.7681218424793
1530,374.48049556702045
1540,376.84733595701647
1550,378.92447161858007
1560,381.69944960161655
1570,384.55393731443917
1580,387.21363921149424
1590,389.63503025563654
1600,392.068771304123
1610,392.4971121359985
1620,392.3769432247668
1630,392.8444973711458
1640,382.70915147672457
1650,363.84787177963346
1660,353.5218192751605
1670,347.89225386791514
1680,345.25586072114504
1690,344.9350181444228
1700,342.0688309591349
1710,339.0669968357438
1720,337.422255553181
1730,336.72823691854205
1740,334.77235435569395
1750,329.21909258884796
1760,326.03019166936673
1770,325.06275912764767
1780,322.9783878301939
1790,320.64383765009563
1800,315.98627392355394
1810,311.1919134885674
1820,304.4823657216617
1830,267.19882752126273
1840,239.2730132723129
1850,185.5895883762959
1860,136.98424446329156
1870,75.36089354828205
1880,-2.0232409818982218
1890,-14.238446905343931
1900,-49.29805893079355
1910,-112.53125172470868
1920,-172.9134045716802
1930,-205.67812808180355
1940,-240.92556108210002
1950,-262.26398606913705
1960,-284.7937723218356
1970,-302.2523580809363
1980,-323.1566323200661
1990,-334.9145010328588
2000,-355.6594850908542
2010,-373.5070071815978
2020,-403.81529771272574
2030,-415.68190472838774
2040,-425.0149571231003
2050,-427.7631554738455
2060,-483.3380356423178
2070,-526.2385507546231
2080,-631.2054277484705
2090,-686.4275766944787
2100,-740.4135874977258
2110,-808.4147063639014
2120,-909.4797546856262
2130,-1014.3439128093828
2140,-1100.972999641164
2150,-1240.3605302945168
2160,-1372.872975456784
2170,-1489.5253332231464
2180,-1603.2598288001025
2190,-1651.0886234980005
2200,-1724.4619862393424
2210,-1796.3804511000328
2220,-1850.1138802501375
2230,-1886.4780417906902
2240,-1944.2215615587775
2250,-2028.434887206974
2260,-2081.6804711132054
2270,-2154.788859981815
2280,-2193.488725333825
2290,-2220.3497166896063
2300,-2254.2719544016486
2310,-2294.6335207618818
2320,-2331.962016816124
2330,-2364.0353361527277
2340,-2390.1270365887835
2350,-2429.061027689718
2360,-2462.550031321311
2370,-2501.8136622087945
2380,-2525.283162206576
2390,-2567.8383011140527
2400,-2584.16632680497
2410,-2611.0396310795104
2420,-2642.9488141123115
2430,-2680.2790242472106
2440,-2708.5929895101676
2450,-2744.950947164786
2460,-2782.532664118121
2470,-2798.541168641498
2480,-2846.7561514517643
2490,-2874.206593929291
2500,-2908.7840612041514
2510,-2966.869110250896
2520,-3031.9130347454116
2530,-3099.7926168539784
2540,-3191.847170227698
2550,-3296.4022379870203
2560,-3368.791678351818
2570,-3455.6025974148292
2580,-3534.464608454703
2590,-3585.7168442371635
2600,-3639.270229470779
2610,-3737.9586580673067
2620,-3819.437141491571
2630,-3886.1101624029425
2640,-3990.218660742216
2650,-4058.3143651237074
2660,-4139.752108885757
2670,-4182.895557998993
2680,-4248.951806539056
2690,-4317.015793310405
2700,-4364.162449532308
2710,-4415.576592962221
2720,-4465.233853561111
2730,-4557.3799707346825
2740,-4582.579355289687
2750,-4587.390662322478
2760,-4605.11748345951
2770,-4633.21313243545
2780,-4670.387407141741
2790,-4677.008798986299
2800,-4775.55930108735
2810,-4864.594210042498
2820,-4933.941597792682
2830,-4980.169509666618
2840,-5008.363626166952
2850,-5054.132981691822
2860,-5062.672030965518
2870,-5067.971843701771
2880,-5062.134713890688
