episode,interval,reward
10,-451.9626379447156,-451.9626379447157
20,-443.51243438052745,-447.73753616262155
30,-400.2065646803108,-431.89387900185136
40,-491.1186835409828,-446.7000801366342
50,-487.92919301923723,-454.94590271315474
60,-474.30268050351407,-458.1720323448813
70,-505.7412701821116,-464.96763775019986
80,-466.7530915768104,-465.1908194785262
90,-397.7099387719653,-457.69294384446397
100,-175.90699835662656,-429.51434929568023
110,-237.00248773287768,-412.01327097178904
120,-344.2046759333163,-406.36255471858306
130,-153.95177073766217,-386.9463405662046
140,-243.2307041591449,-376.68093796570037
150,0.46304172933968657,-351.5380059860312
160,-6.002011637230746,-329.94200633923117
170,-58.74736264951957,-313.98938023983635
180,-5.298776124403615,-296.8399022334234
190,-142.66112169988477,-288.72522957376344
200,-200.06143562149748,-284.29203987615017
210,-107.12188276683897,-275.8553657280877
220,-2.927026982207615,-263.44953214872953
230,-0.2581836700981834,-252.00643004096298
240,-146.64694653851916,-247.6164515616945
250,-389.4553928026484,-253.29000921133266
260,-444.971167227346,-260.6623614427177
270,-285.09547938711984,-261.5672917369548
280,-505.5398134251779,-270.2805960829628
290,-264.0238868877747,-270.06484749002544
300,-347.5992698878393,-272.64932823661917
310,-349.6905220592027,-275.13452803734765
320,-149.12214558316256,-271.1966410856544
330,-209.6380828902674,-269.3312302312488
340,-98.7854813523733,-264.31517879363497
350,-2.5506796941485548,-256.8361931050782
360,-0.42375644774993326,-249.71362542015248
370,10.087559828470717,-242.69197176478428
380,-153.1917043253671,-240.33670156901016
390,-149.561549271391,-238.00913356137892
400,-199.30628210441836,-237.04156227495497
410,-449.80808077180444,-242.23098955536588
420,-156.18007246855387,-240.18215819615605
430,-112.66562362208943,-237.21665739210798
440,-46.072159106321465,-232.87246424924922
450,-2.7901472993477725,-227.75952387258477
460,-10.210083129984266,-223.03018820426732
470,-150.45987247102534,-221.4861389333473
480,-137.84506662117906,-219.74361659351047
490,-248.00401225102524,-220.32035936203113
500,-192.0982007497375,-219.75591618978524
510,-191.30805286984838,-219.19811494821786
520,-54.638184653087436,-216.03350090408074
530,7.93598185872934,-211.80766160666923
540,-106.4119348341846,-209.85588888866027
550,-500.4574839534568,-215.13955425347478
560,-500.6644721103177,-220.23821350091842
570,-396.388387194154,-223.32856742536114
580,-148.65806833450645,-222.04114502724298
