episode,reward
25,28.95096763710082
50,26.323448285954324
75,30.358512983240683
100,33.32277030005025
125,-1.305840195270656
150,-26.292344109161878
175,-44.30096054859372
200,-57.98053509628682
225,-68.80080129568515
250,-77.64336451748811
275,-85.06882618598273
300,-91.45081430685919
325,-97.0478917045503
350,-102.0447945497854
375,-106.57670425745798
400,-110.74499691613597
425,-114.62711030234563
450,-118.28325809425742
475,-121.76097970708126
500,-125.09821715634534
525,-128.3257148006059
550,-131.468616078866
575,-134.54755733600325
600,-137.57977421664924
625,-140.57969454251318
650,-143.55973462635117
675,-146.5299529073469
700,-149.49954688832514
725,-152.4762294095977
750,-155.46623240985474
775,-158.4755674365627
800,-161.50952669860467
825,-164.57222856087685
850,-167.66732777929835
875,-170.7984852324493
900,-173.96895412545376
925,-177.18163590630206
950,-180.43870996717507
975,-183.74193259571467
1000,-187.0934468382649
1025,-190.4955260924492
1050,-193.94868730394944
1075,-197.4543264509519
1100,-201.0138911635783
1125,-204.62870045899103
1150,-208.2999588512598
1175,-212.0287682922971
1200,-215.81613884746898
1225,-219.6629980803367
1250,-223.5701993272516
1275,-227.53852904035432
1300,-231.56871316519673
1325,-235.66142286618472
1350,-239.8172795989065
1375,-244.0368595902755
1400,-248.32069792993815
1425,-252.66929212928198
1450,-257.08310542671137
1475,-261.5625696339472
1500,-266.1080877803486
1525,-270.7200364421054
1550,-275.39876795431405
1575,-280.1446122428354
1600,-284.9578041395451
1625,-289.83722071763106
1650,-294.78261267225713
1675,-299.79426499163736
1700,-304.8724459044612
1725,-310.0174080534398
1750,-315.2293896859754
1775,-320.50861561633593
1800,-325.8552982051352
1825,-331.26963811826215
1850,-336.7518251974828
1875,-342.30203915559997
1900,-347.9204502709408
1925,-353.60721993657194
1950,-359.36250128855477
1975,-365.1864397536506
2000,-371.07917401561815
2025,-377.04083485470693
2050,-383.07154703450345
2075,-389.1714294529639
2100,-395.34059536076927
2125,-401.57915257862817
2150,-407.88720391588134
2175,-414.26484761986796
2200,-420.7121773195515
2225,-427.2292825112886
2250,-433.81624869008425
2275,-440.47315757112324
2300,-447.2000873996839
2325,-453.9971128981466
2350,-460.86430570985885
2375,-467.8017344439381
2400,-474.8094648825777
2425,-481.8875600591227
2450,-489.0360804123302
2475,-496.25508405766686
2500,-503.5446266517032
2525,-510.9047616906016
2550,-518.3355405786195
2575,-525.8370127118811
2600,-533.4092256306755
2625,-541.052224947975
2650,-548.7660545699041
2675,-556.5507568353904
2700,-564.4063725717681
2725,-572.3329411025196
2750,-580.3305003156358
2775,-588.3990866155522
2800,-596.5387351392435
2825,-604.7494798474138
2850,-613.0313534984565
2875,-621.3843877272644
2900,-629.808613041041
2925,-638.3040589013992
2950,-646.8707537065986
2975,-655.5087249285441
3000,-664.2179992251349
3025,-672.998602284744
3050,-681.8505590110368
3075,-690.7738934134446
3100,-699.7686288081177
3125,-708.8347877504408
3150,-717.9723920313144
3175,-727.181462810579
3200,-736.4620206941188
3225,-745.814085305849
3250,-755.2376759522671
3275,-764.7328113084272
3300,-774.2995094326101
3325,-783.9377878376954
3350,-793.647663527455
3375,-803.4291530606203
3400,-813.2822724326065
3425,-823.2070371383967
3450,-833.203462290186
3475,-843.2715625674822
3500,-853.4113523938652
3525,-863.6228452772737
3550,-873.9060549211065
3575,-884.2609942698497
3600,-894.6876761966417
3625,-905.186113046918
3650,-915.7563167442727
3675,-926.3982990705392
3700,-937.1120713406586
3725,-947.8976447009941
3750,-958.7550298663948
3775,-969.6842373446723
3800,-980.6852773711322
3825,-991.7581599573718
3850,-1002.9028947717172
3875,-1014.119491209363
3900,-1025.407958346351
3925,-1036.7683053384933
3950,-1048.200540881893
3975,-1059.7035007804377
4000,-1071.274416012711
4025,-1082.9131944002477
4050,-1094.6198687702383
4075,-1106.394471294078
4100,-1118.2370330347096
4125,-1130.147584560972
4150,-1142.1261557087826
4175,-1154.172775354554
4200,-1166.287471923313
4225,-1178.470273058959
4250,-1190.7212056759597
4275,-1203.0402964197044
4300,-1215.4275709149363
4325,-1227.8830543914873
4350,-1240.4067714325479
4375,-1252.9987461535743
4400,-1265.6590019450814
4425,-1278.387561834504
4450,-1291.1844482906595
4475,-1304.0496832563992
4500,-1316.98328808184
4525,-1329.9852838239954
4550,-1343.0556909966006
4575,-1356.194529634986
4600,-1369.401819448397
4625,-1382.6775796143584
4650,-1396.0218290357964
4675,-1409.4345860774765
4700,-1422.9158686160279
4725,-1436.4656943628765
4750,-1450.0840806597896
4775,-1463.7710443095987
4800,-1477.526601847729
4825,-1491.3507695364779
4850,-1505.2435631518201
4875,-1519.2049982556732
4900,-1533.2350902854337
4925,-1547.3338541605642
4950,-1561.501304240191
4975,-1575.737454993532
5000,-1590.0423203379735
5025,-1604.4159139868136
5050,-1618.8582495087053
