episode,reward
25,28.95096763710082
50,26.323448285954324
75,30.358512983240683
100,33.057230599218926
125,18.23765304583281
150,-10.413933341717227
175,-30.424977225974455
200,-47.371380703629974
225,-58.24743189699669
250,-67.44448305615585
275,-74.98059230253351
300,-81.26283049940912
325,-86.58074341610588
350,-91.14113195239315
375,-95.09565505727443
400,-98.55805341460491
425,-101.61530615509344
450,-104.33505977457651
475,-106.77072165189004
500,-108.96501327036621
525,-110.95252214342051
550,-112.7615448273125
575,-114.41545639950883
600,-115.93373780865579
625,-117.33275119470503
650,-118.62634450830468
675,-119.82630870933102
700,-120.94275127624958
725,-121.98439044055709
750,-122.95878225469382
775,-123.87250133981267
800,-124.73129991148095
825,-125.54023873411609
850,-126.303783327947
875,-127.0258888978444
900,-127.71007114709082
925,-128.35945855108162
950,-128.9768514133869
975,-129.56476795310616
1000,-130.12547459983924
1025,-130.66101668583912
1050,-131.17324474898749
1075,-131.66383720099765
1100,-132.1343198765384
1125,-132.58608298266952
1150,-133.02039041356826
1175,-133.4383962776897
1200,-133.84116524822514
1225,-134.22967686707318
1250,-134.60483872777795
1275,-134.96748293700654
1300,-135.3183742679123
1325,-135.6582039000774
1350,-135.9876178410013
1375,-136.3072238536768
1400,-136.61758629522285
1425,-136.9192299196602
1450,-137.21264329109738
1475,-137.49828185134973
1500,-137.77657068018004
1525,-138.04790698362982
1550,-138.31266234222696
1575,-138.57118474224924
1600,-138.8238004229185
1625,-139.07081554710493
1650,-139.31251772105267
1675,-139.54917738242355
1700,-139.7810490600099
1725,-140.00837252795137
1750,-140.2313738588716
1775,-140.45026638785086
1800,-140.6652515994938
1825,-140.87651993741827
1850,-141.0842515509439
1875,-141.28861698188774
1900,-141.48977779618167
1925,-141.6878871661802
1950,-141.88309040967331
1975,-142.07552548723703
2000,-142.26532345971987
2025,-142.4526089173161
2050,-142.63750037167554
2075,-142.82011062427833
2100,-143.00054710385677
2125,-143.1789121841642
2150,-143.35530347738404
2175,-143.52981410867386
2200,-143.7025329683196
2225,-143.87354495309165
2250,-144.04293118590863
2275,-144.21076922366296
2300,-144.37713325242638
2325,-144.54209426593368
2350,-144.7057202374675
2375,-144.8680762787294
2400,-145.0292247883341
2425,-145.18922559072502
2450,-145.34813498294875
2475,-145.5059950338385
2500,-145.66284774487934
2525,-145.81874351350663
2550,-145.97373136312004
2575,-146.12785841211735
2600,-146.28116996681052
2625,-146.43370960723914
2650,-146.58551926751835
2675,-146.73663931778714
2700,-146.88710863072035
2725,-147.03696465256004
2750,-147.18624346875563
2775,-147.33497986309095
2800,-147.4832073774977
2825,-147.6309583659708
2850,-147.77826404932657
2875,-147.925154560595
2900,-148.07165899478434
2925,-148.2178054514476
2950,-148.3636210782369
2975,-148.5091321098374
3000,-148.6543639059879
3025,-148.79934098933006
3050,-148.9440870798526
3075,-149.08862512087043
3100,-149.2329773196296
3125,-149.37716517297304
3150,-149.52120949375262
3175,-149.66513043952241
3200,-149.80894753795062
3225,-149.95267971175048
3250,-150.09634530136123
3275,-150.2399620862259
3300,-150.38354730954518
3325,-150.5271176928801
3350,-150.67068945988572
3375,-150.81427835376377
3400,-150.95789965439982
3425,-151.10156819495987
3450,-151.24529837942325
3475,-151.38910419754055
3500,-151.532999238606
3525,-151.67699670721387
3550,-151.8211094347217
3575,-151.9653498948351
3600,-152.10973021129095
3625,-152.2542621783767
3650,-152.39895726617095
3675,-152.5438266322844
3700,-152.68888113164317
3725,-152.8341313279899
3750,-152.97958750479793
3775,-153.12525967063604
3800,-153.27115757288558
3825,-153.41729070325292
3850,-153.56366830662787
3875,-153.71029939018393
3900,-153.85719272971343
3925,-154.00435687717868
3950,-154.15180016818752
3975,-154.2995307301764
4000,-154.44755648444547
4025,-154.59588515638092
4050,-154.74452428135447
4075,-154.89348120990854
4100,-155.04276311246088
4125,-155.19237698716137
4150,-155.34232966195003
4175,-155.4926278016231
4200,-155.6432779124614
4225,-155.79428634632785
4250,-155.945659307509
4275,-156.09740285256862
4300,-156.24952289852297
4325,-156.40202522563402
4350,-156.55491548027013
4375,-156.70819918107492
4400,-156.86188172088896
4425,-157.01596836917224
4450,-157.17046427986284
4475,-157.32537449023548
4500,-157.48070392514848
4525,-157.6364574004128
4550,-157.792639628041
4575,-157.94925521465353
4600,-158.10630866828203
4625,-158.26380439783728
4650,-158.42174671926094
4675,-158.58013985561374
4700,-158.7389879398508
4725,-158.89829501801182
4750,-159.05806504965204
4775,-159.21830191255253
4800,-159.37900940281304
4825,-159.54019123820365
4850,-159.70185106116654
4875,-159.86399243854692
4900,-160.02661886211038
4925,-160.18973375693528
4950,-160.35334047881022
4975,-160.51744231779605
5000,-160.6820424873281
5025,-160.84714414372513
5050,-161.01275038226797
5075,-161.1788642346629
5100,-161.3454886743866
