episode,reward
10,50.0950680438
20,38.293756684
30,35.2703489103
40,38.1298019706
50,39.3293561063
60,38.970382527
70,41.5077725108
80,44.1614745747
90,46.6548703376
100,49.8456876683
110,51.4817239556
120,52.8509945213
130,52.1366623723
140,52.7992752457
150,52.7923101425
160,52.7755079579
170,53.3323362922
180,53.2044400382
190,53.8569751591
200,54.2597125924
210,55.7551780555
220,56.3740749025
230,57.9132560296
240,58.4015318079
250,58.5198946935
260,59.0459086007
270,60.4651519614
280,60.9445220149
290,61.260088172
300,61.5860241852
310,62.9318733725
320,63.8016539519
330,64.7804754416
340,64.6677415477
350,65.2014107223
360,66.1934133777
370,67.5994361684
380,68.5597084555
390,69.0096833084
400,69.8945467302
410,69.0868121425
420,68.9975483703
430,68.5175059474
440,69.4438020085
450,69.5911559169
460,70.0833712871
470,74.3902895858
480,79.3705716552
490,87.6753335698
500,99.7138917203
510,109.3212060501
520,120.0007214954
530,128.5238678818
540,136.5392417775
550,142.1514878176
560,147.658624
570,153.3786081995
580,162.7371676829
590,172.6422246308
600,183.129124007
610,190.3739510515
620,196.5016336291
630,204.2255839468
640,214.1915053196
650,223.8808460066
660,231.2626569476
670,237.6719981119
680,244.7006086332
690,252.4323677622
700,260.57226095
710,266.4704167627
720,271.3201272421
730,276.7510755436
740,283.9497258383
750,290.2216301466
760,297.7748440979
770,305.097361754
780,312.8106547069
790,320.1471163781
800,327.9365553612
810,335.1672959431
820,341.9538779022
830,348.2633519869
840,354.4547102012
850,361.0443880867
860,366.8470216003
870,371.8433428332
880,377.1693201111
890,382.082075983
900,387.9506753294
910,394.2137056363
920,400.3371453361
930,405.2778843933
940,410.6429060025
950,416.3371801822
960,422.0149936589
970,427.7878673257
980,433.2399622407
990,438.3473691615
1000,443.5477261078
1010,448.679874674
1020,453.5734912958
1030,457.4743969537
1040,462.0176268768
1050,466.8472275649
1060,470.8564658673
1070,475.6111088059
1080,479.953266117
1090,484.561681799
1100,489.0468205881
1110,493.4720795809
1120,497.8334875076
1130,502.0051291808
1140,506.0159003933
1150,509.3277802025
1160,512.6547453172
1170,516.3926817911
1180,518.3824301231
1190,521.4021003955
1200,525.0604126444
1210,528.5828279811
1220,532.1572077233
1230,535.5358547863
1240,538.7815218539
1250,541.8734481439
1260,545.0383641655
1270,548.1614226047
1280,551.357736063
1290,554.55075334
1300,557.3881565273
1310,560.4309421631
1320,563.5335835214
1330,566.5818257153
1340,569.489302337
1350,572.4868055781
1360,575.5099619353
1370,578.5223835908
1380,581.5216380796
1390,584.4789970504
1400,587.357987387
1410,590.1456223026
1420,592.7436662159
1430,595.3283712458
1440,597.9975232846
1450,600.69247289
1460,603.3720885068
1470,606.0033357617
1480,608.6048991839
1490,611.1672831284
1500,613.6512171076
1510,616.0981512112
1520,618.5074071999
1530,620.8205109981
1540,623.0181205205
1550,625.3500604271
1560,627.0233874902
1570,626.3932851777
1580,624.3331902112
1590,623.2549475299
1600,624.6112427484
1610,626.7462003579
1620,628.9498373725
1630,631.1459597821
1640,633.3199320552
1650,635.2999489296
1660,637.2372416787
1670,638.8246863994
1680,640.3859442886
1690,642.1523085201
1700,643.9918803636
1710,645.8525014252
1720,647.7234834954
1730,649.587558722
1740,651.4218492186
1750,653.1461856451
1760,654.7215612353
1770,656.4468534426
1780,658.2269670315
1790,659.9952335508
1800,661.7806149305
1810,663.5742014454
1820,665.2881252846
1830,666.9067304698
1840,668.5095618472
1850,669.9865861135
1860,671.4737502475
1870,673.1022742018
1880,674.7575439623
1890,676.4463276039
1900,678.0916272783
1910,679.7338585366
1920,681.3641934987
1930,682.9719087349
1940,684.5829922776
1950,686.1567153803
1960,687.6758663383
1970,689.1694586641
1980,690.5802503754
1990,692.0560584305
2000,693.4967684124
2010,694.9882057248
2020,696.4527558991
2030,697.8940117977
2040,699.0560990087
2050,700.1242502179
2060,701.4747617034
2070,702.8373379436
2080,704.2071700677
2090,705.5909863191
2100,706.9714383143
2110,708.228730625
2120,709.5282178664
2130,710.8357443112
2140,712.1428489773
2150,713.3588028967
2160,714.5877990856
2170,715.8130849243
2180,716.9581434971
2190,718.0009249413
2200,718.9208738428
2210,720.0060071418
2220,721.0794865501
2230,722.2060049962
2240,723.3160278982
2250,724.4156227795
2260,725.4915614484
2270,726.5689091774
2280,727.6874974657
2290,728.7254826779
2300,729.7579757209
2310,730.8200332466
2320,731.8520029808
2330,732.9002951782
2340,733.9617026564
2350,735.0115912144
2360,736.0296942162
2370,736.8929439827
2380,737.8197208523
2390,738.8278024202
2400,739.8337211871
2410,740.7134339646
2420,741.4848863665
2430,742.2854760773
2440,743.1503467172
2450,744.1288130566
2460,745.131776967
2470,746.1045348433
2480,747.0443736169
2490,747.9796296281
2500,748.8382263054
2510,749.6462616029
2520,750.4778274974
2530,751.339082483
2540,752.2330973939
2550,753.0804623657
2560,753.9622178304
2570,754.8938898499
2580,755.8145859022
2590,756.735585919
2600,757.6404719036
2610,758.5527973732
2620,759.4429447816
2630,760.3253714987
2640,761.2013238648
2650,762.0867014293
2660,762.9571888552
2670,763.8161268673
2680,764.6388454067
2690,765.4849968145
2700,766.3262789286
2710,767.1599409983
2720,767.9930169226
2730,768.8134623264
2740,769.6296680681
2750,770.4189692845
2760,771.1994698675
2770,772.0034933894
2780,772.8100552244
2790,773.6108004946
2800,774.4044958606
2810,775.1578523008
2820,775.9236713261
2830,776.6667146726
2840,777.4082371819
2850,778.1653192618
2860,778.9200163266
2870,779.6710516319
2880,780.4096806927
