episode,reward
10,-1065.1684817655987
20,-1065.1684817655987
30,-1065.1684817655987
40,-1065.1684817655987
50,-1065.1684817655987
60,-1065.1684817655987
70,-1065.1684817655994
80,-1065.1684817656
90,-1065.1684817656005
100,-1065.168481765601
110,-1065.1684817655996
120,-1065.1684817655992
130,-1065.1684817655994
140,-1065.1684817656
150,-1065.1684817656003
160,-1065.1684817656012
170,-1065.1684817656012
180,-1065.1684817656012
190,-1065.1684817656012
200,-1065.1684817656012
210,-1065.1684817656012
220,-1065.1684817656012
230,-1065.1684817656012
240,-1065.1684817656012
250,-1065.1684817656014
260,-1065.1684817656014
270,-1065.1684817656017
280,-1065.168481765602
290,-1065.168481765602
300,-1065.168481765602
310,-1065.168481765602
320,-1065.168481765602
330,-1065.168481765602
340,-1065.168481765602
350,-1065.168481765602
360,-1065.168481765602
370,-1065.168481765602
380,-1065.168481765602
390,-1065.168481765602
400,-1065.168481765602
410,-1065.168481765602
420,-1065.168481765602
430,-1065.168481765602
440,-1065.168481765602
450,-1065.168481765602
460,-1065.168481765602
470,-1065.168481765602
480,-1065.168481765602
490,-1065.168481765602
500,-1065.1684817656014
510,-1065.1684817656003
520,-1065.1684817655992
530,-1065.1684817655982
540,-1065.168481765597
550,-1065.1684817655962
560,-1065.168481765595
570,-1065.1684817655946
580,-1065.168481765594
590,-1065.1684817655932
600,-1065.1684817655923
610,-1065.1684817655917
620,-1065.1684817655905
630,-1065.1684817655896
640,-1065.168481765589
650,-1065.1684817655882
660,-1065.1684817655876
670,-1065.168481765587
680,-1065.1684817655848
690,-1065.1684817655835
700,-1065.1684817655832
710,-1065.1684817655828
720,-1065.1684817655826
730,-1065.168481765582
740,-1065.1684817655819
750,-1065.1684817655819
760,-1065.1684817655816
770,-1065.1684817655814
780,-1065.1684817655814
790,-1065.1684817655812
800,-1065.1684817655812
810,-1065.1684817655812
820,-1065.1684817655812
830,-1065.1684817655812
840,-1065.1684817655812
850,-1065.1684817655812
860,-1065.1684817655812
870,-1065.1684817655812
880,-1065.1684817655812
890,-1065.1684817655812
900,-1065.1684817655812
910,-1065.1684817655812
920,-1065.1684817655812
930,-1065.1684817655812
940,-1065.1684817655812
950,-1065.1684817655812
960,-1065.1684817655812
970,-1065.1684817655812
980,-1065.1684817655812
990,-1065.1684817655812
1000,-1065.1684817655807
1010,-1065.1684817655805
1020,-1065.1684817655803
1030,-1065.1684817655798
1040,-1065.1684817655796
1050,-1065.1684817655791
1060,-1065.168481765579
1070,-1065.1684817655787
1080,-1065.1684817655787
1090,-1065.1684817655782
1100,-1065.1684817655778
1110,-1065.1684817655773
1120,-1065.1684817655769
1130,-1065.1684817655766
1140,-1065.1684817655766
1150,-1065.1684817655766
1160,-1065.168481765576
1170,-1065.1684817655755
1180,-1065.1684817655753
1190,-1065.168481765575
1200,-1065.168481765575
1210,-1065.168481765575
1220,-1065.1684817655748
1230,-1065.1684817655748
1240,-1065.1684817655748
1250,-1065.1684817655748
1260,-1065.1684817655746
1270,-1065.1684817655746
1280,-1065.1684817655746
1290,-1065.1684817655746
1300,-1065.1684817655746
1310,-1065.1684817655746
1320,-1065.1684817655746
1330,-1065.1684817655746
1340,-1065.1684817655746
1350,-1065.1684817655746
1360,-1065.1684817655746
1370,-1065.1684817655746
1380,-1065.1684817655746
1390,-1065.1684817655746
1400,-1065.1684817655746
1410,-1065.1684817655746
1420,-1065.1684817655746
1430,-1065.1684817655746
1440,-1065.1684817655746
1450,-1065.1684817655746
1460,-1065.1684817655746
1470,-1065.1684817655746
1480,-1065.1684817655746
1490,-1065.1684817655746
1500,-1065.1684817655746
1510,-1065.1684817655746
1520,-1065.1684817655746
1530,-1065.1684817655746
1540,-1065.1684817655746
1550,-1065.1684817655746
1560,-1065.1684817655746
1570,-1065.1684817655746
1580,-1065.1684817655746
1590,-1065.1684817655746
1600,-1065.1684817655746
1610,-1065.1684817655746
1620,-1065.1684817655746
1630,-1065.1684817655746
1640,-1065.1684817655746
1650,-1065.1684817655746
1660,-1065.1684817655746
1670,-1065.1684817655746
1680,-1065.1684817655746
1690,-1065.1684817655746
1700,-1065.1684817655746
1710,-1065.1684817655746
1720,-1065.1684817655746
1730,-1065.1684817655746
1740,-1065.1684817655746
1750,-1065.1684817655746
1760,-1065.1684817655746
1770,-1065.1684817655746
1780,-1065.1684817655746
1790,-1065.1684817655746
1800,-1065.1684817655746
1810,-1065.1684817655746
1820,-1065.1684817655746
1830,-1065.1684817655746
1840,-1065.1684817655746
1850,-1065.1684817655746
1860,-1065.1684817655746
1870,-1065.1684817655746
1880,-1065.1684817655746
1890,-1065.1684817655746
1900,-1065.1684817655746
1910,-1065.1684817655746
1920,-1065.1684817655746
1930,-1065.1684817655746
1940,-1065.1684817655746
1950,-1065.1684817655746
1960,-1065.1684817655746
1970,-1065.1684817655748
1980,-1065.1684817655757
1990,-1065.1684817655769
2000,-1065.1684817655778
2010,-1065.168481765579
2020,-1065.1684817655798
2030,-1065.1684817655807
2040,-1065.1684817655819
2050,-1065.1684817655828
2060,-1065.1684817655837
2070,-1065.1684817655846
2080,-1065.1684817655857
2090,-1065.1684817655866
2100,-1065.1684817655878
2110,-1065.1684817655887
2120,-1065.1684817655896
2130,-1065.1684817655903
2140,-1065.1684817655907
2150,-1065.1684817655912
2160,-1065.168481765592
2170,-1065.168481765593
2180,-1065.168481765594
2190,-1065.1684817655948
2200,-1065.1684817655957
2210,-1065.1684817655969
2220,-1065.1684817655976
2230,-1065.1684817655985
2240,-1065.1684817655998
2250,-1065.1684817656005
2260,-1065.1684817656012
2270,-1065.1684817656017
2280,-1065.1684817656026
2290,-1065.168481765603
2300,-1065.168481765604
2310,-1065.1684817656046
2320,-1065.1684817656053
2330,-1065.1684817656062
2340,-1065.1684817656069
2350,-1065.1684817656078
2360,-1065.1684817656085
2370,-1065.1684817656094
2380,-1065.1684817656103
2390,-1065.1684817656112
