episode,interval,reward
10,-69.70958423969051,-69.70958423969051
20,-68.38280469728582,-69.04619446848818
30,-63.29526210186468,-67.12921701294702
40,-67.49385254352153,-67.22037589559065
50,-72.91626064177302,-68.35955284482714
60,-82.36912266839157,-70.69448114875458
70,-48.744705636034226,-67.55879893265165
80,-90.68083364747312,-70.44905327200432
90,-139.11743062525505,-78.07887297792107
100,-91.18751310595243,-79.38973699072424
110,-81.60779121284295,-79.59137828364416
120,-127.7403600784443,-83.60379343321087
130,-105.61002043010137,-85.29658012527936
140,-133.2033383381849,-88.71849142620117
150,-84.18160606494969,-88.41603240211775
160,-150.1026908775726,-92.27144855683366
170,-220.5150937376818,-99.81519239100122
180,-15.76337859465274,-95.14564718009295
190,-140.6646056793958,-97.54138183795095
200,-220.80166442245337,-103.70439596717605
210,-155.77665751971583,-106.18402746967797
220,-205.34336872896512,-110.69127025419105
230,-124.78854562705851,-111.30419527040269
240,-193.30176522417,-114.72076068514299
250,-109.59598079260994,-114.51576948944167
260,-143.54449088172234,-115.63225877376016
270,-135.28359630527885,-116.36008608974234
280,-111.7314823556683,-116.1947788135254
290,-204.14433743696569,-119.22752221433369
300,-120.69560473316055,-119.27645829829463
310,-208.69637483981515,-122.16097173511784
320,-101.112859292271,-121.50321822127884
330,-101.64301252279913,-120.9013938061734
340,-95.82273466808537,-120.16378618446494
350,-173.48692174984348,-121.68730434347574
360,-201.00839559020247,-123.89066798921814
370,-154.21087382938885,-124.71013301192545
380,-150.71850134245574,-125.39456375746572
390,-145.25975073730967,-125.90392752617969
400,-152.463808765638,-126.56792455716612
410,-73.1954695304266,-125.26615736139196
420,-137.75699393224224,-125.56355823212651
430,-173.85774844974372,-126.6866789348618
440,-104.9617447519955,-126.19293043070576
450,-114.52501097140347,-125.93364333161013
460,-151.1516921357727,-126.48186178387452
470,-99.36977358068974,-125.90500884338121
480,-113.03743002710723,-125.63693428470883
490,-27.420008876507733,-123.63250723556185
500,-69.03990602677192,-122.54065521138605
510,-174.71598312203764,-123.56370085669295
520,-96.80145365835378,-123.04904225672492
530,-58.94730326642057,-121.83957548332293
540,-168.75455986454057,-122.70837149038255
550,-160.68989817867995,-123.39894470289704
560,-139.94169271760583,-123.69435091744542
570,-14.860568101102325,-121.78498630663239
580,-90.32902880913666,-121.24264221184798
590,-136.48212298935616,-121.50093849621254
600,-11.613084548666055,-119.66947426375344
610,-126.42452209634715,-119.78021275281236
620,-86.27563444600625,-119.23981632850902
630,-169.03865119951317,-120.03027402487413
640,-106.30737871554831,-119.81585378566596
650,-130.96664919003553,-119.98740448419473
660,-140.23471773683625,-120.29418195771962
670,-111.0485969803807,-120.15618815208768
680,-150.5849312273778,-120.60366966790075
690,-159.40502068175275,-121.16600808839132
700,-122.94063765327613,-121.19135993931827
710,-136.8314359921456,-121.41164270062568
720,-174.24264445665227,-122.14540661390382
730,-140.28208929300865,-122.39385432183674
740,-128.99398859601706,-122.4830453255419
750,-170.92142052151354,-123.12889032815484
760,-109.3383112772245,-122.94743534064261
770,-63.19725303936771,-122.17145894711953
780,-81.77901712831256,-121.6536071289297
790,-181.60171571376458,-122.41244394645926
800,-99.87657602401339,-122.13074559742867
810,-117.56800733704794,-122.07441549544865
820,-168.52917204401365,-122.64093691677265
830,-152.0928368241961,-122.99577908433194
840,-120.53912657612776,-122.96653322113906
850,-155.29481835879778,-123.34686598746445
860,-121.48710513627307,-123.32524086128781
870,-146.1246163360192,-123.58730264835368
880,-114.96305438947972,-123.48929982723011
890,-121.16726519892181,-123.46320955050753
900,-115.1110559312464,-123.37040784362684
910,-119.19957394797161,-123.32457450411414
920,-160.6121104700704,-123.72987380809192
930,-169.30335726095686,-124.21991126457436
940,-14.769539835166546,-123.05554561107003
950,-65.07866646278423,-122.44526267266706
960,-134.09861850096493,-122.56665179587847
970,-165.60970635119708,-123.01039462634567
980,-134.05121365366594,-123.1230560449918
990,-110.21083411794632,-122.99262956088023
1000,-82.48980781373534,-122.58760134340878
1010,-134.38932347050667,-122.70445007734044
1020,-32.62167129876373,-121.82128557951124
1030,-38.53857061342403,-121.01271553129682
1040,-185.35855975914936,-121.63142557194926
1050,-192.90852365147217,-122.31025507746854
1060,-129.40773110194098,-122.3772123984541
1070,-193.10189611092795,-123.03819075090713
1080,-120.6590841889877,-123.0161619864449
1090,-149.9709704662896,-123.2634538073609
1100,-207.3356580585471,-124.02774657328077
1110,-183.83883331303917,-124.56658519255784
1120,-126.96964669432342,-124.58804109882357
1130,-126.58259430890548,-124.60569201218713
1140,-174.14125245522675,-125.04021447221379
1150,-41.607567404265,-124.31471319336207
1160,-157.98915718353817,-124.60501012431189
1170,3.2379414380959957,-123.51233532463318
1180,-181.9879567129244,-124.00789143809325
1190,-15.435820964088014,-123.09552109797555
1200,-96.46106516346221,-122.87356729852128
1210,-111.0976628062313,-122.77624577379162
1220,-116.27952434798172,-122.722993958826
1230,-92.64828346666025,-122.47848411742629
1240,-29.826751595735782,-121.73129272612233
1250,-82.08709764421815,-121.41413916546709
1260,-103.29971365455485,-121.27037388363448
1270,-138.0072143018605,-121.40216002865986
1280,-108.4018010003642,-121.30059472375133
1290,-112.90431355206265,-121.23550727280805
1300,-70.68343724957705,-120.84664519570629
1310,-94.79261814789946,-120.64775949305127
1320,-145.0673342802986,-120.83275627174257
1330,-36.722913347954446,-120.20035143772911
1340,3.2752299602453023,-119.27889187505765
1350,-250.9834195596233,-120.25448096901741
1360,-150.9618546609447,-120.48027048145804
1370,-85.53213748979502,-120.225174620205
1380,-26.662481089718757,-119.54718408737537
1390,-138.2379595566494,-119.68165009794566
1400,-98.61835603361627,-119.53119799748615
1410,-124.62535726776343,-119.56732678663703
1420,23.704830547205958,-118.55836793217334
1430,-134.43541006681266,-118.66939619884913
1440,-86.34642128972214,-118.44493109531352
1450,-22.87157652101118,-117.78580451204245
1460,-81.20448529218358,-117.53524753108451
1470,-28.34385305112496,-116.92850335094873
1480,-44.11337600653509,-116.43650924727025
1490,-86.2357107401441,-116.23381932440361
1500,-97.13015363728307,-116.10646155315614
1510,-91.96523318023314,-115.94658586856724
1520,-82.29598928498378,-115.72520036472788
1530,-89.53680856184828,-115.55403440523192
1540,-106.32985719323726,-115.4941371506086
1550,-41.81014755593269,-115.01875657257841
1560,-114.84885799668564,-115.01766747914323
1570,-133.67932552402402,-115.13653154312337
1580,-114.1464234595247,-115.13026503626514
1590,34.02017868623938,-114.19221193109216
1600,-125.04817718662082,-114.26006171393921
1610,87.4725194735092,-113.0070643152594
1620,5.68832055901733,-112.27437675430707
1630,-66.21057669092872,-111.99177675391824
1640,47.75541734718792,-111.01770849720418
1650,-102.11975588309933,-110.96378151166417
1660,-79.27244891364016,-110.77286986950739
1670,-108.23160306393842,-110.75765270300698
1680,-23.743468792190605,-110.23971113210928
1690,-126.64384637211045,-110.33677702110337
1700,-48.002662267160005,-109.9701057578449
1710,-89.78401933151063,-109.85205846880201
1720,-130.50722108159374,-109.97214662352756
1730,-48.32919286471467,-109.61582897174252
1740,-124.10417852603038,-109.69909534849127
1750,-85.73006540616772,-109.56212946310657
1760,-90.47675972041381,-109.4536898622958
1770,-15.437011684927594,-108.92252218897734
1780,-35.88326519671159,-108.51218928452643
1790,-80.96183679037367,-108.35827670076024
1800,-97.42081380173809,-108.2975130179879
1810,156.1401296096074,-106.8365315670067
1820,-9.792161931517935,-106.30332074483371
1830,-125.26177768368639,-106.40691887018262
1840,-115.04402741550321,-106.45385967749417
1850,-85.97687245987487,-106.34317326010161
1860,-70.08324519500691,-106.14822741028927
1870,162.64586133316473,-104.71082586620663
1880,-82.07494502848333,-104.59042224472935
1890,-50.85984618182654,-104.30613348249177
1900,-71.46165159718775,-104.13326778835858
1910,-114.91906564692901,-104.18973793421496
1920,-82.44483636469933,-104.0764832385404
1930,-101.3918998180671,-104.06257347988509
1940,-22.56295817890429,-103.64247237008622
1950,-115.88852533486154,-103.70527264170043
1960,-164.30178303642668,-104.01443851106127
1970,-141.64687066207517,-104.2054660854319
1980,-171.41617854304758,-104.54491412814713
1990,-154.01226319691395,-104.79349377170878
2000,-66.36629372638127,-104.60135777148214
2010,-104.07727311981424,-104.59875038515545
2020,-155.20994849457708,-104.84930087084567
2030,28.317404206604387,-104.19330724977446
2040,-55.926873740776685,-103.95670708551467
2050,-108.29177287937812,-103.97785374792375
2060,-137.30356888746743,-104.13962906413512
2070,-61.564818893817474,-103.9339536526843
2080,-177.59613034512756,-104.28809873293643
2090,-172.97831277154563,-104.61676004412594
2100,-31.4134336244097,-104.26817277546061
2110,-159.59070381956667,-104.53036486571703
2120,-130.5902397490899,-104.65328880384614
2130,-32.16410318219101,-104.31296398872098
2140,-133.971733157313,-104.45155636801347
2150,-82.45158635005939,-104.3492309260695
2160,-138.3177455823623,-104.50649256799679
2170,-138.93221543463318,-104.66513645217485
2180,-7.841686944422565,-104.22099218837783
2190,-59.08513761008853,-104.0148923957829
2200,-124.09543638551384,-104.10616759573622
2210,-94.49829185911173,-104.06269304489179
2220,-106.74650166404619,-104.07478227290599
2230,-120.47014366286321,-104.148304072861
2240,-109.89349772855198,-104.17395225882389
2250,15.620782000483695,-103.6415312176714
2260,-120.79852738552731,-103.71744712991858
2270,-74.59539380316939,-103.58915614610032
2280,-122.2331567658517,-103.67092807864306
2290,-98.30809945803364,-103.64750961305089
2300,-145.4481581622287,-103.8292515632647
2310,-77.84252017666367,-103.71675489059544
2320,-136.10494222122296,-103.85635914633087
2330,-57.66799708872795,-103.65812583277894
2340,-135.04599558388264,-103.79226202829648
2350,-158.74268274408297,-104.02609360581046
2360,-123.1858387908713,-104.10727896676411
2370,-65.53845282910163,-103.94454130373599
2380,-157.24175029275378,-104.16847915663102
2390,-58.06723458977562,-103.97558691994962
2400,-152.37890423840605,-104.17726740877652
2410,-54.19614397067979,-103.96987685509146
2420,-112.29373086385893,-104.00427294603679
2430,-99.10910924588757,-103.9841282394518
2440,-149.7137894195765,-104.17154488363266
2450,-133.5970044620513,-104.29164880027929
2460,-122.99085391344727,-104.36766182919462
2470,-106.83967473545268,-104.37766997861266
2480,-159.7472522389592,-104.60093442321082
2490,-156.22165660165808,-104.80824656047368
2500,-39.814233383967405,-104.54827050776765
2510,-126.78216980745572,-104.63685177987796
2520,-123.37146834077828,-104.71119549638945
2530,-111.29009908817804,-104.73719906789849
2540,-133.88426467640042,-104.85195129470367
2550,-68.56727055410946,-104.70965842905431
2560,-24.04564464080035,-104.39456462519396
2570,-162.09221075126177,-104.61906908482842
2580,-149.95149369210964,-104.79477615694965
2590,-76.24610473845266,-104.68454962637631
2600,20.334134662451817,-104.20370853295773
2610,-111.16271213682289,-104.2303713820147
2620,-113.67175382471055,-104.26640719286466
2630,-157.78857315266447,-104.46991352731257
2640,-137.25274801586085,-104.59409093067829
2650,-145.00168410335343,-104.74657241434873
