episode,reward
10,-1904.138842494279
20,-2081.4714557277835
30,-1872.0520703733503
40,-1713.663496940852
50,-1565.7133123511767
60,-1499.5935979698947
70,-1393.3774768242647
80,-1246.3805234305196
90,-1105.7025646271015
100,-961.2922156706767
110,-826.0164456736559
120,-703.10847616397
130,-591.7219098091322
140,-492.76538983466503
150,-402.69330020456727
160,-324.53404098300416
170,-254.33118958929998
180,-190.4285409268284
190,-131.5394125320259
200,-76.61027781142349
210,-27.079694430539742
220,19.97098988119006
230,62.45790912876501
240,102.83499833951969
250,140.9984297804191
260,175.47020822518462
270,208.7055733345835
280,238.73107086210095
290,263.59498358299
300,290.37916788843074
310,315.77064167017727
320,337.95310401165347
330,357.2027633957279
340,378.44474355328305
350,398.80183264795056
360,420.34413456894464
370,436.88618392998745
380,451.5496650412278
390,468.2828813617072
400,483.3547307400316
410,501.8333526820251
420,518.8109269500869
430,534.583215395315
440,549.2023541303637
450,566.2496153063788
460,577.9514458442491
470,590.6023160593504
480,599.5204330225299
490,608.223586292742
500,618.0928055791285
510,628.420006700427
520,637.5681007731762
530,644.4238063967866
540,651.4150742877983
550,658.5969445247435
560,665.4741551662006
570,672.8940272957553
580,677.6284673771472
590,684.0763195420168
600,689.6600725635118
610,694.3146079835333
620,701.4106513136295
630,705.9699973173178
640,710.3175197093285
650,714.5574405155196
660,718.5499214017633
670,722.5051256762064
680,726.3153182834462
690,729.9745960243417
700,733.530634817152
710,736.9981419423444
