episode,interval,reward
10,-496.62988435523505,-496.62988435523505
20,-494.6431072230719,-495.63649578915357
30,-496.80238120785026,-496.02512426205254
40,-408.1747654712633,-474.06253456435525
50,-448.68471099349625,-468.9869698501833
60,-445.4469911153099,-465.06364006103774
70,-444.4443136885317,-462.11802200782256
80,-405.546588021799,-455.04659275956953
90,-434.10813791358794,-452.72009777668274
100,-409.1782592691719,-448.3659139259317
110,-409.0222476510007,-444.789216991847
120,-496.76953796320475,-449.1209104061269
130,-462.77083813209504,-450.17090484658587
140,-347.3510106430157,-442.8266266891881
150,-260.7673814634895,-430.68934367414164
160,-242.28673909673745,-418.91418088805375
170,-354.2674575146774,-415.1114324543257
180,-251.78503925512368,-406.03774394325893
190,-147.13827899377574,-392.4114563143388
200,-103.30595225920865,-377.9561811115823
210,-3.2229151429691436,-360.1117398749816
220,-48.02525634077937,-345.9259906234269
230,-6.222765880061169,-331.1562851998023
240,-53.02904436556274,-319.5676501650424
250,-153.88482914646414,-312.94033732429926
260,-4.221252686821349,-301.0665263767039
270,15.970360506205301,-289.3244194551146
280,-149.81649705431414,-284.34199365508584
290,-0.06695692270837199,-274.5394061815556
300,-101.03107457798409,-268.7557951281031
310,-58.69160217145001,-261.9795308391788
320,-53.42544649979084,-255.46221570357292
330,-58.02903657904417,-249.4793920937388
340,-95.61333907755315,-244.95391994620394
350,-51.15770568713072,-239.41688525308746
360,-100.19089103315676,-235.54949652475605
370,-155.9702487534563,-233.3987060444506
380,-55.49058761854411,-228.7169134542951
390,-142.7711044005099,-226.51317476060828
400,-194.56601974324616,-225.7144958851742
410,-245.18372618915697,-226.18935516088112
420,-53.22139295069557,-222.07107034635288
430,-48.07153226617719,-218.02456946076742
440,3.5068263933160013,-212.98976500953822
450,-50.42803229189972,-209.3772820602574
460,6.87494284120685,-204.67614673631252
470,-92.22089656595949,-202.283481839071
480,-10.104478826116768,-198.2797526096344
490,-59.57379219623374,-195.44901872364662
500,-45.935406386624905,-192.45874647690619
510,-7.453294035205692,-188.83118858589248
520,-144.53645521367042,-187.97936679027282
530,-108.02558728447181,-186.47080491280485
540,-109.57442124949307,-185.04679780792878
550,2.0284788060767296,-181.6454291422196
560,-104.34512659556495,-180.26506659674365
570,-53.60008274943641,-178.0428738976681
580,-58.42167338267443,-175.98043940603029
590,-89.88669761704665,-174.52122344350514
600,-42.40001132765134,-172.3192032415742
