episode,reward
10,-3830.09908768
20,-3748.86463038
30,-3826.63423445
40,-3826.15160481
50,-3801.61879234
60,-3830.48912558
70,-3843.25968936
80,-3820.0125155
90,-3829.93787496
100,-3791.60427889
110,-3792.04911841
120,-3823.16819947
130,-3821.39423758
140,-3841.64104937
150,-3851.35376446
160,-3837.74091647
170,-3858.32406896
180,-3850.29147197
190,-3859.66196229
200,-3866.49408292
210,-3864.26003026
220,-3880.01457225
230,-3875.47026563
240,-3865.01166123
250,-3862.72517076
260,-3862.11527272
270,-3874.0415701
280,-3885.80238132
290,-3890.11791654
300,-3895.37625301
310,-3901.04774134
320,-3904.18370117
330,-3898.52381999
