episode,reward
10,-141.3360905955024
20,-176.04600849044257
30,-178.84047789184154
40,-176.7673867385777
50,-160.72647359403302
60,-162.30555555727491
70,-167.72098962171208
80,-163.7860824628699
90,-164.61590167650593
100,-167.4281138740421
110,-166.70886190122346
120,-168.15075939052798
130,-165.19982856082825
140,-166.0391502747122
150,-168.42574027961547
160,-168.02890470253683
170,-166.29617593859993
180,-162.57503073936155
190,-163.29814179244917
200,-161.84386196077588
210,-159.4976497344716
220,-159.19284583584184
230,-160.27703653172776
240,-160.3915001949231
250,-159.46363132394902
260,-159.08131730596705
270,-159.71898286480965
280,-159.47272551619082
290,-159.09620939123528
300,-158.74441916778787
310,-158.58815897640204
320,-158.46474225631306
330,-159.04102130062174
340,-158.41618319526236
350,-158.60801611245103
360,-159.11855394571765
370,-158.89656150812334
380,-158.9787943768949
390,-159.25795767905686
400,-159.2304019944844
410,-159.38743992108198
420,-159.16430912742675
430,-158.95663453478235
440,-158.789011498237
450,-158.39622846714997
460,-157.80860843853532
470,-157.39970279486658
480,-156.90913769136102
490,-156.50069641069223
500,-156.46028082635286
510,-156.40588147979702
520,-156.2441626783012
530,-156.26105415255083
540,-156.05800064592685
550,-155.63613210145883
560,-155.48522615485814
570,-154.98856105577053
580,-154.8695076548729
590,-154.72955421386183
600,-154.65367441174556
610,-154.75417432498475
620,-154.77327790610607
630,-154.82916780686753
640,-154.78904347647398
650,-154.731888459826
660,-154.8600678930106
670,-154.72409149058282
680,-154.48929916216744
690,-154.52581782717215
700,-154.52992852855107
710,-154.48446428140744
720,-154.51437166620195
730,-154.85957561123897
740,-154.76241014785415
750,-154.65372020384495
760,-154.5422078836023
770,-154.52500504532273
780,-154.5765359191113
790,-154.59998960204658
800,-154.5734416819797
810,-154.5588805372473
820,-154.49396829901147
830,-154.29512630389738
840,-154.0805003786199
850,-153.9918630809503
860,-154.0326340462012
870,-154.15515747261458
880,-154.04696101059778
890,-154.16450639211604
900,-154.15069138447046
910,-154.11744524792823
920,-153.9146970542759
930,-154.2238700761094
940,-154.34236104122894
950,-154.51319163380614
960,-154.7723707327823
970,-154.7201928892954
980,-154.7250361601515
990,-154.67002313913227
1000,-154.80777422716596
1010,-155.04348532043625
1020,-155.17003067869024
1030,-155.12091357632704
1040,-155.07777563391016
1050,-155.22290901164774
1060,-155.1329328310204
1070,-155.48709233603984
1080,-155.67430391618603
1090,-155.81685963533343
1100,-155.88194384107712
1110,-155.9674924605535
1120,-156.06274068807957
1130,-156.16179499055656
1140,-156.20083539038055
1150,-156.20782517909822
1160,-156.3244870387185
1170,-156.4096122971815
1180,-156.59003442510874
1190,-156.66996712940778
1200,-156.64718233417065
1210,-156.70748290345037
1220,-156.7880145322723
1230,-156.6956410299929
1240,-156.57911993665937
1250,-156.5949354600453
1260,-156.74425560263575
1270,-156.76968976101924
1280,-156.763283075046
1290,-156.9026899488148
1300,-156.89911460127502
1310,-156.7977346932498
1320,-156.78548945005787
1330,-156.66931888175563
1340,-156.65145781545655
1350,-156.64579439525366
1360,-156.64947488894416
1370,-156.7154732300085
1380,-156.71290066607983
1390,-156.75845516389518
1400,-156.86375586552694
1410,-156.93476090022696
1420,-157.12950735792273
1430,-157.25890885259332
1440,-157.38814352957021
1450,-157.46184591720814
1460,-157.58624656136553
1470,-157.78702312495562
1480,-157.87340670064083
1490,-157.93433501755442
1500,-157.9385031933872
1510,-158.03781065824919
1520,-158.01939110779225
1530,-158.07687052884728
1540,-158.17154884824257
1550,-158.1675272250583
1560,-158.20249001311205
1570,-158.1750075927506
1580,-158.10404463112377
1590,-158.11275253909469
1600,-158.12480319383073
1610,-158.1655776710133
1620,-158.1428655315749
1630,-158.16515661488864
1640,-158.1884936987016
1650,-158.12676676339424
