episode,reward
10,-146.70861593026365
20,-71.93395546969228
30,-49.630509236371374
40,-37.03715636320457
50,-30.15485049972698
60,-25.888298409734304
70,-21.875140122308473
80,-14.559971342054007
90,-12.879868362878344
100,-9.385665369976662
110,-8.859375195313518
120,-6.005446051986837
130,-4.982000510615341
140,-5.200721635585286
150,-5.03209014445741
160,-5.015212438599347
170,-7.313837428876199
180,-7.459437987258974
190,-8.017258472472014
200,-8.54056142808738
210,-8.695254456076913
220,-8.679294974409434
230,-9.649833123611149
240,-9.25720068851665
250,-8.460976362000176
260,-10.717944023537887
270,-10.412889154843148
280,-10.002687523913096
290,-8.982325084142728
300,-8.952309207722594
310,-8.362364329721432
320,-8.371069464310262
330,-8.277213818420575
340,-8.046464981026665
350,-7.540319090038515
360,-6.6610894415537425
370,-6.6322350490418716
380,-7.681247007205009
390,-7.603504190819846
400,-6.3601612450549085
410,-6.828709877162471
420,-7.067036962563672
430,-7.7435171501676665
440,-7.782211506932849
450,-7.793908874811861
460,-7.687438780990152
470,-7.631693476490472
480,-7.436778685843405
490,-7.3254891952423815
500,-7.164597695946146
510,-7.821493610367759
520,-7.499761883298207
530,-7.31642088012531
540,-7.398359901173727
550,-6.359290411333143
560,-7.6603119201458725
570,-8.70691362732765
580,-8.425104808366818
590,-8.626602760731343
600,-8.621400281699831
610,-8.614621050596941
620,-8.31520425254813
630,-8.227398988737232
640,-8.32712835909343
650,-7.983067264891074
660,-7.5755153640744
670,-7.544361566396393
680,-7.735141637631786
690,-7.775652088240995
700,-7.516757266213832
710,-7.466104493278985
720,-7.448711684717655
730,-7.452021858258732
740,-7.293763424783986
750,-7.167364778411596
760,-6.60822617635784
770,-6.442553102217981
780,-5.930408607838919
790,-5.873878969230464
800,-6.104299547950943
810,-6.230589307003385
820,-6.1702652828240145
830,-6.189670289127565
840,-6.040890704046968
850,-5.283826807840107
860,-5.828987234303374
870,-5.79317508832274
880,-5.706372407182959
890,-5.880462009600545
900,-6.038568501007067
910,-6.0159438598423005
920,-6.021279605036376
930,-6.008657540400589
940,-6.027682896515272
950,-5.969499440448414
960,-5.823436302427274
970,-5.880039015931756
980,-5.893870664143867
990,-5.83513117722319
1000,-5.923464266721611
1010,-5.808034138068324
1020,-5.781342999759708
1030,-5.728900560371735
1040,-5.5464271103237
1050,-5.074770059120411
1060,-5.055845431620114
1070,-5.057204434169374
1080,-4.867110622024089
1090,-4.469029130755067
1100,-4.456120641043796
1110,-4.1576662179868915
1120,-3.9619208263968324
1130,-4.043059683348271
1140,-4.1340761747535115
1150,-4.07311477660541
1160,-4.113040770980704
1170,-4.12191636531453
1180,-3.751115478252974
1190,-3.7430102394043825
1200,-3.9839491256006143
1210,-3.9045377343711114
1220,-3.9301241106540816
1230,-3.9588803833577053
1240,-3.388967769842316
1250,-3.246667477312983
1260,-3.203731892366627
1270,-3.188721346008176
1280,-3.2973373149422884
1290,-3.3666373651747645
1300,-3.3253565224652646
1310,-3.0730036688281404
1320,-3.190420627654807
1330,-3.214867718743373
1340,-3.1969145454239527
1350,-3.1377189789634374
1360,-3.3017453104395313
1370,-3.365044784333993
1380,-3.3412548315439237
1390,-3.4003731951769622
1400,-3.357662188910236
1410,-3.3217372396795986
1420,-3.3247641345519585
1430,-3.2594042959927534
1440,-3.3303294798161382
1450,-3.3316290219869
1460,-3.3567643010839823
1470,-3.4138028261646376
1480,-3.3549926363410276
1490,-3.29688901010688
1500,-3.1887281011121185
1510,-3.0521533048998943
1520,-2.9906097378104564
1530,-2.9467910612858432
1540,-2.9104543722025693
1550,-2.8665797950808263
1560,-2.9741537763655
1570,-3.043080620540362
1580,-3.079517760564963
1590,-3.001286460913893
1600,-2.8751809844363665
1610,-2.891980902123152
1620,-2.7397735149117617
1630,-2.7519894468900348
1640,-2.7586899516109074
1650,-2.5174980820193773
1660,-2.3821853348121786
1670,-2.4495121744011894
1680,-2.1517464451385924
1690,-1.9705137547506908
1700,-2.0299509446119326
1710,-2.1722265627614457
1720,-2.563830412615607
1730,-2.623711177130096
1740,-3.0304448460026445
1750,-3.2256958723413165
1760,-3.0348139171065633
1770,-3.0632671187936857
1780,-2.9365201852221197
1790,-3.0241089279743814
1800,-3.0451773681655516
1810,-3.081708552604228
1820,-3.1704083407095496
1830,-3.0217768049598317
1840,-3.0574559493567195
1850,-3.095954765260169
1860,-3.0569464916687603
1870,-2.9353579118213573
1880,-2.964007665690266
1890,-2.8056024759654483
1900,-3.0830881818322062
1910,-3.1525977872977067
1920,-3.159616951456245
1930,-3.259422156386257
1940,-3.2858407666979956
1950,-3.279131448301341
1960,-3.2758660579716508
1970,-3.3909487917869945
1980,-3.466472137285172
1990,-3.474081840501783
2000,-3.4838134925893924
2010,-3.482197544209356
2020,-3.495616184098895
2030,-3.406215654481441
2040,-3.3612317369013343
2050,-3.3328300106480717
2060,-3.295846866877512
2070,-3.3352871414466008
2080,-3.2948980127033227
2090,-3.217615954470661
2100,-3.1701349035374102
2110,-3.1737514369016777
2120,-3.1657356869440054
2130,-3.050127962465626
2140,-2.986120129814661
2150,-2.9300606421809947
2160,-2.8243648701958066
2170,-2.8505130180963376
2180,-2.835758601155583
2190,-2.848789304372056
2200,-2.8176974709400344
2210,-2.7364455399590564
2220,-2.6125191250595328
2230,-2.723061374598819
2240,-2.6549254750489624
2250,-2.5709907064783093
2260,-2.621436067610953
2270,-2.5802167588238487
2280,-2.565393005427949
2290,-2.546130464380761
2300,-2.473428915955312
2310,-2.4289720879069066
2320,-2.425146058068793
2330,-2.4533083037340995
2340,-2.482622369030331
2350,-2.5064696117348313
2360,-2.4273127936973355
2370,-2.400727205080555
2380,-2.4089208042907306
2390,-2.3940625602769066
2400,-2.4216901343262474
2410,-2.44481447298199
2420,-2.3702221273972444
2430,-2.4694556671772667
2440,-2.503191809224655
