episode,interval,reward
10,-60.86722579198357,-60.86722579198357
20,-57.28140059413043,-59.074313193056994
30,-59.53143685698552,-59.22668774769982
40,-60.805741961997775,-59.621451301274305
50,-62.196627323942906,-60.13648650580802
60,-60.08352630992637,-60.12765980649442
70,-65.57801652736958,-60.90628219519086
80,-67.5686474555589,-61.739077852736884
90,-68.85465848764868,-62.52969792328263
100,-71.1822340081183,-63.3949515317662
110,-76.07977061434367,-64.54811690290961
120,-79.88759962340956,-65.82640712961793
130,-76.4541867870897,-66.64392864173115
140,-78.7697060873779,-67.51005560213449
150,-77.2362798737038,-68.1584705535724
160,-70.90458916670289,-68.33010296689305
170,-71.17249222869985,-68.49730233523466
180,-72.85990298299279,-68.7396690378879
190,-75.21546822514291,-69.08050057405919
200,-71.32989667586416,-69.19297037914943
210,-74.80332959058187,-69.4601303415986
220,-73.19785919356552,-69.63002710759709
230,-80.03690233655405,-70.08249994363868
240,-78.12636774134009,-70.41766110187625
250,-76.95478312398856,-70.67914598276073
260,-85.03490880875687,-71.23129070683751
270,-83.12804808778006,-71.67191135057614
280,-88.20489191829655,-72.26237494228045
290,-86.7726150699338,-72.76272805013055
300,-83.00284156267347,-73.10406516721531
310,-83.61284296114967,-73.44305799927771
320,-86.58746776880055,-73.85382080457529
330,-88.56479133892768,-74.29960779046478
340,-87.58985038894487,-74.69049727865533
350,-87.3756874528186,-75.05293128363142
360,-84.01744974879323,-75.30194568544147
370,-85.75008982837659,-75.5843279595748
380,-81.99295510241714,-75.75297604228116
390,-91.86631612536047,-76.16613860851395
400,-84.05334755561107,-76.36331883219138
410,-88.35813913125362,-76.65587542485143
420,-89.19354583955962,-76.95439138710641
430,-86.46199941058222,-77.17549855044307
440,-90.94620711995407,-77.48846919975016
450,-93.27760783517533,-77.83933894720404
460,-88.35748971373002,-78.06799439865026
470,-86.68928179321742,-78.25142604534318
480,-89.77430759069426,-78.49148607753799
490,-87.93085257271886,-78.6841262100927
500,-91.98886820067665,-78.95022104990437
510,-89.86470447223356,-79.16423052877359
520,-88.20977996181924,-79.33818340248601
530,-87.1123286324643,-79.48486538795729
540,-87.54530156458377,-79.6341327245615
550,-91.33585582811914,-79.84689132644438
560,-91.62959347151828,-80.05729672189214
570,-91.72653785364155,-80.26202025051933
580,-93.1397273202299,-80.48404968275572
590,-94.22025986671824,-80.71686680451778
600,-92.23274931869693,-80.90879817975411
610,-100.6894036860837,-81.23307040116936
620,-95.25136956175848,-81.4591720005337
630,-89.48341973332536,-81.58654101216533
640,-94.99095709815312,-81.79598501350884
650,-100.32571434258998,-82.08105777241776
660,-93.35304021883489,-82.25184538524226
670,-96.57168881323454,-82.4655743916302
680,-103.45431711398658,-82.77423237284134
690,-100.05366181098807,-83.02465888643763
700,-104.64887420792016,-83.33357624817307
710,-103.95532517919462,-83.62402341621564
720,-103.97799646049069,-83.90671748627503
730,-101.4173897222997,-84.14658970868635
740,-102.28735741558816,-84.39173521823905
750,-108.30598998775363,-84.71059194849923
760,-95.8670678043023,-84.85738768344397
770,-101.77877671045394,-85.07714598249603
780,-99.6510621206805,-85.26399106119071
790,-103.40970963321554,-85.4936837013429
800,-106.49842603161673,-85.75624298047131
810,-104.30530240210786,-85.98524371407177
820,-104.83237413228952,-86.2150867679525
830,-110.42610250902287,-86.50678575278467
840,-100.60884794276443,-86.6746674455225
850,-102.39898182904915,-86.85965937944636
860,-106.47719415625416,-87.08777024894412
870,-104.86319550461465,-87.29208548176791
880,-101.5114386925571,-87.45366904098144
890,-106.93081931877941,-87.67251342612524
900,-101.59477870124697,-87.82720526251546
910,-99.26436914991534,-87.95288838215723
920,-106.21725061258617,-88.15141405857493
930,-109.08508223598088,-88.3765072647836
940,-107.68610415037828,-88.58192850824737
950,-108.1925133707975,-88.78835571732682
960,-105.27237160447162,-88.96006421615128
970,-107.10234621955581,-89.14709805123795
980,-103.56827884827275,-89.29425295733013
990,-106.14023892248083,-89.46441443172557
1000,-105.17178074084795,-89.62148809481681
1010,-97.15708586802836,-89.69609797375948
1020,-107.19675219428366,-89.86767301513719
1030,-107.38287361199465,-90.0377235063688
1040,-106.82388689172004,-90.19912892353567
1050,-107.0087447697412,-90.35922050302332
1060,-101.91745352316295,-90.4682604371756
1070,-100.7975701511727,-90.56479604197929
1080,-110.10862663354003,-90.74575743634561
1090,-108.59415271037543,-90.90950418197892
1100,-111.87726083612172,-91.10012015156202
1110,-110.99749464851104,-91.27937577766066
1120,-106.64892710608083,-91.41660391452157
1130,-109.29892333429511,-91.57485452885587
1140,-109.62259881510406,-91.73316807522647
1150,-96.48867181394237,-91.7745202816501
1160,-111.74548689658866,-91.9466837869513
1170,-113.53398868555459,-92.13119066642655
1180,-108.98190887992658,-92.27399336315113
1190,-109.8068450240991,-92.4213282510583
1200,-111.51970244454955,-92.58048136933738
1210,-110.29221968294208,-92.7268593719292
1220,-108.45615911137364,-92.8557880583181
1230,-116.34959561763087,-93.04679462384097
1240,-113.0280485211586,-93.20793376817417
1250,-112.56562130774012,-93.36279526849067
1260,-113.89863828643497,-93.52577814958543
1270,-115.41313624123525,-93.69811955188189
1280,-115.93442152801643,-93.87184066107045
1290,-117.88333771280683,-94.05797629713041
1300,-117.68034438294725,-94.23968682086745
1310,-120.3834220954424,-94.43925731914662
1320,-109.60188764169853,-94.55412573068111
1330,-121.1027213250766,-94.75373923139084
1340,-113.59594109966083,-94.89435267816896
1350,-118.18719458089454,-95.06689224781879
1360,-117.19210057542982,-95.22957760316888
1370,-113.96511255198864,-95.3663333327223
1380,-118.89605208938993,-95.53683854110399
1390,-121.71418657894216,-95.72516478598055
1400,-115.92284319798225,-95.86943391749483
1410,-121.26494773558481,-96.04954394457344
1420,-118.29341124672047,-96.2061908974055
1430,-118.41170572646331,-96.3614742178884
1440,-118.7747054214346,-96.51712165680193
1450,-115.61856504194182,-96.64885574911325
1460,-129.48717144871424,-96.8737757196585
1470,-119.61198449508092,-97.02845741200831
1480,-123.36278134197008,-97.20639203315675
1490,-120.19244099876641,-97.36066081816084
1500,-110.86001654918864,-97.45065652303437
1510,-125.54892372481338,-97.63673776278127
1520,-124.88815734294683,-97.81602341791394
1530,-120.97996492005743,-97.9674217283855
1540,-125.58103965910898,-98.14673093572786
1550,-115.287197082338,-98.25731458828666
1560,-131.01412995099585,-98.46729417394509
1570,-114.70266785225988,-98.57070419737384
1580,-123.71863022809165,-98.72986828617583
1590,-129.62864689276861,-98.9242002270978
1600,-122.15221135210136,-99.06937529662908
1610,-125.05733831443686,-99.23079121599434
1620,-122.95185776044998,-99.37721755268849
1630,-130.67340794907255,-99.56921872076445
1640,-133.46525076710392,-99.77590184299821
1650,-123.25751860522993,-99.91821467186024
1660,-127.83826017436616,-100.08640771705603
1670,-130.90379595689302,-100.27094297597723
1680,-128.1967445848332,-100.43716798555374
1690,-121.64431012349681,-100.56265403370725
1700,-120.22272849092799,-100.67830153051443
1710,-136.39320311911598,-100.88716060413198
1720,-130.466015200719,-101.05913068899585
1730,-129.39950444458515,-101.22294787833451
1740,-127.22026302641734,-101.3723577355074
1750,-127.6768735657947,-101.52266925453762
1760,-130.09783137449978,-101.68502813021921
1770,-133.56583899981408,-101.86514570575363
1780,-124.15888783926218,-101.99039144807672
1790,-138.6592127081579,-102.19524519813305
1800,-124.51676923435753,-102.31925366500096
1810,-120.65987282969199,-102.42058305265118
1820,-123.73618444162932,-102.53770174160161
1830,-138.5926208707854,-102.73472315760809
1840,-131.75185810261047,-102.89242497796137
1850,-127.72021683041278,-103.02662925824488
1860,-126.06449269619357,-103.15048873909407
1870,-121.44705204039818,-103.24833132359304
1880,-134.37298949168357,-103.4138880159765
1890,-128.1717329441759,-103.54488190448548
1900,-123.24129380579018,-103.64854723028182
1910,-127.75431238371141,-103.77475542480238
1920,-125.53123860714504,-103.8880704413771
1930,-125.90273282054878,-104.00213604955934
1940,-121.3245223305017,-104.09142670049202
1950,-138.4357886922745,-104.2675516337832
1960,-129.40192229687676,-104.39578821879897
1970,-127.09477266146614,-104.51101149008154
1980,-134.26474036824484,-104.66128284805205
1990,-124.16089257773847,-104.75927083664347
2000,-135.61745072507006,-104.91356173608561
2010,-127.54049278349672,-105.02613353234139
2020,-127.62475594689438,-105.13800790073026
2030,-130.4419193283788,-105.26265771071868
2040,-140.00510347892325,-105.43296381742559
2050,-129.47637775525328,-105.55024876346378
2060,-136.51784869749775,-105.70057691848336
2070,-130.26675569764845,-105.81925411065323
2080,-130.53105856402615,-105.93806086283291
2090,-140.571805151565,-106.1037725579943
2100,-127.43400081048978,-106.20534507348238
2110,-138.29353380088554,-106.35742179730896
2120,-127.74326499495362,-106.45829841616576
2130,-135.74733447059745,-106.59580562768896
2140,-130.21219764223815,-106.70616259971959
2150,-140.83678102201696,-106.86490966214888
2160,-138.7602329156229,-107.01257319572977
2170,-133.66803149836176,-107.13540940910596
2180,-126.01067439001193,-107.22199319342207
2190,-136.54236869366116,-107.35587618657384
2200,-135.54155104027873,-107.48399289045432
2210,-136.18441156527183,-107.61385903830418
2220,-128.99020699923767,-107.71014889398408
2230,-136.60368023917565,-107.83971629911946
2240,-138.377208053007,-107.97604438730644
2250,-131.1815133423539,-108.07917980488443
2260,-144.2073242868193,-108.23903885126468
2270,-133.20221173102442,-108.3490087758451
2280,-130.8558266100891,-108.44772288915321
2290,-143.03891971684376,-108.59877615040949
2300,-132.52861057331913,-108.70281890876997
2310,-135.59680646374014,-108.81924309731963
2320,-134.76192557009023,-108.93106500452986
2330,-136.42128991760265,-109.04904880244005
2340,-142.06550130223985,-109.19014475329385
2350,-136.56670173652563,-109.30664074045657
2360,-131.4586933595177,-109.40050537019833
2370,-132.61924959089774,-109.49847475509577
2380,-131.19777529860974,-109.58964828679119
2390,-129.54684880013005,-109.67315121780936
2400,-141.3936801383714,-109.80532008831169
2410,-131.1093793234933,-109.89371867434977
2420,-140.86040790490853,-110.02168020009589
2430,-126.99363705691181,-110.0915236439511
2440,-134.74893791474454,-110.19257862047077
2450,-137.9346691630073,-110.30581164309336
2460,-136.60425153105422,-110.41271587028021
2470,-137.2593824791478,-110.52140682821081
2480,-127.95993410859114,-110.59172347047041
2490,-145.14687526476473,-110.73049918048768
2500,-127.8071885399091,-110.79880593792535
2510,-138.23861749206657,-110.90812789630836
2520,-143.7658853220002,-111.03851582260079
2530,-128.0536529158241,-111.1057693288981
2540,-135.7449015857771,-111.20277378660236
2550,-135.98588938693732,-111.2999624752311
2560,-137.1450059740374,-111.40091967639833
2570,-135.33658164532608,-111.49405454787275
2580,-130.1945205438392,-111.56653697421369
2590,-137.81531156626403,-111.6678835942602
2600,-143.4337767036636,-111.79006010621946
2610,-131.26130119745105,-111.8646625625077
2620,-143.0983058159809,-111.98387494133775
2630,-138.59225209783486,-112.08504747805449
2640,-131.0987556052145,-112.15706909974828
2650,-141.3388941957222,-112.26718919445007
2660,-128.63051942078675,-112.32870547349643
2670,-139.75783394564468,-112.43143629174418
2680,-140.29720100734795,-112.53541302575763
2690,-143.98405639883444,-112.65232248067612
2700,-141.58030483931458,-112.7594631560785
2710,-130.66658210820856,-112.82554108579114
2720,-135.11915526587367,-112.9075029026297
2730,-137.2980367722152,-112.99684551753661
2740,-146.25159114112324,-113.11821320229424
2750,-126.2283969192074,-113.16588659762847
2760,-141.93546862307127,-113.27012421366268
2770,-137.16728942175158,-113.3563955682045
2780,-141.92251451190018,-113.45915139174299
2790,-129.81298790452894,-113.51776729322249
2800,-137.91338281517662,-113.60489449151517
2810,-137.0831048162696,-113.68844684142533
2820,-139.73960371100955,-113.78082683032456
2830,-141.85465059952418,-113.88002762102846
2840,-133.74134043939392,-113.94996182109313
2850,-136.85474150739316,-114.03032946911524
2860,-141.59441858554015,-114.12670740308874
2870,-143.11448576152458,-114.22771011513905
2880,-109.89098333266857,-114.21265203603325
2890,-145.93151274540517,-114.32240587931828
2900,-135.1296685207059,-114.39415506084032
2910,-134.41418753551483,-114.46295242329622
2920,-146.9381592874375,-114.57416888515972
2930,-132.83102225107837,-114.63647896490686
2940,-127.66499729342078,-114.68079365309909
2950,-131.44550615028297,-114.73762318698786
2960,-139.4025250749021,-114.82095055823083
2970,-137.41283090183754,-114.89701749541467
2980,-137.31087256466742,-114.97223177417057
2990,-135.0754527075595,-115.0394666267906
3000,-146.3143032580606,-115.14371608222817
3010,-131.19814414675645,-115.19705305254223
3020,-136.09543858217782,-115.26625300462712
3030,-144.03948206286574,-115.36121415663447
3040,-132.29084729244278,-115.41690373931806
3050,-133.43044738166904,-115.47596453814546
3060,-132.9828406439829,-115.53317655156322
3070,-135.43150775938528,-115.5979919626636
3080,-145.10345942705098,-115.69378893495055
3090,-128.3647636099152,-115.7347953254844
3100,-135.9772421353723,-115.8000935410002
3110,-134.64151027866538,-115.86067687456183
3120,-139.8285757190647,-115.93749706316599
3130,-136.14193505029695,-116.00204798325267
3140,-135.8207658781217,-116.06516491922356
3150,-132.17211790983225,-116.11629810332074
3160,-134.3854127958394,-116.174111757411
3170,-134.81687178198595,-116.23292172594282
3180,-137.58108043792657,-116.30005430050879
3190,-145.58028440826405,-116.39184185570552
3200,-132.35399752596828,-116.44172359217514
3210,-128.2418145883561,-116.47848400026291
3220,-142.01191321450892,-116.55778036428231
3230,-129.50447918403043,-116.597863023167
3240,-135.40726717281538,-116.65591673967828
3250,-136.9413466369138,-116.71833344705436
3260,-141.1293322182622,-116.79321381138323
3270,-141.5181052255928,-116.86882510011166
3280,-129.3925460201264,-116.9070071760873
3290,-133.73936268916572,-116.95816935089911
3300,-134.7238395516747,-117.01200471514387
3310,-137.51221943214435,-117.07393889857893
3320,-131.02746015016993,-117.11596757704757
3330,-126.11956970682304,-117.14300542128115
3340,-130.07201561017612,-117.18171503262515
3350,-141.55974393887936,-117.25448526816622
3360,-130.81748332126068,-117.2948513338004
3370,-133.5353456750023,-117.34304271166748
3380,-140.9277538871507,-117.41281996366598
3390,-141.33861070433096,-117.48339751747325
3400,-127.46826712243406,-117.51276478101722
3410,-138.37554427191316,-117.57394595254476
3420,-133.24782167215199,-117.61977599850852
3430,-140.89303495975955,-117.68762806545092
3440,-141.06542764385264,-117.75558678515556
3450,-140.09654523220075,-117.82034318645135
3460,-129.54154069074195,-117.85421947981635
3470,-135.51862071772908,-117.90512553525703
3480,-134.37596689075033,-117.95245553915214
3490,-145.6795269342656,-118.03190273512666
3500,-138.33949391292848,-118.0899244242061
3510,-132.4692404858164,-118.13089113663236
3520,-139.67343094790357,-118.19209153382349
3530,-130.31740002308013,-118.2264408496571
3540,-137.2485042141782,-118.28017549192975
3550,-132.32221251868685,-118.31973052580793
3560,-140.51897339318435,-118.3820879495927
3570,-138.56138725705148,-118.43861259751273
3580,-137.49362395801012,-118.4918388862292
3590,-133.9640757093095,-118.53493703893976
3600,-136.42605092674003,-118.58463457751695
