episode,interval,reward
10,-273.47761465956285,-273.47761465956285
20,-112.83369800215125,-193.15565633085706
30,-76.13970501650869,-154.15033922607427
40,-55.489048187319725,-129.48501646638562
50,-43.06231384063496,-112.20047594123547
60,-35.33715633435961,-99.38992267342279
70,-30.83359437139084,-89.59616148741823
80,-28.451634437821202,-81.9530956062186
90,-26.803852141927052,-75.82540188796399
100,-25.292261840091832,-70.77208788317675
110,-24.177254459566903,-66.53619393557585
120,-23.464463526678596,-62.94688306816773
130,-22.802728959814328,-59.858871213679
140,-22.31483455282609,-57.177154309332366
150,-21.6008560612968,-54.80540109279667
160,-21.12947488172667,-52.700655704604785
170,-20.890361203847412,-50.829461910442596
180,-20.641230595448036,-49.15233794849846
190,-20.445149953251356,-47.64143331716966
200,-20.1906420749844,-46.26889375506039
210,-19.717527625130344,-45.004542986968495
220,-19.391711151784968,-43.84032335809651
230,-19.341039230074205,-42.77513709166076
240,-18.98059404065976,-41.78369779786906
250,-18.821357941286173,-40.86520420360575
260,-18.661937965045663,-40.011232425199594
270,-18.38446705823727,-39.210241115312094
280,-18.303608737208034,-38.46357567323695
290,-18.190053437750038,-37.764488699599475
300,-17.99392308129564,-37.10546984565601
310,-18.02724147613912,-36.49004312405869
320,-18.022513025189177,-35.912932808469
330,-18.057455410792258,-35.37185773581213
340,-17.86884413130624,-34.857063218032536
350,-17.806494072785398,-34.36990409959688
360,-17.744785574950733,-33.908095251690064
370,-17.595879007172368,-33.467224542378766
380,-17.549076535000683,-33.04832591060565
390,-17.446927685804642,-32.64829005868767
400,-17.517241649348442,-32.2700138484542
410,-17.449449544258893,-31.908536670303103
420,-17.404912157227848,-31.56321227713465
430,-17.365712375480037,-31.233037860817102
440,-17.2980009143409,-30.91633247566991
450,-17.241221516603773,-30.612441121023995
460,-17.24585122323919,-30.321863079767798
470,-17.259195753518686,-30.04393398771995
480,-17.110331093550833,-29.774483927424757
490,-17.056750970283364,-29.514938356870857
500,-17.111868721588632,-29.266876964165206
510,-17.058717434624572,-29.027501287115392
520,-16.894502887073653,-28.794174394806898
530,-16.802912132716376,-28.5679241634467
540,-16.735204981723673,-28.34879973415553
550,-16.70999213282615,-28.137185050494992
560,-16.70341884861593,-27.933010654032863
570,-16.70943638776719,-27.736105842343992
580,-16.694991181110957,-27.545741796460664
590,-16.619828474901375,-27.360556824908812
600,-16.705550685028037,-27.18297338924413
610,-16.67918799971583,-27.010780186137104
620,-16.68096563258107,-26.84417027398297
630,-16.683282379569803,-26.68288633915102
640,-16.72351304824742,-26.52727113148065
650,-16.882332816716126,-26.37888746509966
660,-16.8637525019114,-26.234718753536193
670,-16.783464132330153,-26.093655251727153
680,-16.72679243201055,-25.955907269084268
690,-16.828921503047088,-25.823632113054735
700,-16.724517172568728,-25.693644756762083
710,-16.727941774994143,-25.567367249976616
720,-16.52496062808363,-25.441778269116995
730,-16.52233640642702,-25.319594134011645
740,-16.60330371849265,-25.20180642569382
750,-16.57165721112094,-25.086737769499514
760,-16.48999013749531,-24.97362266907841
770,-16.539266884980297,-24.86408558097324
780,-16.49919309611933,-24.75684336962896
790,-16.316741680386095,-24.650006639385378
800,-16.204125207086324,-24.544433121481642
810,-16.149471290574976,-24.44079161739638
820,-16.059748662783022,-24.33858377648646
830,-16.03672712685667,-24.238561407213812
840,-15.995515081108934,-24.14042990333161
850,-16.05391392656234,-24.045294421251974
860,-15.997435284892958,-23.951714663852453
870,-16.069142217443584,-23.861110382859245
880,-16.04639957158897,-23.772306850912987
890,-15.882186439625489,-23.683653812583916
900,-15.76977255713668,-23.595721798634504
910,-15.538467878010016,-23.507180546759514
920,-15.555010721705028,-23.42074391822631
930,-15.768946490026803,-23.338466526525238
940,-15.685646814443015,-23.25705355086479
950,-15.542304256589095,-23.17584566355662
960,-15.303627757209231,-23.09384339369883
970,-15.45373732388892,-23.0150794135977
980,-15.383947659427623,-22.93721072222862
