episode,interval,reward
10,72.02268806614552,72.02268806614552
20,204.1138033637488,138.06824571494715
30,358.702608377683,211.61303326919247
40,589.8401636779687,306.1698158713865
50,860.7621861434776,417.08828992580476
60,1406.4342636071558,581.9792855393632
70,1770.6385268015795,751.7877485768228
80,1934.3232476488367,899.6046859608247
90,1997.9570371704563,1021.643836095228
100,2080.1751192370384,1127.4969644094092
110,2130.517157741137,1218.6806183486576
120,2164.4086012806365,1297.4912835929892
130,2187.4382141311225,1365.9487397882306
140,2179.949927813146,1424.0916817900102
150,2199.6469029810746,1475.7953632027484
160,2232.1475015497717,1523.0673718494374
170,2239.1423560181765,1565.1894297417164
180,2245.7732499556396,1602.9996419758238
190,2263.80752150279,1637.779004056191
200,2274.3740101011167,1669.6087543584372
210,2270.2009853272675,1698.2083844045721
220,2264.320807889124,1723.9407672902335
