episode,interval,reward
10,-131.1186797643479,-131.1186797643479
20,-119.6144985635037,-125.36658916392582
30,-107.45113783601523,-119.39477205462231
40,-94.60179225243719,-113.19652710407604
50,-78.91956319719176,-106.34113432269916
60,-66.47170202775872,-99.69622894020911
70,-58.153793802473956,-93.7615953491041
80,-53.2527219400288,-88.69798617296968
90,-49.87729269578241,-84.38457578661556
100,-47.60127726115991,-80.70624593406997
110,-45.80063245242815,-77.53300834482981
120,-44.86528476539562,-74.81069804654364
130,-44.15233181696792,-72.45236218273014
140,-43.690715629790475,-70.39795885752018
150,-43.496839209775096,-68.60455088100385
160,-43.126036449640125,-67.01214372904364
170,-42.913934613027806,-65.59460201633681
180,-42.51662645653148,-64.31249226301426
190,-42.329409196715496,-63.155487891103796
200,-42.0563444776132,-62.10053072042927
210,-41.921161115581796,-61.139608358293685
220,-41.76391566895886,-60.258895054233015
230,-41.653105306650616,-59.44994767390336
240,-41.4619644198217,-58.70044837164995
250,-41.190306236267766,-58.00004268623466
260,-41.05217693452599,-57.34820169578432
270,-40.89141938645199,-56.73869123988312
280,-40.87056489147568,-56.17197244172572
290,-40.7863350956347,-55.64143322289499
300,-40.80973738240024,-55.147043361545144
310,-40.7864912768368,-54.68379974590939
320,-40.53384551271709,-54.24161367612213
330,-40.42315963714476,-53.82287264463796
340,-40.361730845861516,-53.42695670937984
350,-40.429820193798676,-53.055609951791794
360,-40.38733100894267,-52.70371331449044
370,-40.27257640035711,-52.36773664113547
380,-40.27876197651306,-52.04960572890856
390,-40.23195817019719,-51.74658912483902
400,-40.21514848234919,-51.45830310877676
410,-40.17818304489286,-51.18317822916984
420,-40.1550779127865,-50.92060441211311
430,-40.130773694142576,-50.669678116346354
440,-40.147011278606534,-50.43052659730682
450,-40.142320980292446,-50.20189980581762
460,-40.12838307939629,-49.982910311764975
470,-40.11122686989579,-49.772874493852854
480,-40.14574504687487,-49.5723092970408
490,-40.117252545552155,-49.37934895517369
500,-40.02317896905036,-49.19222555545123
510,-40.025756770047344,-49.012490873384486
520,-39.99791839217667,-48.83913371028432
530,-39.98830176913501,-48.672136881206036
540,-40.02115929335521,-48.51193359254213
550,-40.03118744582786,-48.35773820805641
560,-40.03338229329184,-48.20908899529275
570,-39.963458754174916,-48.06442881562402
580,-39.95584722625084,-47.92462568477276
590,-39.94881508343495,-47.78944245424161
600,-39.937410924051456,-47.65857526207179
610,-39.96129392530432,-47.53239032212476
620,-39.88632717468395,-47.409066722972476
630,-39.86866342966766,-47.28937778180889
640,-39.88611560930035,-47.173701810363454
650,-39.855775443219365,-47.061118327792016
660,-39.80288402302729,-46.95114508075011
670,-39.80041387119221,-46.84441774926417
680,-39.79438108272848,-46.74074073946217
690,-39.8141351356238,-46.640355151000755
700,-39.78904879137237,-46.542479345863214
710,-39.871273923661235,-46.4485187061139
720,-39.910934268896135,-46.35771892226366
730,-39.8985261039682,-46.269236828862354
740,-39.75754718950246,-46.18124102292506
750,-39.71460877794301,-46.095019259658635
760,-39.71769084938658,-46.01110704373401
770,-39.79836667577039,-45.93042210389032
780,-39.841634741134826,-45.85236072744475
790,-39.77353358989261,-45.77541354848837
800,-39.707221886355526,-45.6995611527117
810,-39.724336260149,-45.625792944161546
820,-39.7436872952729,-45.55405994844338
830,-39.682604409754866,-45.483319520266406
840,-39.663113750031634,-45.41403135633503
850,-39.65826068732676,-45.34631640728788
860,-39.685029844580995,-45.28048749376803
870,-39.7051106669043,-45.216402702654655
880,-39.68804345192652,-45.15358043844183
890,-39.65641271613988,-45.09181450897776
900,-39.69319832583035,-45.031829884720565
910,-39.68747030641245,-44.97310065858531
920,-39.66590201681076,-44.91541371682689
930,-39.671346162539926,-44.85902589366252
940,-39.67126450241852,-44.803836942691845
950,-39.66073987059428,-44.74969907877502
960,-39.68720831079153,-44.69696479994188
970,-39.6562373929205,-44.64499853801384
980,-39.61186300435683,-44.59364001216021
990,-39.60555297656368,-44.54325529462893
1000,-39.610944938025895,-44.4939321910629
1010,-39.64872107668416,-44.44595980379182
1020,-39.673980815511165,-44.3991756960636
1030,-39.6448225773999,-44.35301692792123
1040,-39.585936607499676,-44.307179617147945
1050,-39.53999718221543,-44.26177787967239
1060,-39.60223298452375,-44.217819908963435
1070,-39.54048962601839,-44.1741065418331
1080,-39.48843588827613,-44.1307207024483
1090,-39.52148193461328,-44.08843410824798
1100,-39.53433115098662,-44.047033172272876
1110,-39.53494266953658,-44.00638370828427
1120,-39.53220767143271,-43.966435707955235
1130,-39.499583127318644,-43.92690603910003
1140,-39.50671765311578,-43.88813245676684
1150,-39.52572209377162,-43.85019845361036
1160,-39.543987785796496,-43.813075947853335
1170,-39.55891129766669,-43.7767155662278
1180,-39.51552539288056,-43.74060378509775
1190,-39.53936373026547,-43.705299246821845
1200,-39.59899197261732,-43.671080019536795
1210,-39.58273355805797,-43.637292032251864
1220,-39.607381858689884,-43.604259981648894
1230,-39.606854789916994,-43.571760752447815
1240,-39.62229236140904,-43.53991020090717
1250,-39.62967514542098,-43.50862832046328
1260,-39.63665924282289,-43.47789840714867
1270,-39.55506300445437,-43.447009939410925
1280,-39.51319852815651,-43.41627703776048
1290,-39.4963434905466,-43.38588995599914
1300,-39.4727194635427,-43.3557886445187
1310,-39.4782726790365,-43.32618928600356
1320,-39.504214398439494,-43.29723493079473
1330,-39.50743770226522,-43.26874021479073
1340,-39.52248298921852,-43.24078307131632
1350,-39.510988253507705,-43.21315496155478
1360,-39.53158894025209,-43.18608462316285
1370,-39.529412607006435,-43.159393586548575
1380,-39.59010519394418,-43.13352917790652
1390,-39.571318984324094,-43.1079017664419
1400,-39.550120730983814,-43.08248904476006
1410,-39.52916259366272,-43.05728814794376
1420,-39.527540238520544,-43.03243076829993
1430,-39.614628132820954,-43.008530050569334
1440,-39.58012095729923,-42.98472165408829
1450,-39.58985248581492,-42.9613087632726
1460,-39.622543160767165,-42.93844050572121
1470,-39.585122776448245,-42.915628820488045
1480,-39.586616871096254,-42.89313549650566
1490,-39.57741035208992,-42.87088230761697
1500,-39.600492252373066,-42.84907970724866
1510,-39.6071375182422,-42.827609891427436
1520,-39.69759326549298,-42.80701767678314
1530,-39.62019148481221,-42.786188747423836
1540,-39.49594340437334,-42.7648235179235
1550,-39.493252144323854,-42.74371660583576
1560,-39.534392839422495,-42.723144017589526
1570,-39.53004393012331,-42.702805800471914
1580,-39.44636906177229,-42.68219544136622
1590,-39.41296810223052,-42.66163426313266
1600,-39.40788658598832,-42.64129834015051
1610,-39.40497820380313,-42.621196972844004
1620,-39.41473821425099,-42.60140401754405
1630,-39.38830486386038,-42.5816917527975
1640,-39.37701329768308,-42.562151030510215
1650,-39.3885393623532,-42.54291702040017
1660,-39.38424608214537,-42.5238888822179
1670,-39.388429242105666,-42.505113674792085
1680,-39.37551769042428,-42.48648512726608
1690,-39.38644855492852,-42.468141715595436
1700,-39.402799075459754,-42.45011028830052
