episode,interval,reward
10,-784.9152458942433,-784.9152458942433
20,-769.1600265551236,-777.0376362246834
30,-782.262025681166,-778.7790993768442
40,-784.6536218983293,-780.2477300072153
50,-760.1017405912612,-776.2185321240244
60,-666.2069836792168,-757.8832740498898
70,-474.3676703513199,-717.3810449500941
80,-356.3253224442585,-672.2490796368646
90,-311.39511085221096,-632.1541942163476
100,-225.36212591720383,-591.4749873864331
110,-201.390144501715,-556.012728942368
120,-19.713755169150293,-511.3211477945998
130,365.2721820144865,-443.89089165543936
140,836.9345844723505,-352.4033576463116
150,1493.6484017370626,-229.33324035408666
160,1741.8471791260622,-106.1344641365773
170,1912.2244265067409,12.59252943067672
180,2070.2362012678823,126.9060667549659
190,2157.704028391584,233.79016999899852
200,2320.7636062770925,338.13884181290314
210,2362.1678487068502,434.5211754745196
220,2389.1504505114326,523.3679607034701
230,2456.49252368572,607.4168547461763
240,2533.65348398211,687.6767142976738
250,2468.3005469804093,758.9016676049833
260,2503.0021665299555,825.9824560251745
270,2587.4067298083733,891.2203920912186
280,2612.1519221132517,952.6822324491484
290,2701.7737740567736,1012.995733883894
300,2808.499659080381,1072.8458647237771
