episode,interval,reward
10,-3546.137204999737,-3546.137204999737
20,-2987.404670207973,-3266.7709376038556
30,-2804.276973230165,-3112.6062828126255
40,-2740.2412242487208,-3019.515018171649
50,-2698.592696500432,-2955.3305538374057
60,-2650.304199041411,-2904.492828038073
70,-2452.341733834257,-2839.8998145803853
80,-2444.317677044849,-2790.4520473884427
90,-2339.8686893385684,-2740.387229827345
100,-2320.6324640961984,-2698.41175325423
110,-2220.2231865213394,-2654.9400653694215
120,-2121.1079289848503,-2610.4540540040402
130,-1982.6781612630123,-2562.1636007162683
140,-1756.9334444237145,-2504.6471609810856
150,-1412.112713670376,-2431.811531160371
160,-1244.4596120765775,-2357.602036217634
170,-1087.5018954353213,-2282.8902632304394
180,-917.7316095260878,-2207.04811580242
190,-793.2239273774642,-2132.6363164116333
200,-647.7527206900226,-2058.392136625553
210,-488.0539709159842,-1983.614128734622
220,-381.16498499176095,-1910.7755312917645
230,-269.2521885424904,-1839.4049511722308
240,-190.65327313016616,-1770.706964587145
250,-140.4529196570068,-1705.4968027899392
260,-65.96354060215096,-1642.437831167332
270,-39.85407217559643,-1583.0828771306012
280,-12.666034601251427,-1526.9965613259817
290,14.101895247217708,-1473.8552352372508
300,52.1661040459681,-1422.9878572611435
310,49.813437948420884,-1375.478138060835
320,64.66396039925195,-1330.473697483957
330,71.05908038643881,-1288.0030072454597
340,67.74907041231764,-1248.1279461378786
350,74.18042853883198,-1210.347706861401
360,105.39685756781573,-1173.7992467383674
370,110.65835391696217,-1139.0841764503857
380,126.06465521324404,-1105.790786143448
390,142.99597949562985,-1073.7706126655223
400,143.2929541711835,-1043.3440234946047
410,165.9991978973094,-1013.847847363095
420,172.66641804947747,-985.5975077104147
430,152.84138514675976,-959.1221846207128
440,166.00483733274677,-933.5511159399523
450,161.72364830079988,-909.2116767346023
460,170.93697676484587,-885.7301842672231
470,174.54560857157014,-863.1711248451211
480,182.72661117328227,-841.3815886780709
490,215.4001590343873,-819.8146142349598
500,217.1821184315458,-799.0746795816297
510,222.49662345840255,-779.0438697180997
520,209.14040491429688,-760.040325975169
530,204.02002241466286,-741.8505080810214
540,190.47189910951272,-724.5852783182336
550,211.57437581025866,-707.5641936977156
560,211.32073798405767,-691.1555342033979
570,223.51784994877167,-675.1086327270441
580,231.46414113865347,-659.478067660394
590,226.94249705944472,-644.4539902922611
600,216.0483829177271,-630.1122840720946
610,231.6607119522195,-615.9848579077617
620,241.75523744637113,-602.1503402407594
630,255.55957728067514,-588.5358971054986
640,250.57872288805362,-575.4247311680991
650,256.5841281612016,-562.6245948707256
660,274.9080913928077,-549.9347056849143
670,286.30553427122305,-537.4535080736289
680,270.08308608341997,-525.5779699242604
690,266.8493433302854,-514.0935161089769
700,266.246627985037,-502.9457997647768
710,266.7488484578057,-492.1050300715009
720,269.16734032222155,-481.5318027049215
730,278.7960008723891,-471.11635334084883
740,274.6319463705329,-461.0386736150194
750,291.5029851738119,-451.0047848311682
760,281.6855500764227,-441.3641225297524
770,272.52563914486547,-432.09282692358846
780,263.9175815316944,-423.1696165587772
790,268.7108470717338,-414.4116360064922
800,281.02155216499494,-405.7187211543485
810,278.85387913043826,-397.2672075705856
820,293.93607937501946,-388.83789919320014
830,284.90667138864933,-380.7204947283586
840,286.64539043622943,-372.7756627621133
850,319.93645660324665,-364.6261084166386
860,308.0998610364431,-356.80371342299804
870,309.0023618528256,-349.1507700290229
880,300.252142537482,-341.7711914771308
890,287.5548449672356,-334.70011241595813
900,296.7527947392176,-327.6839690031229
910,296.6912668966846,-320.8227026745536
920,305.6890862286082,-314.0127919256062
930,302.86360742839105,-307.37971236266
940,304.969396053604,-300.8653601454657
950,312.81633270249915,-294.4055528523292
960,288.7682018773298,-288.33082624056186
970,292.0022475538429,-282.3480110468051
980,297.34058686244805,-276.4328212722208
990,304.88144580703647,-270.56095998859195
1000,289.1390773062041,-264.963959615644
