episode,interval,reward
10,-1424.909985314832,-1424.9099853148323
20,-1029.6213924524636,-1227.2656888836482
30,-429.64366359295656,-961.3916804534176
40,-127.34764744207487,-752.8806722005819
50,-31.67641144543044,-608.6398200495515
60,179.7378477941944,-477.2435420755938
70,410.8476011529564,-350.37337875722943
80,830.2134127676356,-202.80002981662125
90,1371.9902029138125,-27.82333729101753
100,1886.1397793935678,163.57297437744103
110,2472.2265952634466,373.45057627616876
120,3009.2606717018643,593.1014175616434
130,3513.786673717585,817.7695141890233
140,3827.0627699911192,1032.7190324606015
150,3973.2677339891366,1228.755612562504
160,4116.509504346492,1409.2402307990035
170,4044.082224051855,1564.2309362844649
180,4008.379445430044,1700.0169645703304
190,4068.2235019909967,1824.6594139082601
200,4093.142242852591,1938.0835553554766
210,4168.370370740654,2044.2876894214376
220,4123.751189931381,2138.808757626435
230,4127.205068737558,2225.260771153006
240,4147.349553870609,2305.3478037662385
250,4262.546274107958,2383.6357425799074
260,4219.833960563731,2454.2587509639006
270,4180.711550990844,2518.2014472611945
280,4186.97958294578,2577.8006663927868
290,4215.050332010953,2634.2575514141026
300,4233.836998227895,2687.5768663078948
310,4230.09562643405,2737.3355359893835
320,4203.614254243536,2783.1567459348266
330,4221.414026326264,2826.7402998860825
340,4248.923689408709,2868.569223107337
350,4244.308075774661,2907.8760474692613
360,4267.330867869916,2945.63868136928
370,4217.297575405431,2980.0078406675543
380,4231.751211290741,3012.948455683954
390,4261.61840227113,3044.9656338015725
400,4262.176784433364,3075.3959125673678
410,4239.966739019634,3103.8000790662036
420,4219.186834650781,3130.3569065801216
430,4239.2534233688075,3156.145197668231
440,4297.337125668268,3182.0813778500496
450,4309.976030720185,3207.1457034693854
460,4268.149608554108,3230.211005753837
470,4275.9476252599225,3252.4607210624777
480,4288.386167129991,3274.0425011888847
490,4264.392560342497,3294.253726885897
500,4329.872364797908,3314.966099644137
