episode,interval,reward
10,33.88065333091134,33.88065333091134
20,41.61544185094865,37.74804759093
30,55.312526378042286,43.60287385330076
40,74.13515454303538,51.23594402573441
50,94.10309768194277,59.809374756976084
60,114.03999191068822,68.84781094926143
70,115.92973631790964,75.57380028763974
80,130.59428258792616,82.45136057517556
90,140.486189102152,88.89967485595072
100,154.15617044797972,95.42532441515361
110,167.72126861037776,101.99768297835583
120,171.9724500180843,107.82891356499982
130,178.73441155231018,113.28318264094678
140,182.6836240451054,118.24035702695808
150,186.05741056003382,122.76149392916314
160,186.4629347039383,126.74283397758657
170,185.9195805960735,130.22381907279174
180,189.39976941695383,133.51137186968964
190,191.33409697995512,136.55467319128255
200,192.12284281954888,139.3330816726958
210,198.56526821965892,142.15366198445597
220,206.38350371368506,145.0732002448754
230,207.57174173246307,147.7905281356401
240,218.7664312408886,150.74785743169213
250,223.94271830491294,153.67565186662097
260,226.51048837805178,156.4769917324452
270,233.13688400188374,159.31624700168362
280,238.63284300500874,162.14898257323102
290,238.98188368796036,164.79839295649757
300,250.6809559137495,167.66114505507267
310,250.7510914639999,170.3414659069735
320,250.86020426835822,172.85767648076674
330,253.20185273591537,175.29234848849842
340,260.83706370676293,177.80836952432972
350,282.69974790955746,180.80526604962193
360,287.2416018144835,183.76183093197915
370,305.1921426957946,187.0437312499201
380,308.78000716032165,190.24731745808856
390,314.2766589607199,193.4275569837971
400,324.06885747508005,196.69358949607914
410,331.8846782297209,199.99093312372895
420,331.54835626036265,203.12325272222023
430,348.219108619253,206.49757495238381
440,347.78856520437387,209.70873382174727
450,352.05423106988684,212.87196709392816
460,348.5715785472795,215.82195864726185
470,353.84596316181097,218.7586395943799
480,363.57574404589514,221.77566260378646
490,370.53159386054165,224.81149793555701
500,362.13773345069137,227.55802264585972
510,361.68587728022214,230.18798057986683
520,365.9026114647935,232.79787732765388
530,364.987737084918,235.29202562496073
540,361.97973417943433,237.63809430189542
550,368.6185264018085,240.01955670371208
560,371.9689625648176,242.37579609408905
570,374.5781622976165,244.6951358520456
580,375.713504464961,246.95407324192337
590,376.482100006209,249.14946352606384
600,382.98454340765164,251.38004819075698
610,388.67944806103804,253.63085802469607
620,385.8221539307614,255.76297570060035
630,388.8920745742082,257.8761360001813
640,397.77267729676686,260.0620194579405
650,414.3938122489214,262.43635473164795
660,438.0074424129395,265.0965227268191
670,442.08640075953355,267.7381626974565
680,464.30162189704896,270.62880180333286
690,487.9057520648745,273.7777431114713
700,478.26209755760374,276.69894817498755
710,487.3904274970346,279.6664337992417
720,509.7047532023436,282.86141045761804
730,522.4641770464475,286.14364013691704
740,545.323455941117,289.64607008021704
750,523.4372046736595,292.76328520812956
760,567.4677295232113,296.37781737017013
770,562.3439991836028,299.8319236274875
780,586.3370416742157,303.5050661665482
790,561.1580931433558,306.7664968877735
800,542.6116723393808,309.7145615809185
810,585.1068026104249,313.11446579115943
820,602.8682259846103,316.6480482325429
830,623.7427734266065,320.34798468066407
840,593.4344958804483,323.5990145758995
850,595.7241875350504,326.8004871989484
860,600.8600512335786,329.9872263156302
870,618.9628448409145,333.308785149254
880,588.7325917063582,336.21132840558477
890,570.3573027206863,338.8421820495746
900,568.0621708201712,341.3890708136924
910,547.1692774474419,343.6503917657117
920,575.4458568597008,346.1699076906463
930,590.8685539746442,348.8010759302592
940,588.4680900541344,351.35072501668344
950,597.0874111821302,353.93742697631967
960,612.583354241522,356.6316553853322
970,624.6301977399779,359.39452695599863
980,613.933717992288,361.99186564004236
990,590.2682497641339,364.29768770190196
1000,616.5527019805272,366.8202378446882
