episode,interval,reward
10,-527.3103590044013,-527.3103590044013
20,-356.2420116156977,-441.7761853100495
30,-302.32408540606,-395.2921520087196
40,-284.05890901544,-367.4838412603997
50,-285.37392422617376,-351.06185785355456
60,-280.13122491510023,-339.24008569714545
70,-263.0354530323436,-328.3537096021737
80,-250.80904538330523,-318.6606265748152
90,-228.2965744065039,-308.6201763338917
100,-206.95519574113905,-298.45367827461655
110,-195.01678546357883,-289.05032438270405
120,-174.53401755291083,-279.50729881355454
130,-160.52749124552184,-270.3550059237058
140,-133.05324808757504,-260.5477375068394
150,-113.42332633442342,-250.73944342867816
160,-95.00624205591774,-241.0061183428806
170,-46.96082841236596,-229.5916895234385
180,47.44885620672105,-214.20054809398513
190,188.21710024379976,-193.0206718656807
200,348.67611121159405,-165.93583271181703
210,609.5069861090153,-129.0099841965393
220,918.6029125149919,-81.39121616419699
230,1100.6493614291326,-29.998147573182663
