episode,interval,reward
10,-841.2382434676962,-841.2382434676962
20,-830.243028679628,-835.740636073662
30,-825.0804888287801,-832.1872536587013
40,-826.9490080699952,-830.8776922615249
50,-830.8592323316346,-830.8740002755467
60,-785.2924601737786,-823.2770769252521
70,-633.1433249448353,-796.1151123566212
80,-421.07873570838683,-749.235565275592
90,-302.3014432416109,-699.5762183829277
100,-189.94453229684714,-648.6130497743198
110,6.318970246328201,-589.0737752269882
120,403.92041120596485,-506.32425969090895
130,1051.6674666280337,-386.47874228175954
140,1538.3946558643784,-248.98778527132117
150,1799.408536479909,-112.4280304879058
160,1970.6230098679946,17.762659534337992
170,2140.093579785108,142.6056548432068
180,2285.886305780064,261.67680211747665
190,2410.771762831438,374.7870632076852
200,2530.352077902572,482.5653139424295
210,2662.8643873656233,586.389079343534
220,2925.9613741209914,692.733274560691
230,2997.585669164511,792.944248239118
