episode,interval,reward
10,-750.1338740931111,-750.1338740931111
20,-674.8924780932923,-712.5131760932015
30,-260.6624795821291,-561.8962772561777
40,-12.713885660785134,-424.60067935732957
50,38.523328550932625,-331.9758777756772
60,99.28766068546675,-260.0986213654866
70,102.6538332710411,-208.27684213169695
80,204.67226806124398,-156.65820335757928
90,320.122528849409,-103.68256644569173
100,391.0465236873173,-54.2096574323908
110,731.7823724267676,17.244163463896314
120,1048.1082499728582,103.14950400630981
130,1426.7822083423957,204.96740433985488
140,2536.4412092749076,371.50124754950156
150,3339.5361942291215,569.3702439948095
160,4408.388642773532,809.3088939184797
170,5581.243466320617,1090.010927589194
180,6485.861379120531,1389.780397118713
190,8185.912652355811,1747.4715684469807
200,8883.670889448691,2104.2815344970663
210,9902.61431720933,2475.6307146262216
220,10301.936309126335,2831.3718780125905
230,10532.341456534568,3166.196642296155
240,11383.899150306435,3508.600913463249
250,11482.329373428296,3827.5500518618514
260,11247.249964778179,4112.923125435557
270,11139.687027578751,4373.173640329748
280,11010.676588386728,4610.2273170460685
290,11535.868767808646,4849.042539486157
300,11970.258975412142,5086.416420683689
310,12094.098175828076,5312.470670849634
320,12486.295856777215,5536.6527079098705
330,12534.299408625167,5748.7026079315465
340,12539.107703346339,5948.420404855511
350,12338.904777683545,6131.005672650598
