episode,interval,reward
10,-958.4585701957992,-958.4585701957994
20,-452.4353436124391,-705.4469569041194
30,-46.423965194422244,-485.77262633422026
40,73.83383805309454,-345.87101023739154
50,169.07757053382474,-242.88129408314825
60,248.90843189591618,-160.91633975330413
70,302.2042469392369,-94.75625594008393
80,320.5346495598967,-42.844892752586354
90,353.1328006953148,1.1526287416248882
100,364.70623913225063,37.50798978068746
110,388.6069454708846,69.42607666161449
120,412.55104926807087,98.0198243788192
130,435.2070594586495,123.95730400034462
140,431.7921436994051,145.94550683599175
150,401.4428035079844,162.9786599474579
160,409.2409065260232,178.3700503586182
170,413.3923441199989,192.19489116811118
180,426.8865505295571,205.23331668819156
190,426.38670098439013,216.87296849325472
200,436.02621587011845,227.83063086209785
210,494.8671858024312,240.546657287828
220,397.1746088161567,247.66610963002475
230,433.29091947979725,255.73675353653655
240,482.714117089257,265.19414368456654
250,456.20985959812214,272.83477232110886
260,468.5463734517205,280.362141595363
270,473.92444544306875,287.53111581194474
280,503.92267289637994,295.25938570781744
290,514.9886365014825,302.8362564248404
300,502.8290531058058,309.50268298087263
310,474.6977196463375,314.83155513137154
320,486.13964025353164,320.184932791439
330,513.2210848516532,326.0345131569
340,472.33929018574236,330.337594834219
350,490.18537929806996,334.9046743903291
360,489.81994273750996,339.2078762888618
370,441.34051742659204,341.96821794123287
380,423.7312585039161,344.11987690340874
390,439.6807542724837,346.5701558103081
400,438.17966443866754,348.8603935260172
410,492.0161919507301,352.3519983656445
420,481.9531413885712,355.4377398661904
430,473.5786023159977,358.18520178362775
440,457.78732515366903,360.44888640567416
450,462.35813600235133,362.71353639671133
460,452.7823136008389,364.6715532924532
470,478.7814074198591,367.0994225292066
480,521.7348182063604,370.3209932724806
490,547.4093901246872,373.9350421878318
500,493.49542405975643,376.32624982527034
510,476.33528633761745,378.28721132551243
