episode,interval,reward
10,-1284.0741250015533,-1284.0741250015533
20,-871.4179714183329,-1077.7460482099427
30,-248.19757194568155,-801.2298894551892
40,134.33547893552506,-567.3385473575105
50,398.80224226988173,-374.1103894320321
60,636.0107899947045,-205.756859527576
70,906.8756899334707,-46.80935246171222
80,1282.9397565382465,119.40928616328264
90,1660.8244485424643,290.6776375387473
100,2025.6241811312386,464.1722918979964
110,2208.66108760124,622.762182416473
120,2501.8336604743245,779.3514722546273
130,2668.42533210264,924.6648460890898
140,3210.5215368334434,1087.9403239994008
150,3248.8065910394425,1231.9980751354037
160,3325.150063550983,1362.8200744113774
170,3640.7893972269,1496.818269871114
180,4252.769237077163,1649.9266569381164
190,3857.0962100334896,1766.093475522083
200,3820.673524819751,1868.8224779869663
210,3786.2138856502525,1960.126830732837
220,3900.3230313978565,2048.3175671267018
230,4016.3848476308644,2133.8857097573164
240,4060.8357179842315,2214.1752934334368
250,4237.625802987764,2295.11331381561
260,4472.76649319862,2378.8692053303416
270,3888.9768227761815,2434.7991170875953
280,4352.103167718635,2503.27426175299
290,3971.5657805608416,2553.9050037808465
300,3946.9412532876568,2600.339545431073
310,4315.35331484859,2655.6625702509937
320,4026.512938385332,2698.5016442551923
330,4164.980278815521,2742.9403907570195
340,3899.9645097048838,2776.9705119025452
350,3916.3120989334006,2809.523128674856
360,3958.45173442428,2841.437812167895
370,4140.053013013609,2876.5355202988603
380,4526.8478300778415,2919.9647916088334
390,4679.723895025633,2965.086819901572
400,4503.683984573109,3003.5517490183615
410,4318.806071240023,3035.6311227310853
420,4659.844416900925,3074.302867830367
430,4731.220795177265,3112.835842884947
440,4647.499063660371,3147.7145524480247
450,4404.066540440437,3175.633485514523
460,4260.498743404657,3199.21751285996
470,4379.719568084153,3224.3345778647304
480,4311.982959793915,3246.993919154922
490,3924.1324994562847,3260.813073854949
500,4485.6945334965185,3285.310703047781
