episode,interval,reward
10,-795.8032707472421,-795.8032707472421
20,-780.4463298270515,-788.1248002871467
30,-783.1341560795701,-786.4612522179547
40,-803.9408579025305,-790.8311536390986
50,-769.2998696372499,-786.5248968387288
60,-717.1480086658465,-774.9620821432484
70,-521.7860048486191,-738.7940711011585
80,-396.7240016057991,-696.0353124142384
90,-311.81191649744903,-653.3438239790397
100,-244.27306022746257,-612.4367476038823
110,-76.74878702887273,-563.7378420970629
120,147.04180868356292,-504.5062045320107
130,597.326207887558,-419.74986511512077
140,1092.5516494139142,-311.72832836304684
150,1387.7750497652712,-198.42810315449233
160,1585.8989038887908,-86.90766521428716
170,1750.3729487009618,21.167665016021612
180,1774.3447571061472,118.56639235436192
190,1850.0125950219576,209.69513986318273
200,1928.4979924091585,295.6352824904816
210,2020.2664771162217,377.7605774726597
220,2035.0537266038896,453.09208425135193
230,2201.551891494015,529.112075870598
240,2267.158615864282,601.5306817036679
250,2303.371484674335,669.6043138224949
260,2402.7943974042146,736.2654708833303
270,2505.476653957297,801.7918109971807
280,2619.798609669632,866.7206252354827
290,2678.837167517145,929.2074025555397
300,2811.2628470857567,991.9425840398801
