episode,interval,reward
10,-17.031611715494993,-17.031611715494993
20,-10.135220388611634,-13.583416052053312
30,2.648992554090955,-8.172613183338557
40,15.991205931245991,-2.1316584046924203
50,24.119105641139598,3.1184944044739837
60,30.67695319906172,7.711570870238607
70,40.61231130425097,12.411676646526088
80,50.29430508012867,17.147005200726415
90,65.7578812500451,22.54821365065071
100,103.80001653350723,30.673393938936357
110,161.37390364932247,42.55525845806237
120,205.3617443763746,56.12246561792172
130,226.2357437914681,69.20810240050223
140,254.50367534956544,82.44350046829246
150,301.23972235529976,97.02991526075962
160,317.7861476511476,110.82717978515886
170,322.12894521913853,123.2566953989224
180,388.6120819371482,137.99866131771276
190,371.9653772625489,150.31269899901983
200,410.89800705577244,163.3419644018574
210,413.14950648857723,175.23756164408215
220,440.23630894214546,187.28295924853958
230,459.6596846079484,199.1254255685139
240,428.51792471315946,208.68344636620745
250,481.0281478797873,219.57723442675064
260,487.2489505028593,229.87230042967792
270,508.4658654684704,240.19058061629983
280,515.8236696553139,250.03461951055027
290,522.9405431391178,259.44516860119046
300,530.3417470022171,268.4750545478913
310,515.4287565772388,276.44130300045094
320,569.2064385500888,285.59021348637714
330,539.0213590181726,293.26994516915886
340,837.3822380076961,309.27324789970413
350,606.3932055811085,317.7623895477445
360,571.9944887668893,324.82439230383187
370,649.2654528117884,333.59306961485777
380,662.0016308071944,342.2354001725509
390,645.9116720092209,350.021971245286
400,661.9577532832259,357.8203657962347
